OBW67823.1	OBW67823.1	2-HACID_DH
PAV17484.1	PAV14871.1	C2
PAV17955.1	PAV14871.1	C2
PAV17745.1	PAV14871.1	C2
PAV17899.1	PAV14871.1	C2
KZP04636.1	KZP04636.1	C2
KDQ13032.1	PMD39587.1	C2
KIM75554.1	PMD39587.1	C2
KZP27213.1	PMD39587.1	C2
KZP27225.1	PMD39587.1	C2
KZP27242.1	PMD39587.1	C2
KZP27246.1	PMD39587.1	C2
KZP29382.1	PMD39587.1	C2
KZS86854.1	PMD39587.1	C2
KZS88516.1	PMD39587.1	C2
KZS89231.1	SJL11199.1	C2
KZS91989.1	KZT25309.1	C2
KZT25291.1	KZT25309.1	C2
KZT31837.1	PMD39587.1	C2
KZT38826.1	KZT25309.1	C2
KZT40353.1	PMD39587.1	C2
KZT40432.1	PMD39587.1	C2
PFH51614.1	PMD39587.1	C2
PFH50150.1	PPQ91236.1	C2
PFH46478.1	PMD39587.1	C2
SJL11199.1	SJL11199.1	C2
OAX41007.1	PMD39587.1	C2
KZP27173.1	PMD39587.1	C2
EGO05416.1	PMD39587.1	C2
KZP27158.1	PMD39587.1	C2
KZP26887.1	PMD39587.1	C2
KZP05485.1	PMD39587.1	C2
KZP06550.1	PMD39587.1	C2
KZP09702.1	PMD39587.1	C2
KZP09711.1	PMD39587.1	C2
KZP10770.1	PMD39587.1	C2
KZP11360.1	PMD39587.1	C2
KZP11370.1	PMD39587.1	C2
KZP11388.1	PMD39587.1	C2
KZP12191.1	KZP12191.1	C2
EMD35188.1	PMD39587.1	C2
KZP15696.1	PMD39587.1	C2
KZP16022.1	PMD39587.1	C2
KZP18139.1	KZP18139.1	C2
KZP18766.1	PMD39587.1	C2
KZP19687.1	PMD39587.1	C2
KZP23176.1	PMD39587.1	C2
KZP23203.1	PMD39587.1	C2
KZP23212.1	PMD39587.1	C2
KZP23466.1	PMD39587.1	C2
KZP27126.1	PMD39587.1	C2
KDQ19572.1	PMD39587.1	C2
XP_007264596.1	PMD39587.1	C2
XP_007270142.1	PMD39587.1	C2
PPQ91236.1	PPQ91236.1	C2
PPQ69361.1	PPQ91236.1	C2
KDQ11780.1	PMD39587.1	C2
OJA14968.1	OJA14968.1	C2
PAV17897.1	PAV14871.1	C2
KDQ13036.1	PMD39587.1	C2
KIM87374.1	PMD39587.1	C2
KIM86900.1	PMD39587.1	C2
KIM86252.1	PMD39587.1	C2
KIM85063.1	PMD39587.1	C2
KDQ13880.1	PMD39587.1	C2
KIM80170.1	PMD39587.1	C2
KDQ16459.1	PMD39587.1	C2
KDQ16476.1	PMD39587.1	C2
KIM77511.1	PMD39587.1	C2
KDQ18487.1	XP_007384573.1	C2
KIM76147.1	PMD39587.1	C2
XP_007265020.1	PMD39587.1	C2
OCH90160.1	PMD39587.1	C2
OCH90174.1	PMD39587.1	C2
KDQ09111.1	PMD39587.1	C2
XP_007271304.1	PMD39587.1	C2
XP_007271306.1	PMD39587.1	C2
XP_007271320.1	PMD39587.1	C2
XP_007271326.1	PMD39587.1	C2
XP_007271329.1	PMD39587.1	C2
XP_007308808.1	XP_007308808.1	C2
XP_007309889.1	PMD39587.1	C2
XP_007313147.1	PMD39587.1	C2
OCB91593.1	PMD39587.1	C2
XP_007321019.1	PMD39587.1	C2
OCB84905.1	OCB84905.1	C2
OCB85823.1	PMD39587.1	C2
OCB85826.1	PMD39587.1	C2
OCB87601.1	PMD39587.1	C2
KDQ08412.1	PMD39587.1	C2
KDQ08414.1	PMD39587.1	C2
OCB87979.1	PMD39587.1	C2
OCB91537.1	PMD39587.1	C2
XP_007323276.1	PMD39587.1	C2
PAV17873.1	PAV14871.1	C2
OJA14970.1	KIK46579.1	C2
KIJ08056.1	KIK46579.1	C2
KIJ12148.1	KIK46579.1	C2
KIK46579.1	KIK46579.1	C2
PAV17905.1	PAV14871.1	C2
KDQ10764.1	PMD39587.1	C2
KZP24074.1	PMD39587.1	C2
KZP24082.1	PMD39587.1	C2
KZP24088.1	PMD39587.1	C2
KZP24098.1	PMD39587.1	C2
KZP24269.1	PMD39587.1	C2
KDQ23737.1	PMD39587.1	C2
KDQ09525.1	PMD39587.1	C2
KZP26883.1	PMD39587.1	C2
KZP27192.1	PMD39587.1	C2
KZP27208.1	PMD39587.1	C2
KZP18343.1	PMD39587.1	C2
KZP27218.1	PMD39587.1	C2
OCB91370.1	PMD39587.1	C2
KDQ08608.1	PMD39587.1	C2
KZP29359.1	PMD39587.1	C2
KZP30577.1	PMD39587.1	C2
KDQ07895.1	PMD39587.1	C2
OCB85816.1	PMD39587.1	C2
KDQ07232.1	PMD39587.1	C2
KZP30581.1	PMD39587.1	C2
KZP34597.1	PMD39587.1	C2
KZS88514.1	PMD39587.1	C2
KZT35606.1	PMD39587.1	C2
KDQ08609.1	PMD39587.1	C2
KDQ10776.1	PMD39587.1	C2
KDQ18935.1	PMD39587.1	C2
KZP17692.1	PMD39587.1	C2
PAV17956.1	PAV14871.1	C2
PAV15854.1	PMD39587.1	C2
PAV17990.1	PMD39587.1	C2
PAV18301.1	PMD39587.1	C2
PAV21617.1	PMD39587.1	C2
KZP04133.1	PMD39587.1	C2
KZP06543.1	PMD39587.1	C2
KDQ11677.1	PMD39587.1	C2
KDQ13220.1	PMD39587.1	C2
KDQ13224.1	PMD39587.1	C2
KZP09559.1	PMD39587.1	C2
KIM90572.1	PMD39587.1	C2
KDQ13532.1	PMD39587.1	C2
PSR97287.1	PMD39587.1	C2
KIM86175.1	PMD39587.1	C2
KZP11354.1	PMD39587.1	C2
KIM82890.1	PMD39587.1	C2
KIM79256.1	PMD39587.1	C2
KIM78135.1	PMD39587.1	C2
KZP11379.1	PMD39587.1	C2
KZP15684.1	PMD39587.1	C2
KZP15986.1	PMD39587.1	C2
KIM45626.1	XP_007384573.1	C2
KDQ10779.1	PMD39587.1	C2
KZP16029.1	PMD39587.1	C2
XP_009552288.1	PMD39587.1	C2
CUA78320.1	CUA78320.1	C2
CUA78364.1	CUA78320.1	C2
CRK25022.1	CRK25022.1	CAP_GLY
XP_018159855.1	XP_018159855.1	CATION_ATPASE_N
OXN24598.1	KMK62278.1	CBM
KMK62278.1	KMK62278.1	CBM
OXN03387.1	KMK62278.1	CBM
OWY55968.1	OWY55968.1	CDC50
KFY16710.1	KFY16710.1	CDP-OH_P_TRANSF
RBR26847.1	RBR26847.1	CELLULASE
KIL93951.1	RBR26847.1	CELLULASE
RFN54247.1	RBR26847.1	CELLULASE
XP_024757062.1	OBT42170.1	CHAT
XP_018137764.1	OBT42170.1	CHAT
RBA19671.1	CVL13847.1	CHAT
RBA21800.1	RBA21800.1	CHAT
KUL83255.1	OBT42170.1	CHAT
GAM34749.1	OBT42170.1	CHAT
XP_024734151.1	OBT42170.1	CHAT
KUL86672.1	OBT42170.1	CHAT
XP_025536910.1	RFU30417.1	CHAT
OZJ01904.1	OZJ01904.1	CHAT
OBT42170.1	OBT42170.1	CHAT
CZR48000.1	CVL13847.1	CHAT
XP_009220597.1	OBT42170.1	CHAT
PMD44531.1	OBT42170.1	CHAT
RFU30417.1	RFU30417.1	CHAT
KIL87132.1	OBT42170.1	CHAT
PWW76991.1	OBT42170.1	CHAT
PCG91709.1	OBT42170.1	CHAT
XP_018656330.2	OBT42170.1	CHAT
KPA41665.1	KPA41665.1	CHROMO
KFY94837.1	XP_013276951.1	CHROMO
XP_025348591.1	XP_025348591.1	CLP_N
OWY52016.1	OWY52016.1	CLR2_TRANSIL
KIJ66585.1	KIJ66585.1	COMPLEX1KDA
OQE46487.1	OQE46487.1	CORA
PSS34096.1	PSS34096.1	CPN60_TCP1
KGQ04233.1	KGQ04233.1	CRAL_TRIO_N
PTD08587.1	PTD08587.1	CU-OXIDASE
PCD29925.1	PTD08587.1	CU-OXIDASE
EYB23007.1	PTD08587.1	CU-OXIDASE
RAO73333.1	PMD39587.1	CYT-B5
OQU98276.1	OQU98276.1	CYTOCHROM_B561
RBA21889.1	RBA21889.1	DAO
RBR13547.1	RBA21889.1	DAO
RBQ95949.1	RBA21889.1	DAO
PCD26935.1	RBA21889.1	DAO
OAL28762.1	OAL28762.1	DAO
XP_016635267.1	OAL28762.1	DAO
CDP25878.1	XP_001911650.1	DAO
XP_001911650.1	XP_001911650.1	DAO
EXK84495.1	RBA21889.1	DAO
ENH75499.1	RBA21889.1	DAO
XP_018247479.1	RBA21889.1	DAO
EGU81728.1	RBA21889.1	DAO
KDN64400.1	PMD39587.1	DASH_HSK3
XP_003650749.1	XP_003650749.1	DCMP_CYT_DEAM
EMD97601.1	EMD97601.1	DDE
OQD94930.1	OQD94930.1	DDE_TNP
PCG97338.1	PCG97338.1	DEAD
KFY86407.1	KFY86407.1	DEAD
XP_006677265.1	XP_016605807.1	DHC_N2
XP_016605807.1	XP_016605807.1	DHC_N2
OQD75876.1	OQD75876.1	DIMER_TNP_HAT
KFA81610.1	KFA81610.1	DIMER_TNP_HAT
CAK48967.1	CAK48967.1	DNA_BINDING
XP_016257094.1	XP_016257094.1	DNA_LIGASE_A_N
PPQ68404.1	PPQ68404.1	DNA_METHYLASE
OQE29646.1	OQE29646.1	DUF1275
RDA93695.1	RDA93695.1	DUF1365
KUL91860.1	KUL91860.1	DUF1640
PIG87362.1	OCK88792.1	DUF1918
KFY91996.1	KFY91996.1	DUF2278
KFZ24690.1	KFZ24690.1	DUF2306
XP_002480150.1	XP_002480150.1	DUF2841
GAM40914.1	GAM40914.1	DUF3328
OOO06611.1	OOO06611.1	DUF3435
CZR66010.1	CZR66010.1	DUF3435
XP_001543333.1	XP_001543333.1	DUF3435
SLM36116.1	SLM36116.1	DUF3435
KLO82310.1	RBA20575.1	DUF3632
EGU81654.1	RBA20575.1	DUF3632
RBA20575.1	RBA20575.1	DUF3632
KLP13881.1	RBA20575.1	DUF3632
OXN18330.1	OXN18330.1	DUF3632
OPB36193.1	OPB36193.1	DUF3638
CEL06851.1	CEL06851.1	DUF3716
XP_016604240.1	XP_016604240.1	DUF4062
KXN84373.1	KXN84373.1	DUF4139
RFU24898.1	RFU24898.1	DUF4238
EMD34647.1	EMD34647.1	DUF4646
XP_018069838.1	KIM94334.1	DUF629
XP_022583799.1	XP_022583799.1	DUF846
OAJ40274.1	OAJ40274.1	DYNEIN_HEAVY
SLM34884.1	XP_013276951.1	DYNEIN_LIGHT
KFY63907.1	KFY63907.1	EF-1_BETA_ACID
CUA67566.1	CUA67566.1	EPIMERASE
KFY23331.1	KFY23331.1	EPIMERASE
CCF37913.1	CCF37913.1	EXO_ENDO_PHOS
OJI86829.1	RDK46072.1	F-BOX-LIKE
KXG49333.1	KXG49333.1	F5_F8_TYPE_C
RAO70947.1	RAO70947.1	FAD_BINDING
PCD29876.1	PCD29876.1	FAD_BINDING
KXG53549.1	KXG53549.1	FAD_BINDING
KFY29140.1	KFY29140.1	FAD_BINDING
XP_009254219.1	XP_009254219.1	FAD_BINDING
GAO83232.1	GAQ08486.1	FAD_BINDING
OOQ88781.1	OOQ88781.1	FAD_BINDING
GAQ08486.1	GAQ08486.1	FAD_BINDING
KFY84702.1	KFY84702.1	FAD_BINDING
XP_016614585.1	XP_016614585.1	FAD_BINDING
CRK47243.1	CRK47243.1	FERRIC_REDUCT
KIH93448.1	KIH93448.1	FHA
SCO78268.1	SCO78268.1	FLAVODOXIN
PVI01011.1	PVI01011.1	FN3-LIKE
GAM34260.1	PCH06184.1	FRINGE
PCH06184.1	PCH06184.1	FRINGE
RAO72009.1	PCH06184.1	FRINGE
KFY32482.1	KFY32482.1	FUNGAL_TRANS
RFU27505.1	RFU27505.1	FUNGAL_TRANS
CUA71161.1	CUA71161.1	FUNGAL_TRANS
PCD30073.1	SCB64006.1	FUNGAL_TRANS
SCB64006.1	SCB64006.1	FUNGAL_TRANS
KZM28609.1	KZM28609.1	FUSC
OWY46974.1	OWY46974.1	FYVE
KFY12746.1	XP_013276951.1	G10
KFY42965.1	KFY42965.1	GAL_MUTAROTAS
ELU39436.1	ELU39436.1	GAR1
OHW97889.1	OHW97889.1	GARS_A
KZL86852.1	OHW97889.1	GARS_A
XP_018255670.1	XP_018254577.1	GCR1_C
EXK80426.1	EXK80426.1	GCR1_C
XP_018254577.1	XP_018254577.1	GCR1_C
OBT80379.1	KFY30536.1	GFA
GAD95644.1	GAD95644.1	GFO_IDH_MOCA
ELU39097.1	ELU39097.1	GIDA
CUA69775.1	CUA69775.1	GLE1
KFY08121.1	KFY08121.1	GLYCO_HYDRO
CUA67692.1	CUA67692.1	GLYCO_HYDRO
XP_018132278.1	XP_018132278.1	GLYCO_HYDRO
KFY71550.1	XP_018132278.1	GLYCO_HYDRO
KFY97908.1	KFY97908.1	GLYCO_HYDRO
XP_016644738.1	XP_016644738.1	GLYCO_HYDRO
XP_001212636.1	XP_001212636.1	GLYCO_HYDRO
XP_022512292.1	XP_022512292.1	GLYCO_HYDRO
KFZ06087.1	KFY78172.1	GLYCO_HYDRO
KFY78172.1	KFY78172.1	GLYCO_HYDRO
XP_001226692.1	XP_001226692.1	GLYCO_HYDRO
XP_018130748.1	KFY69798.1	GLYCO_HYDRO
KFZ05781.1	KFY69798.1	GLYCO_HYDRO
KFY69798.1	KFY69798.1	GLYCO_HYDRO
XP_024405477.1	XP_024405477.1	GLYCO_HYDRO
GAD98155.1	GAD98155.1	GLYCO_HYDRON
XP_001226990.1	XP_001226990.1	GLYCO_HYDRO_N
AVI60826.1	AVI60826.1	GLYCO_TRANSF
KXH36278.1	KXH36278.1	GLYCO_TRANSF
OOQ84158.1	OOQ84158.1	GLYCO_TRANSF
GAQ39804.1	GAQ39804.1	GLYOXALASE
EXL96341.1	EWZ30187.1	GLY_TRANSF_SUG
RBA19756.1	RBA19756.1	GLY_TRANSF_SUG
EWZ30187.1	EWZ30187.1	GLY_TRANSF_SUG
CUA74729.1	CUA74729.1	GMC_OXRED_N
KFX93810.1	KFX93810.1	GMC_OXRED_N
XP_007393737.1	PMD39587.1	GOODBYE-LIKE
KLJ07356.1	PMD39587.1	GOODBYE-LIKE
KKY32021.1	KKY32021.1	GOODBYE-LIKE
KXH46908.1	PMD39587.1	GOODBYE-LIKE
KLJ06195.1	PMD39587.1	GOODBYE-LIKE
KDN70108.1	PMD39587.1	GOODBYE-LIKE
XP_007310463.1	PMD39587.1	GOODBYE-LIKE
KDN69904.1	PMD39587.1	GOODBYE-LIKE
KLJ08852.1	PMD39587.1	GOODBYE-LIKE
KKY37951.1	PNY23946.1	GOODBYE-LIKE
XP_007383204.1	PMD39587.1	GOODBYE-LIKE
XP_007308562.1	PMD39587.1	GOODBYE-LIKE
KKY27422.1	XP_020128582.1	GOODBYE-LIKE
XP_007308398.1	XP_003026433.1	GOODBYE-LIKE
PMD30999.1	PMD39587.1	GOODBYE-LIKE
KLJ10780.1	RFU34722.1	GOODBYE-LIKE
KKY18995.1	KKY18995.1	GOODBYE-LIKE
XP_007306716.1	PMD39587.1	GOODBYE-LIKE
PMD31107.1	XP_008078819.1	GOODBYE-LIKE
KLJ11401.1	PMD39587.1	GOODBYE-LIKE
XP_007686706.1	PMD39587.1	GOODBYE-LIKE
KKY29196.1	XP_016624353.1	GOODBYE-LIKE
KXH50760.1	PMD39587.1	GOODBYE-LIKE
KXH49525.1	KXH49525.1	GOODBYE-LIKE
XP_007311335.1	XP_007311335.1	GOODBYE-LIKE
KDQ07880.1	KDQ17107.1	GOODBYE-LIKE
KLJ12837.1	PMD39587.1	GOODBYE-LIKE
KXH49144.1	PMD39587.1	GOODBYE-LIKE
GAW17761.1	PMD39587.1	GOODBYE-LIKE
XP_007383202.1	PMD39587.1	GOODBYE-LIKE
KXH47426.1	PMD39587.1	GOODBYE-LIKE
XP_007367525.1	PMD39587.1	GOODBYE-LIKE
GAW17716.1	GAW17716.1	GOODBYE-LIKE
KKZ62642.1	PMD39587.1	GOODBYE-LIKE
PMD29825.1	PMD39587.1	GOODBYE-LIKE
KKZ66006.1	RFU34722.1	GOODBYE-LIKE
XP_007389929.1	OBZ65626.1	GOODBYE-LIKE
KDQ09274.1	KDQ17107.1	GOODBYE-LIKE
XP_007311243.1	PMD39587.1	GOODBYE-LIKE
XP_016241590.1	PMD39587.1	GOODBYE-LIKE
KXH49253.1	XP_009224635.1	GOODBYE-LIKE
XP_007397464.1	PMD39587.1	GOODBYE-LIKE
KKZ61380.1	OJD10865.1	GOODBYE-LIKE
KXH46863.1	PMD39587.1	GOODBYE-LIKE
KDQ09285.1	KDQ17107.1	GOODBYE-LIKE
KKZ68567.1	PMD39587.1	GOODBYE-LIKE
KKZ68736.1	PMD39587.1	GOODBYE-LIKE
XP_016242694.1	XP_024730521.1	GOODBYE-LIKE
KDQ08126.1	KDQ08126.1	GOODBYE-LIKE
PMD29784.1	PMD39587.1	GOODBYE-LIKE
KKZ61982.1	PMD39587.1	GOODBYE-LIKE
KDN70375.1	PMD39587.1	GOODBYE-LIKE
XP_007397514.1	PMD39587.1	GOODBYE-LIKE
PSS34109.1	PSS34109.1	GOODBYE-LIKE
XP_001906481.1	PMD39587.1	GOODBYE-LIKE
KLO80606.1	XP_003002290.1	GOODBYE-LIKE
XP_007304112.1	PMD39587.1	GOODBYE-LIKE
KLO97540.1	PMD39587.1	GOODBYE-LIKE
XP_006673420.1	PMD39587.1	GOODBYE-LIKE
XP_006673887.1	PMD39587.1	GOODBYE-LIKE
KXH41389.1	PMD39587.1	GOODBYE-LIKE
KLO96942.1	PMD39587.1	GOODBYE-LIKE
XP_006695062.1	XP_018696811.1	GOODBYE-LIKE
XP_006695070.1	PMD39587.1	GOODBYE-LIKE
KLO94641.1	PMD39587.1	GOODBYE-LIKE
XP_006961413.1	PMD39587.1	GOODBYE-LIKE
XP_006962421.1	PMD39587.1	GOODBYE-LIKE
KLO93164.1	PMD39587.1	GOODBYE-LIKE
KLO92921.1	PMD39587.1	GOODBYE-LIKE
PMD20662.1	XP_009224635.1	GOODBYE-LIKE
XP_006963821.1	PMD39587.1	GOODBYE-LIKE
KLO91879.1	PMD39587.1	GOODBYE-LIKE
XP_006964585.1	XP_013330503.1	GOODBYE-LIKE
KLO91676.1	PMD39587.1	GOODBYE-LIKE
KLO97652.1	PMD39587.1	GOODBYE-LIKE
XP_006965872.1	PMD39587.1	GOODBYE-LIKE
KLO97736.1	PMD39587.1	GOODBYE-LIKE
XP_004445425.1	PMD39587.1	GOODBYE-LIKE
KLP06868.1	PMD39587.1	GOODBYE-LIKE
XP_003659761.1	XP_003659761.1	GOODBYE-LIKE
KLP06426.1	PMD39587.1	GOODBYE-LIKE
KLP05343.1	PMD39587.1	GOODBYE-LIKE
XP_003708751.1	XP_003708751.1	GOODBYE-LIKE
KLP05034.1	PMD39587.1	GOODBYE-LIKE
PMD29095.1	PMD39587.1	GOODBYE-LIKE
XP_003708754.1	XP_013276984.1	GOODBYE-LIKE
XP_003711290.1	XP_003711290.1	GOODBYE-LIKE
XP_003711680.1	PMD39587.1	GOODBYE-LIKE
XP_003712408.1	PMD39587.1	GOODBYE-LIKE
KLP02536.1	PMD39587.1	GOODBYE-LIKE
XP_003718480.1	PMD39587.1	GOODBYE-LIKE
XP_003718688.1	PMD39587.1	GOODBYE-LIKE
XP_003838584.1	PMD39587.1	GOODBYE-LIKE
PMD29123.1	RFU34722.1	GOODBYE-LIKE
XP_003843279.1	PMD39587.1	GOODBYE-LIKE
KLO99283.1	PMD39587.1	GOODBYE-LIKE
XP_007304284.1	XP_965579.2	GOODBYE-LIKE
KLO90786.1	PMD39587.1	GOODBYE-LIKE
XP_006966228.1	PMD39587.1	GOODBYE-LIKE
KKP07062.1	PMD39587.1	GOODBYE-LIKE
KDN67623.1	PMD39587.1	GOODBYE-LIKE
KLO80598.1	PMD39587.1	GOODBYE-LIKE
KLO80399.1	PMD39587.1	GOODBYE-LIKE
XP_016244496.1	XP_018696811.1	GOODBYE-LIKE
KDN68427.1	PMD39587.1	GOODBYE-LIKE
KLO78902.1	PMD39587.1	GOODBYE-LIKE
KLO78700.1	PMD39587.1	GOODBYE-LIKE
KLO11231.1	PMD39587.1	GOODBYE-LIKE
KLO10467.1	PVF91359.1	GOODBYE-LIKE
KLO10462.1	CUA75454.1	GOODBYE-LIKE
KLO10243.1	PMD39587.1	GOODBYE-LIKE
KLO10224.1	PMD39587.1	GOODBYE-LIKE
KLO05616.1	KLO05616.1	GOODBYE-LIKE
KLO04132.1	CUA75454.1	GOODBYE-LIKE
KXH46596.1	PMD39587.1	GOODBYE-LIKE
XP_007303642.1	XP_003026433.1	GOODBYE-LIKE
XP_016244720.1	PMD39587.1	GOODBYE-LIKE
KXH41992.1	PMD39587.1	GOODBYE-LIKE
KXH45718.1	PMD39587.1	GOODBYE-LIKE
KXH45588.1	PMD39587.1	GOODBYE-LIKE
XP_006967106.1	PYI07524.1	GOODBYE-LIKE
XP_006967614.1	PMD39587.1	GOODBYE-LIKE
KLO90146.1	PMD39587.1	GOODBYE-LIKE
KLO89197.1	PMD39587.1	GOODBYE-LIKE
KLO89182.1	PMD39587.1	GOODBYE-LIKE
KLO88918.1	PMD39587.1	GOODBYE-LIKE
XP_006968294.1	XP_006968294.1	GOODBYE-LIKE
XP_006968768.1	PMD39587.1	GOODBYE-LIKE
KLO86473.1	XP_013330503.1	GOODBYE-LIKE
XP_006969623.1	PMD39587.1	GOODBYE-LIKE
XP_007261964.1	PMD39587.1	GOODBYE-LIKE
XP_016244794.1	PMD39587.1	GOODBYE-LIKE
KXH42264.1	PMD39587.1	GOODBYE-LIKE
XP_016244721.1	PMD39587.1	GOODBYE-LIKE
KLO83775.1	PMD39587.1	GOODBYE-LIKE
KLO83740.1	PMD39587.1	GOODBYE-LIKE
XP_007267814.1	PMD39587.1	GOODBYE-LIKE
XP_007270503.1	PMD39587.1	GOODBYE-LIKE
KKP06868.1	PKK51545.1	GOODBYE-LIKE
PMD32025.1	PMD39587.1	GOODBYE-LIKE
PMD31323.1	PMD39587.1	GOODBYE-LIKE
