SJL16168.1	SJL16168.1
XP_013946669.1	XP_013946669.1
XP_013946741.1	XP_013946741.1
XP_013946960.1	XP_013946960.1
XP_013947692.1	XP_013947692.1
XP_013948430.1	XP_013948430.1
XP_013949309.1	XP_013949309.1
XP_013949309.1	XP_013955724.1
XP_013949309.1	OPB35985.1
XP_013949309.1	PNP48205.1
XP_013949309.1	XP_024767757.1
XP_013953725.1	XP_013953725.1
XP_013956291.1	XP_013956291.1
XP_013956726.1	XP_013956726.1
XP_013956726.1	EMR81113.1
XP_013958103.1	XP_013958103.1
XP_013959782.1	XP_013959782.1
XP_013959782.1	XP_007814941.1
XP_013959922.1	XP_013959922.1
XP_013959922.1	KDN60719.1
XP_013959922.1	XP_007774779.1
XP_014080129.1	XP_014080129.1
XP_014080129.1	EMD86275.1
XP_014080313.1	XP_014080313.1
XP_014080313.1	EMD86453.1
XP_014168121.1	XP_014168121.1
XP_014168225.1	XP_014168225.1
XP_014169500.1	XP_014169500.1
XP_014169748.1	XP_014169748.1
XP_014169838.1	XP_014169838.1
XP_014171088.1	XP_014171088.1
XP_014172138.1	XP_014172138.1
XP_014172149.1	XP_014172149.1
XP_014173085.1	XP_014173085.1
XP_014174340.1	XP_014174340.1
XP_014174961.1	XP_014174961.1
XP_014175242.1	XP_014175242.1
XP_014175242.1	KDN65169.1
XP_014175242.1	KKO99583.1
XP_014175242.1	PLN83429.1
XP_014175550.1	XP_014175550.1
XP_014175677.1	XP_014175677.1
XP_014176054.1	XP_014176054.1
XP_014176054.1	XP_018664337.1
XP_014544145.1	XP_014544145.1
XP_014552000.1	XP_014552000.1
XP_014552000.1	XP_007709123.1
XP_014552000.1	XP_007689159.1
XP_014552000.1	XP_014076116.1
XP_014562056.1	XP_014562056.1
XP_014656250.1	XP_014656250.1
XP_014656250.1	CCF51419.1
XP_014656250.1	XP_011389945.1
XP_014656250.1	PWY98262.1
XP_014656250.1	XP_025349375.1
XP_015702382.1	XP_015702382.1
XP_016219309.1	XP_016219309.1
XP_016219618.1	XP_016219618.1
XP_016219618.1	XP_013268631.1
XP_016221853.1	XP_016221853.1
XP_016224342.1	XP_016224342.1
XP_016224342.1	XP_016224341.1
XP_016224342.1	OCT52419.1
XP_016224342.1	KIW68428.1
XP_016228292.1	XP_016228292.1
XP_016229928.1	XP_016229928.1
XP_016233148.1	XP_016233148.1
XP_016234545.1	XP_016234545.1
XP_016235177.1	XP_016235177.1
XP_016238219.1	XP_016238219.1
XP_016242055.1	XP_016242055.1
XP_016242619.1	XP_016242619.1
XP_016242619.1	OQU98175.1
XP_016246695.1	XP_016246695.1
XP_016248075.1	XP_016248075.1
XP_016248439.1	XP_016248439.1
XP_016254455.1	XP_016254455.1
XP_016254455.1	OQU99066.1
XP_016254837.1	XP_016254837.1
XP_016255029.1	XP_016255029.1
XP_016255967.1	XP_016255967.1
OJA12703.1	OJA12703.1
OJA12716.1	OJA12716.1
OJA13904.1	OJA13904.1
OJA13904.1	KIK40487.1
OJA14139.1	OJA14139.1
OJA18511.1	OJA18511.1
OJA19763.1	OJA19763.1
OJA20955.1	OJA20955.1
OJD12584.1	OJD12584.1
OJD22264.1	OJD22264.1
OJD26635.1	OJD26635.1
OJI85050.1	OJI85050.1
OJJ35858.1	OJJ35858.1
OJJ37948.1	OJJ37948.1
OJJ40744.1	OJJ40744.1
OJJ41888.1	OJJ41888.1
OJJ53059.1	OJJ53059.1
OJJ55450.1	OJJ55450.1
OJJ55474.1	OJJ55474.1
OJJ55474.1	XP_020123502.1
OJJ66292.1	OJJ66292.1
OJJ66294.1	OJJ66294.1
OJJ67524.1	OJJ67524.1
OJJ68443.1	OJJ68443.1
OJT04266.1	OJT04266.1
OJZ92401.1	OJZ92401.1
OKP11593.1	OKP11593.1
OKP12535.1	OKP12535.1
OKP12535.1	AGZ20483.1
OKP12535.1	CEJ54101.1
OKP12535.1	OOQ86355.1
OKP12535.1	PWW73193.1
OKP12535.1	CCX11664.1
OKP12535.1	CUS12309.1
OKP12535.1	PUU83511.1
OKP12535.1	XP_002839455.1
OKP15122.1	OKP15122.1
OMP82577.1	OMP82577.1
OMP84381.1	OMP84381.1
OMP84864.1	OMP84864.1
OMP84864.1	XP_020131587.1
OMP85289.1	OMP85289.1
OMP85289.1	EKG16204.1
OMP85289.1	XP_024406551.1
OMP85364.1	OMP85364.1
OMP88152.1	OMP88152.1
OMP88152.1	KKY24007.1
OMP88152.1	EKG19607.1
OMP88277.1	OMP88277.1
OOF92105.1	OOF92105.1
OOF95351.1	OOF95351.1
OOF95351.1	EIT74423.1
OOF95351.1	PTU19007.1
OOF95351.1	XP_001825709.3
OOF95351.1	XP_025467941.1
OOF96790.1	OOF96790.1
OOF96790.1	CAK42760.1
OOF96790.1	EHA21731.1
OOF96790.1	GAA84770.1
OOF96790.1	GAQ46649.1
OOF96790.1	GAT24639.1
OOF96790.1	OJI83608.1
OOF96790.1	OJZ86913.1
OOF96790.1	OWW34376.1
OOF96790.1	RDH18228.1
OOF96790.1	RDH29284.1
OOF96790.1	SPB49636.1
OOF96790.1	XP_025387832.1
OOF96790.1	XP_025452515.1
OOF96790.1	XP_025477668.1
OOF96790.1	XP_025512072.1
OOF96790.1	XP_025542670.1
OOF96790.1	XP_025558821.1
OOF98744.1	OOF98744.1
OOF98744.1	XP_025548039.1
OOO06611.1	OOO06611.1
OOO08064.1	OOO08064.1
OOO08064.1	PIG81396.1
OOO11070.1	OOO11070.1
OOO12829.1	OOO12829.1
OOO12829.1	KJK63000.1
OOO13950.1	OOO13950.1
OOQ84158.1	OOQ84158.1
OOQ84544.1	OOQ84544.1
OOQ84544.1	CEJ57493.1
OOQ84544.1	RDW80348.1
OOQ84544.1	RDW69224.1
OOQ84544.1	SLM34893.1
OOQ85070.1	OOQ85070.1
OOQ85866.1	OOQ85866.1
OOQ85866.1	OQE46834.1
OOQ85866.1	OQE13759.1
OOQ87565.1	OOQ87565.1
OOQ88781.1	OOQ88781.1
OOQ89504.1	OOQ89504.1
PGH08412.1	PGH08412.1
PGH13486.1	PGH13486.1
PGH14230.1	PGH14230.1
PGH14230.1	XP_022401263.1
PGH14230.1	ODM16360.1
PGH14230.1	PGH18417.1
PGH14471.1	PGH14471.1
PGH18592.1	PGH18592.1
PGH26450.1	PGH26450.1
PGH26836.1	PGH26836.1
PGH26864.1	PGH26864.1
PHH66099.1	PHH66099.1
PHH68964.1	PHH68964.1
PHH68964.1	EXL67958.1
PHH74028.1	PHH74028.1
PHH75608.1	PHH75608.1
PHH76533.1	PHH76533.1
PHH80298.1	PHH80298.1
PHH82069.1	PHH82069.1
PHH82069.1	KLP01066.1
PHH89586.1	PHH89586.1
PHH89663.1	PHH89663.1
PHH91755.1	PHH91755.1
PHH91798.1	PHH91798.1
PIG80206.1	PIG80206.1
PIG81608.1	PIG81608.1
PIG81608.1	KJK60607.1
PIG81970.1	PIG81970.1
PIG81970.1	EIT83074.1
PIG81970.1	KJK63790.1
PIG81970.1	KOC15629.1
PIG81970.1	OOO04882.1
PIG81970.1	RAQ40897.1
PIG81970.1	RAQ60858.1
PIG81970.1	XP_002381813.1
PIG81970.1	XP_023093015.1
PIG88429.1	PIG88429.1
PIG88429.1	KJK64957.1
PKK49548.1	PKK49548.1
PKK51110.1	PKK51110.1
PKK57888.1	PKK57888.1
PKK59642.1	PKK59642.1
PKK59642.1	GBC32910.1
PKK59642.1	EXX56163.1
PKK59642.1	EXX67380.1
PKK59642.1	GBC36095.1
PKK59642.1	GBC44801.1
PKK59642.1	GBC51899.1
PKK59642.1	PKC57818.1
PKK59642.1	PKK58149.1
PKK59642.1	PKK58668.1
PKK59642.1	PKK59049.1
PKK59642.1	PKY34822.1
PKK59642.1	RGB25069.1
PKK59642.1	RGB41573.1
PKK59642.1	XP_025165424.1
PKK59642.1	XP_025185588.1
PKK59642.1	XP_025168671.1
PKK59642.1	GBC28851.1
PKK59642.1	XP_025171882.1
PKK59642.1	EXX68369.1
PKK59642.1	GBC40857.1
PKK59642.1	PKC13661.1
PKK59642.1	PKC66608.1
PKK59642.1	PKK79299.1
PKK59642.1	PVF91067.1
PKK59642.1	PVF91149.1
PKK59642.1	PVF99606.1
PKR94845.1	PKR94845.1
PKR99408.1	PKR99408.1
PKS05524.1	PKS05524.1
PKS05534.1	PKS05534.1
PKS06789.1	PKS06789.1
PKS08576.1	PKS08576.1
PKS11033.1	PKS11033.1
PKS11033.1	XP_016646463.1
PKS11379.1	PKS11379.1
PKS11712.1	PKS11712.1
PKY54741.1	PKY54741.1
PKY54741.1	PKB95905.1
PKY54741.1	EXX64316.1
PKY54741.1	PKC54334.1
PKY54741.1	PKK56963.1
PKY54741.1	PKK59296.1
PKY54741.1	RGB24114.1
PKY54741.1	RGB39362.1
PKY54741.1	XP_025164674.1
PKY54741.1	XP_025168758.1
PKY54741.1	XP_025179787.1
PKY54741.1	PKK71366.1
PKY54741.1	PKC55633.1
RBR19576.1	RBR19576.1
RBR26342.1	RBR26342.1
RBR26847.1	RBR26847.1
RBR26847.1	RFN54247.1
RBR26847.1	KIL93951.1
RCI07150.1	RCI07150.1
RDA85662.1	RDA85662.1
RDA85662.1	RCI16896.1
RDA93695.1	RDA93695.1
RDB18420.1	RDB18420.1
RDB18686.1	RDB18686.1
RDB18686.1	RDB18601.1
RDB22966.1	RDB22966.1
RDB24540.1	RDB24540.1
RDB24544.1	RDB24544.1
RDB27133.1	RDB27133.1
RDB27380.1	RDB27380.1
RDB30116.1	RDB30116.1
RDH16442.1	RDH16442.1
RDH16442.1	CAK40796.1
RDK38109.1	RDK38109.1
RDK38109.1	GAT19576.1
RDK38739.1	RDK38739.1
RDK41076.1	RDK41076.1
RDK46072.1	RDK46072.1
RDK46072.1	CAK43797.1
RDK46072.1	OJI86829.1
RDL30322.1	RDL30322.1
RDL32574.1	RDL32574.1
RDL34715.1	RDL34715.1
RDL34715.1	XP_008078203.1
RDL35854.1	RDL35854.1
RDL35922.1	RDL35922.1
RDL35922.1	RFU31458.1
RDL37405.1	RDL37405.1
RDL37962.1	RDL37962.1
RDL39610.1	RDL39610.1
RDW56452.1	RDW56452.1
RDW56465.1	RDW56465.1
RDW56544.1	RDW56544.1
RDW56554.1	RDW56554.1
RDW57476.1	RDW57476.1
RDW57476.1	RDW58320.1
RDW57476.1	RDW85430.1
RDW58586.1	RDW58586.1
RDW60585.1	RDW60585.1
RDW62193.1	RDW62193.1
RDW63389.1	RDW63389.1
RDW63389.1	RDW57304.1
RDW63459.1	RDW63459.1
RDW64275.1	RDW64275.1
RDW65096.1	RDW65096.1
RDW65096.1	RDW68191.1
RDW86942.1	RDW86942.1
RDW90247.1	RDW90247.1
RDW91018.1	RDW91018.1
RDW91519.1	RDW91519.1
RDW91519.1	RFN43947.1
RDW91519.1	RBR07075.1
RDW91519.1	RBA15936.1
RDW91519.1	KZL67852.1
RDW91705.1	RDW91705.1
RDW91705.1	RDW60559.1
RDW91705.1	KFY28825.1
RDW91721.1	RDW91721.1
RDW91721.1	RDW60544.1
RDW91721.1	CEF79534.1
RDW91721.1	CEJ87213.1
RDW91721.1	CEJ93522.1
RDW91721.1	CEJ94647.1
RDW91721.1	CRL23313.1
RDW91721.1	CZR52361.1
RDW91721.1	CZR58258.1
RDW91721.1	XP_018141392.1
RDW91721.1	CZR60318.1
RDW91721.1	EKG17379.1
RDW91721.1	CZR64681.1
RDW91721.1	CZT00338.1
RDW91721.1	CZT10392.1
RDW91721.1	CZT49999.1
RDW91721.1	KFZ22834.1
RDW91721.1	OBT39283.1
RDW91721.1	XP_020126906.1
RDW91721.1	ELA27117.1
RDW91721.1	ELA27115.1
RDW91721.1	EPE07652.1
RDW91721.1	EPS37718.1
RDW91721.1	XP_011118651.1
RDW91721.1	EXA53638.1
RDW91721.1	EXL67266.1
RDW91721.1	EYB25400.1
RDW91721.1	GAO81652.1
RDW91721.1	KEY75147.1
RDW91721.1	KFA56604.1
RDW91721.1	KEY75149.1
RDW91721.1	KFA80035.1
RDW91721.1	KFA80037.1
RDW91721.1	KFA56612.1
RDW91721.1	KFA69046.1
RDW91721.1	KFY32262.1
RDW91721.1	KFY46562.1
RDW91721.1	KIH90765.1
RDW91721.1	ERS95853.1
RDW91721.1	XP_016586730.1
RDW91721.1	KIL88188.1
RDW91721.1	KIL92993.1
RDW91721.1	KIM94334.1
RDW91721.1	CZR65063.1
RDW91721.1	RFU32291.1
RDW91721.1	XP_018069838.1
RDW91721.1	KIN02558.1
RDW91721.1	KIW66779.1
RDW91721.1	OAL30715.1
RDW91721.1	OCT51258.1
RDW91721.1	KKP05822.1
RDW91721.1	KND91791.1
RDW91721.1	KXH32131.1
RDW91721.1	EXF84067.1
RDW91721.1	KXH51697.1
RDW91721.1	OAL45669.1
RDW91721.1	OAL46683.1
RDW91721.1	OBS26153.1
RDW91721.1	OCK90639.1
RDW91721.1	OCL12400.1
RDW91721.1	OCL14010.1
RDW91721.1	OOQ86236.1
RDW91721.1	OPB46343.1
RDW91721.1	KKP05303.1
RDW91721.1	XP_009229693.1
RDW91721.1	XP_009229692.1
RDW91721.1	XP_013945002.1
RDW91721.1	PNP40599.1
RDW91721.1	XP_018656344.2
RDW91721.1	ORY58056.1
RDW91721.1	OWY55134.1
RDW91721.1	PHH62955.1
RDW91721.1	PMD15083.1
RDW91721.1	PNP40737.1
RDW91721.1	PVH87161.1
RDW91721.1	PVH88844.1
RDW91721.1	RDI80258.1
RDW91721.1	RFU23756.1
RDW91721.1	SMR52950.1
RDW91721.1	SMQ51033.1
RDW91721.1	SMR54424.1
RDW91721.1	SMY24696.1
RDW91721.1	XP_003852537.1
RDW91721.1	XP_003041354.1
RDW91721.1	XP_007737628.1
RDW91721.1	XP_007803110.1
RDW91721.1	XP_008602035.1
RDW91721.1	XP_011123107.1
RDW91721.1	XP_011125839.1
RDW91721.1	XP_011320666.1
RDW91721.1	PTD02210.1
RDW91721.1	XP_013273074.1
RDW91721.1	XP_013277417.1
RDW91721.1	XP_014171434.1
RDW91721.1	KXJ88488.1
RDW91721.1	XP_014175858.1
RDW91721.1	XP_016241576.1
RDW91721.1	XP_016242636.1
RDW91721.1	OQU98195.1
RDW91721.1	XP_018160718.1
RDW91721.1	XP_020115712.1
RDW91721.1	XP_022577062.1
RDW91721.1	XP_023450502.1
RDW91721.1	XP_024735629.1
RDW91721.1	GAM36942.1
RDX49644.1	RDX49644.1
RFN46378.1	RFN46378.1
RFN46378.1	CZR49580.1
RFN46378.1	CVL07284.1
RFN46378.1	KIL85922.1
RFN46378.1	KLO85058.1
RFN46378.1	RBA15925.1
RFN46378.1	KFA46221.1
RFN46378.1	KEY74727.1
RFN46378.1	KFA54499.1
RFN46378.1	KFA64287.1
RFN46378.1	KFA80114.1
RFN46378.1	KIL83794.1
RFN46378.1	KLU84942.1
RFN46378.1	KLU92677.1
RFN46378.1	KPA36012.1
RFN46378.1	KXX83370.1
RFN46378.1	OBS17672.1
RFN46378.1	OBS29589.1
RFN46378.1	OBS20414.1
RFN46378.1	CEF88659.1
RFN46378.1	EYB27129.1
RFN46378.1	KPA38001.1
RFN46378.1	PCD34104.1
RFN46378.1	PTD05416.1
RFN46378.1	RBR14438.1
RFN46378.1	RFN44797.1
RFN46378.1	XP_009255425.1
RFN46378.1	XP_011323324.1
RFN46378.1	XP_025591806.1
RFN46378.1	XP_025591283.1
RFN46378.1	RFN51770.1
RFN46378.1	RBQ93671.1
RFN46378.1	RBR12020.1
RFN46378.1	XP_018744658.1
RFN46378.1	XP_001904212.1
RFN46378.1	XP_009229405.1
RFN46378.1	KLU93067.1
RFN46378.1	XP_009229406.1
RFN46378.1	XP_009216004.1
RFN46378.1	XP_009229779.1
RFN46378.1	XP_009229778.1
RFN46378.1	XP_009259476.1
RFN46378.1	CEF79665.1
RFN46378.1	EYB27935.1
RFN46378.1	OBS26003.1
RFN46378.1	PCD28510.1
RFN46378.1	XP_011320952.1
RFN46378.1	XP_025587033.1
RFN46378.1	XP_025583942.1
RFN46378.1	OBS23217.1
RFN46378.1	KLU91998.1
RFN46378.1	KLU92790.1
RFN46378.1	XP_009229742.1
RFN46378.1	XP_009229780.1
RFN46378.1	XP_009229781.1
RFN46378.1	XP_016643353.1
RFN47150.1	RFN47150.1
RFN48824.1	RFN48824.1
RFN48824.1	EXL54329.1
RFN48824.1	EWZ27802.1
RFN50765.1	RFN50765.1
RFN52133.1	RFN52133.1
RFN52133.1	RBR25208.1
RFN52133.1	KLP15289.1
RFN52133.1	CVL05071.1
RFN52133.1	CVL13536.1
RFN52133.1	SCO02396.1
RFN52133.1	SCO06584.1
RFN52133.1	SCO55579.1
RFN52133.1	SCV45157.1
RFN52133.1	XP_023436036.1
RFN52462.1	RFN52462.1
RFN52462.1	RBR19198.1
RFN52462.1	KZL72051.1
RFN52462.1	OHW99590.1
RFN52462.1	ANM86340.1
RFN52462.1	APA06018.1
RFN52462.1	XP_001597365.1
RFN52462.1	XP_024551686.1
RFN52462.1	APA06065.1
RFN52462.1	APA15625.1
RFN52462.1	CAK43892.1
RFN52462.1	EHA26671.1
RFN52462.1	OWW31634.1
RFN52462.1	RDH17723.1
RFN52462.1	RDH37025.1
RFN52462.1	RDK45967.1
RFN52462.1	XP_001389225.2
RFN52462.1	XP_016594457.1
RFN52462.1	XP_025456190.1
RFN52462.1	CAK48373.1
RFN52462.1	EHA19561.1
RFN52462.1	GAA83862.1
RFN52462.1	GAQ42246.1
RFN52462.1	GAT22366.1
RFN52462.1	OJI82825.1
RFN52462.1	OJJ77785.1
RFN52462.1	OJZ90838.1
RFN52462.1	OOF98974.1
RFN52462.1	OQD99327.1
RFN52462.1	OWW37706.1
RFN52462.1	PYH94744.1
RFN52462.1	PYI00733.1
RFN52462.1	RDH21351.1
RFN52462.1	RDH36433.1
RFN52462.1	RDK38787.1
RFN52462.1	XP_001394383.2
RFN52462.1	XP_025392056.1
RFN52462.1	XP_025455167.1
RFN52462.1	XP_025462278.1
RFN52462.1	XP_025482799.1
RFN52462.1	XP_025515287.1
RFN52462.1	XP_025541222.1
RFN52462.1	XP_025561461.1
RFN52462.1	XP_025570016.1
RFN52462.1	CAL30199.1
RFN52462.1	CDP26546.1
RFN52462.1	XP_001903321.1
RFN52462.1	CAL30200.1
RFN52462.1	CBF69403.1
RFN52462.1	XP_664073.1
RFN52462.1	PIG87074.1
RFN52462.1	CCD48783.1
RFN52462.1	EMR83384.1
RFN52462.1	PQE18876.1
RFN52462.1	PQE21621.1
RFN52462.1	XP_024553750.1
RFN52462.1	CCD49686.1
RFN52462.1	APA12249.1
RFN52462.1	EMR86953.1
RFN52462.1	PQE17155.1
RFN52462.1	PQE26429.1
RFN52462.1	RAL65362.1
RFN52462.1	XP_001588302.1
RFN52462.1	XP_024548427.1
RFN52462.1	CCD51214.1
RFN52462.1	CCF34581.1
RFN52462.1	CCF41881.1
RFN52462.1	CCX04620.1
RFN52462.1	CCX11407.1
RFN52462.1	CCX12006.1
RFN52462.1	CCX12057.1
RFN52462.1	CCX12100.1
RFN52462.1	CCX15438.1
RFN52462.1	CCX16348.1
RFN52462.1	CCX30164.1
RFN52462.1	CCX30308.1
RFN52462.1	CCX04398.1
RFN52462.1	CCX30770.1
RFN52462.1	CCX30781.1
RFN52462.1	CCX32835.1
RFN52462.1	CCX15409.1
RFN52462.1	CCX32395.1
RFN52462.1	CCX33059.1
RFN52462.1	CCX33860.1
RFN52462.1	OAQ59286.1
RFN52462.1	OAQ75494.1
RFN52462.1	PWI64053.1
RFN52462.1	PWI75965.1
RFN52462.1	XP_018172973.1
RFN52462.1	CDM37253.1
RFN52462.1	CEF72123.1
RFN52462.1	EYB30827.1
RFN52462.1	KIL95692.1
RFN52462.1	OBS26295.1
RFN52462.1	PCD18120.1
RFN52462.1	PTD11509.1
RFN52462.1	RBR26044.1
RFN52462.1	RFN50782.1
RFN52462.1	XP_009258382.1
RFN52462.1	XP_025587580.1
RFN52462.1	CEF74871.1
RFN52462.1	EYB31724.1
RFN52462.1	OBS28611.1
RFN52462.1	PCD36342.1
RFN52462.1	XP_009260069.1
RFN52462.1	XP_011318495.1
RFN52462.1	XP_025590184.1
RFN52462.1	CEF84263.1
RFN52462.1	XP_011328640.1
RFN52462.1	CEF87775.1
RFN52462.1	EYB23433.1
RFN52462.1	PCD24446.1
RFN52462.1	XP_011325789.1
RFN52462.1	CEG03538.1
RFN52462.1	CEG04908.1
RFN52462.1	CEJ55591.1
RFN52462.1	OKP00502.1
RFN52462.1	OOQ89141.1
RFN52462.1	XP_022493490.1
RFN52462.1	CEJ57052.1
RFN52462.1	EPS26791.1
RFN52462.1	OKO97250.1
RFN52462.1	OOQ85019.1
RFN52462.1	CEJ57454.1
RFN52462.1	CEJ60880.1
RFN52462.1	CEJ62687.1
RFN52462.1	CEJ81162.1
RFN52462.1	CEJ82927.1
RFN52462.1	CEJ82920.1
RFN52462.1	CEJ82943.1
RFN52462.1	CEJ82946.1
RFN52462.1	CEJ85701.1
RFN52462.1	CEJ87062.1
RFN52462.1	CEJ87393.1
RFN52462.1	CEJ87794.1
RFN52462.1	CEJ93516.1
RFN52462.1	CEJ93529.1
RFN52462.1	CEL01300.1
RFN52462.1	CEL01299.1
RFN52462.1	CEL03835.1
RFN52462.1	CEL06478.1
RFN52462.1	CEL06481.1
RFN52462.1	CEL06482.1
RFN52462.1	CEL06623.1
RFN52462.1	CEL07551.1
RFN52462.1	CEL08131.1
RFN52462.1	CEL08493.1
RFN52462.1	CEL11915.1
RFN52462.1	CEL09008.1
RFN52462.1	CAK46276.1
RFN52462.1	EHA25329.1
RFN52462.1	GAQ44901.1
RFN52462.1	OJI80486.1
RFN52462.1	OJJ70220.1
RFN52462.1	RDH35390.1
RFN52462.1	XP_001395633.2
RFN52462.1	XP_025455897.1
RFN52462.1	XP_025540133.1
RFN52462.1	XP_025564695.1
RFN52462.1	CEL07160.1
RFN52462.1	EDP48589.1
