	cluster_no	mean_seq_len	median_seq_len	sum_residues	unk_sequences	cluster_size	has_unk	seq_ids	class	no_classes
16	CAK48565	89.0	90.0	267	3.0	3	True	['CAK48565.1', 'GAT21831.1', 'XP_020057574.1']	['Eurotiomycetes']	1
17	CAK48967	635.0	635.0	635	0.0	1	False	['CAK48967.1']	['Eurotiomycetes']	1
18	CAL00751	34.0	34.0	69	2.0	2	True	['CAL00751.1', 'XP_022474726.1']	['Eurotiomycetes', 'Sordariomycetes']	2
19	CAL30199	71.0	70.0	356	2.0	5	True	['CAL30199.1', 'CDP26546.1', 'XP_001903321.1', 'CZR62822.1', 'ORY67578.1']	['Sordariomycetes', 'Leotiomycetes']	2
20	CBF82954	39.0	39.0	39	1.0	1	True	['CBF82954.1']	['Eurotiomycetes']	1
21	CCA66522	30.0	30.0	30	1.0	1	True	['CCA66522.1']	['Agaricomycetes']	1
22	CCA66819	95.0	95.0	95	1.0	1	True	['CCA66819.1']	['Agaricomycetes']	1
23	CCA66964	161.0	161.0	161	1.0	1	True	['CCA66964.1']	['Agaricomycetes']	1
24	CCA67403	187.0	187.0	187	0.0	1	False	['CCA67403.1']	['Agaricomycetes']	1
25	CCA68694	494.0	494.0	494	0.0	1	False	['CCA68694.1']	['Agaricomycetes']	1
26	CCA69184	171.0	171.0	171	1.0	1	True	['CCA69184.1']	['Agaricomycetes']	1
27	CCA69306	285.0	285.0	285	1.0	1	True	['CCA69306.1']	['Agaricomycetes']	1
28	CCA70457	216.0	216.0	432	2.0	2	True	['CCA70457.1', 'CCA70458.1']	['Agaricomycetes']	1
29	CCA71206	599.0	599.0	599	1.0	1	True	['CCA71206.1']	['Agaricomycetes']	1
30	CCA71603	83.0	83.0	83	1.0	1	True	['CCA71603.1']	['Agaricomycetes']	1
31	CCA72353	58.0	58.0	58	1.0	1	True	['CCA72353.1']	['Agaricomycetes']	1
32	CCA72692	83.0	83.0	83	1.0	1	True	['CCA72692.1']	['Agaricomycetes']	1
33	CCA73484	456.0	456.0	912	2.0	2	True	['CCA73484.1', 'CCA72633.1']	['Agaricomycetes']	1
34	CCA73527	150.0	148.0	1198	0.0	8	False	['CCA73527.1', 'CCA77386.1', 'CCA73382.1', 'PVF91601.1', 'XP_011315824.1', 'PCD18978.1', 'SLM38232.1', 'SLM41531.1']	['Agaricomycetes', 'Sordariomycetes', 'Lecanoromycetes']	3
35	CCA74053	151.0	151.0	151	1.0	1	True	['CCA74053.1']	['Agaricomycetes']	1
36	CCA74099	23.0	23.0	23	1.0	1	True	['CCA74099.1']	['Agaricomycetes']	1
37	CCA74584	234.0	234.0	234	1.0	1	True	['CCA74584.1']	['Agaricomycetes']	1
38	CCA75279	745.0	745.0	745	1.0	1	True	['CCA75279.1']	['Agaricomycetes']	1
39	CCA75353	510.0	510.0	510	0.0	1	False	['CCA75353.1']	['Agaricomycetes']	1
40	CCA75475	583.0	583.0	583	1.0	1	True	['CCA75475.1']	['Agaricomycetes']	1
41	CCA75611	189.0	189.0	189	1.0	1	True	['CCA75611.1']	['Agaricomycetes']	1
42	CCA75858	290.0	290.0	580	2.0	2	True	['CCA75858.1', 'CCA75010.1']	['Agaricomycetes']	1
43	CCA75897	395.0	395.0	395	1.0	1	True	['CCA75897.1']	['Agaricomycetes']	1
44	CCA76251	85.0	85.0	85	1.0	1	True	['CCA76251.1']	['Agaricomycetes']	1
45	CCA76296	357.0	357.0	357	0.0	1	False	['CCA76296.1']	['Agaricomycetes']	1
46	CCA76332	609.0	609.0	609	0.0	1	False	['CCA76332.1']	['Agaricomycetes']	1
47	CCA76349	58.0	58.0	58	1.0	1	True	['CCA76349.1']	['Agaricomycetes']	1
48	CCA76412	330.0	330.0	661	2.0	2	True	['CCA76412.1', 'CCA76472.1']	['Agaricomycetes']	1
49	CCA76571	75.0	75.0	75	1.0	1	True	['CCA76571.1']	['Agaricomycetes']	1
50	CCA76665	124.0	128.0	496	4.0	4	True	['CCA76665.1', 'CCA75476.1', 'CCA77028.1', 'CCA77363.1']	['Agaricomycetes']	1
51	CCA76781	138.0	137.0	692	5.0	5	True	['CCA76781.1', 'CCA77411.1', 'PVF90778.1', 'PVF91743.1', 'CCA75946.1']	['Agaricomycetes']	1
52	CCA76837	36.0	36.0	36	1.0	1	True	['CCA76837.1']	['Agaricomycetes']	1
53	CCA76847	96.0	96.0	96	1.0	1	True	['CCA76847.1']	['Agaricomycetes']	1
54	CCA76868	322.0	322.0	322	1.0	1	True	['CCA76868.1']	['Agaricomycetes']	1
55	CCA76951	54.0	54.0	107	2.0	2	True	['CCA76951.1', 'CCA76812.1']	['Agaricomycetes']	1
56	CCA77067	62.0	62.0	123	2.0	2	True	['CCA77067.1', 'CCA76467.1']	['Agaricomycetes']	1
57	CCA77456	130.0	130.0	259	2.0	2	True	['CCA77456.1', 'CCA76240.1']	['Agaricomycetes']	1
58	CCA77866	307.0	303.0	1229	4.0	4	True	['CCA77866.1', 'CCA77880.1', 'CCA75861.1', 'CCA72968.1']	['Agaricomycetes']	1
59	CCD33825	125.0	125.0	125	0.0	1	False	['CCD33825.1']	['Leotiomycetes']	1
60	CCD50983	48.0	48.0	48	1.0	1	True	['CCD50983.1']	['Leotiomycetes']	1
61	CCD54352	118.0	118.0	118	1.0	1	True	['CCD54352.1']	['Leotiomycetes']	1
62	CCF34581	74.0	74.0	74	1.0	1	True	['CCF34581.1']	['Sordariomycetes']	1
63	CCF35507	714.0	714.0	1429	0.0	2	False	['CCF35507.1', 'XP_018162654.1']	['Sordariomycetes']	1
64	CCF37913	422.0	422.0	422	0.0	1	False	['CCF37913.1']	['Sordariomycetes']	1
65	CCF40582	197.0	197.0	197	1.0	1	True	['CCF40582.1']	['Sordariomycetes']	1
66	CCF43601	165.0	165.0	165	1.0	1	True	['CCF43601.1']	['Sordariomycetes']	1
67	CCF44066	48.0	48.0	48	0.0	1	False	['CCF44066.1']	['Sordariomycetes']	1
68	CCF44110	62.0	62.0	62	1.0	1	True	['CCF44110.1']	['Sordariomycetes']	1
69	CCF44198	43.0	43.0	43	1.0	1	True	['CCF44198.1']	['Sordariomycetes']	1
70	CCF45549	142.0	142.0	285	2.0	2	True	['CCF45549.1', 'XP_018161721.1']	['Sordariomycetes']	1
71	CCF47091	104.0	104.0	104	1.0	1	True	['CCF47091.1']	['Sordariomycetes']	1
72	CCO30916	35.0	35.0	35	1.0	1	True	['CCO30916.1']	['Agaricomycetes']	1
73	CCO32011	100.0	100.0	100	1.0	1	True	['CCO32011.1']	['Agaricomycetes']	1
74	CCO32470	42.0	42.0	42	1.0	1	True	['CCO32470.1']	['Agaricomycetes']	1
75	CCO33052	312.0	312.0	312	0.0	1	False	['CCO33052.1']	['Agaricomycetes']	1
76	CCO33277	43.0	44.0	989	23.0	23	True	['CCO33277.1', 'CCO36921.1', 'CEL61564.1', 'CCO31634.1', 'CCO35634.1', 'CCO33341.1', 'CCO31281.1', 'CCO33343.1', 'CCO33345.1', 'CCO34125.1', 'CCO35298.1', 'CCO35600.1', 'CCO36683.1', 'CCO37030.1', 'CCO37151.1', 'CCO37535.1', 'CEL58720.1', 'ELU44078.1', 'ELU41635.1', 'CEL59095.1', 'KEP45549.1', 'KDR82347.1', 'KZS89476.1']	['Agaricomycetes']	1
77	CCO33379	880.0	880.0	880	0.0	1	False	['CCO33379.1']	['Agaricomycetes']	1
78	CCO34235	163.0	168.0	977	6.0	6	True	['CCO34235.1', 'CCO35245.1', 'CCO35997.1', 'CCO33532.1', 'CCO33531.1', 'CCO37512.1']	['Agaricomycetes']	1
79	CCO35251	274.0	274.0	274	1.0	1	True	['CCO35251.1']	['Agaricomycetes']	1
80	CCO35737	355.0	374.0	15958	45.0	45	True	['CCO35737.1', 'CCO31702.1', 'CUA67975.1', 'CUA67979.1', 'CUA73260.1', 'CUA74489.1', 'CUA74490.1', 'CUA67974.1', 'CUA75454.1', 'KEP47704.1', 'EUC60433.1', 'EUC55957.1', 'EUC60537.1', 'EUC60547.1', 'KEP47191.1', 'KDN33687.1', 'KDN46741.1', 'CUA67970.1', 'EUC59876.1', 'CUA70749.1', 'CUA70808.1', 'CUA78309.1', 'EUC53510.1', 'EUC58936.1', 'EUC60418.1', 'EUC60431.1', 'EUC60872.1', 'KEP45153.1', 'KEP45339.1', 'KEP45725.1', 'KEP45798.1', 'KEP45892.1', 'KEP46357.1', 'KEP46590.1', 'KEP46840.1', 'KEP46872.1', 'KEP47450.1', 'KEP48237.1', 'KEP48238.1', 'KEP52165.1', 'KEP45489.1', 'KEP45421.1', 'KEP47127.1', 'KEP45621.1', 'KDN49280.1']	['Agaricomycetes']	1
81	CCO36997	33.0	33.0	33	1.0	1	True	['CCO36997.1']	['Agaricomycetes']	1
82	CCO37034	119.0	119.0	119	1.0	1	True	['CCO37034.1']	['Agaricomycetes']	1
83	CCO38093	68.0	68.0	68	1.0	1	True	['CCO38093.1']	['Agaricomycetes']	1
84	CCX05081	214.0	214.0	214	1.0	1	True	['CCX05081.1']	['Pezizomycetes']	1
85	CCX05836	123.0	123.0	123	0.0	1	False	['CCX05836.1']	['Pezizomycetes']	1
86	CCX05972	172.0	172.0	172	1.0	1	True	['CCX05972.1']	['Pezizomycetes']	1
87	CCX06523	843.0	843.0	843	0.0	1	False	['CCX06523.1']	['Pezizomycetes']	1
88	CCX07110	71.0	71.0	71	1.0	1	True	['CCX07110.1']	['Pezizomycetes']	1
89	CCX07754	200.0	200.0	400	0.0	2	False	['CCX07754.1', 'CCX31527.1']	['Pezizomycetes']	1
90	CCX07973	64.0	64.0	64	1.0	1	True	['CCX07973.1']	['Pezizomycetes']	1
91	CCX10918	198.0	198.0	198	0.0	1	False	['CCX10918.1']	['Pezizomycetes']	1
92	CCX11984	137.0	137.0	137	1.0	1	True	['CCX11984.1']	['Pezizomycetes']	1
93	CCX12088	112.0	112.0	223	2.0	2	True	['CCX12088.1', 'CCX08275.1']	['Pezizomycetes']	1
94	CCX12884	177.0	177.0	177	1.0	1	True	['CCX12884.1']	['Pezizomycetes']	1
95	CCX12888	654.0	654.0	654	0.0	1	False	['CCX12888.1']	['Pezizomycetes']	1
96	CCX13199	348.0	348.0	348	0.0	1	False	['CCX13199.1']	['Pezizomycetes']	1
97	CCX13889	41.0	41.0	41	1.0	1	True	['CCX13889.1']	['Pezizomycetes']	1
98	CCX15416	478.0	478.0	478	0.0	1	False	['CCX15416.1']	['Pezizomycetes']	1
99	CCX16278	77.0	77.0	77	1.0	1	True	['CCX16278.1']	['Pezizomycetes']	1
100	CCX16458	76.0	76.0	76	1.0	1	True	['CCX16458.1']	['Pezizomycetes']	1
101	CCX30504	157.0	157.0	157	1.0	1	True	['CCX30504.1']	['Pezizomycetes']	1
102	CCX30698	24.0	24.0	24	1.0	1	True	['CCX30698.1']	['Pezizomycetes']	1
103	CCX30770	382.0	382.0	382	0.0	1	False	['CCX30770.1']	['Pezizomycetes']	1
104	CCX30790	163.0	163.0	163	1.0	1	True	['CCX30790.1']	['Pezizomycetes']	1
105	CCX31033	84.0	84.0	84	1.0	1	True	['CCX31033.1']	['Pezizomycetes']	1
106	CCX31591	116.0	116.0	231	2.0	2	True	['CCX31591.1', 'XP_022398452.1']	['Pezizomycetes', 'Eurotiomycetes']	2
107	CCX31727	200.0	200.0	200	1.0	1	True	['CCX31727.1']	['Pezizomycetes']	1
108	CCX32192	200.0	200.0	200	0.0	1	False	['CCX32192.1']	['Pezizomycetes']	1
109	CCX32199	336.0	336.0	336	0.0	1	False	['CCX32199.1']	['Pezizomycetes']	1
110	CCX32620	365.0	365.0	365	0.0	1	False	['CCX32620.1']	['Pezizomycetes']	1
111	CCX32725	56.0	56.0	56	1.0	1	True	['CCX32725.1']	['Pezizomycetes']	1
112	CCX33228	66.0	66.0	66	1.0	1	True	['CCX33228.1']	['Pezizomycetes']	1
113	CCX33253	332.0	332.0	332	0.0	1	False	['CCX33253.1']	['Pezizomycetes']	1
114	CCX33255	181.0	181.0	181	0.0	1	False	['CCX33255.1']	['Pezizomycetes']	1
115	CCX33329	123.0	123.0	123	0.0	1	False	['CCX33329.1']	['Pezizomycetes']	1
116	CCX34592	176.0	176.0	176	0.0	1	False	['CCX34592.1']	['Pezizomycetes']	1
117	CCX34850	157.0	157.0	157	1.0	1	True	['CCX34850.1']	['Pezizomycetes']	1
118	CDH56756	764.0	764.0	764	0.0	1	False	['CDH56756.1']	['Mucoromycetes']	1
119	CDM28684	134.0	134.0	134	1.0	1	True	['CDM28684.1']	['Eurotiomycetes']	1
120	CDM32510	145.0	145.0	145	0.0	1	False	['CDM32510.1']	['Eurotiomycetes']	1
121	CDM37253	116.0	116.0	116	1.0	1	True	['CDM37253.1']	['Eurotiomycetes']	1
122	CDO72559	251.0	251.0	251	1.0	1	True	['CDO72559.1']	['Agaricomycetes']	1
123	CDO72564	264.0	264.0	264	1.0	1	True	['CDO72564.1']	['Agaricomycetes']	1
124	CDP22885	131.0	131.0	131	1.0	1	True	['CDP22885.1']	['Sordariomycetes']	1
125	CDP29975	57.0	57.0	57	1.0	1	True	['CDP29975.1']	['Sordariomycetes']	1
126	CDZ98257	197.0	197.0	197	1.0	1	True	['CDZ98257.1']	['Tremellomycetes']	1
127	CEF79534	1014.0	1014.0	2027	0.0	2	False	['CEF79534.1', 'KLU85493.1']	['Sordariomycetes']	1
128	CEF79622	461.0	461.0	1383	0.0	3	False	['CEF79622.1', 'EYB27903.1', 'XP_011320994.1']	['Sordariomycetes']	1
129	CEF86061	136.0	136.0	136	1.0	1	True	['CEF86061.1']	['Sordariomycetes']	1
130	CEF86234	357.0	357.0	357	1.0	1	True	['CEF86234.1']	['Sordariomycetes']	1
131	CEG02692	642.0	642.0	642	0.0	1	False	['CEG02692.1']	['Sordariomycetes']	1
132	CEG03183	205.0	205.0	205	0.0	1	False	['CEG03183.1']	['Sordariomycetes']	1
133	CEG03301	29.0	29.0	29	1.0	1	True	['CEG03301.1']	['Sordariomycetes']	1
134	CEG03954	107.0	108.0	322	3.0	3	True	['CEG03954.1', 'CEG03614.1', 'EXL39960.1']	['Sordariomycetes']	1
135	CEG04740	87.0	87.0	87	1.0	1	True	['CEG04740.1']	['Sordariomycetes']	1
136	CEG04875	133.0	132.0	533	4.0	4	True	['CEG04875.1', 'KEY75272.1', 'XP_013959147.1', 'XP_018252738.1']	['Sordariomycetes']	1
137	CEG04908	184.0	184.0	2951	0.0	16	False	['CEG04908.1', 'KKF94022.1', 'OCK89456.1', 'KJK79355.1', 'EOD52735.1', 'OTA00415.1', 'KKK19423.1', 'POS69552.1', 'CEJ87393.1', 'KPA35236.1', 'PTB73106.1', 'XP_018148975.1', 'XP_024769081.1', 'KKP03746.1', 'OTA05103.1', 'XP_024748387.1']	['Sordariomycetes', 'Dothideomycetes', 'Eurotiomycetes']	3
138	CEG05103	178.0	178.0	357	0.0	2	False	['CEG05103.1', 'GAQ33131.1']	['Sordariomycetes', 'Eurotiomycetes']	2
139	CEJ54101	419.0	412.0	1676	0.0	4	False	['CEJ54101.1', 'OOQ86355.1', 'AGZ20483.1', 'OKP12535.1']	['Eurotiomycetes']	1
140	CEJ55150	68.0	65.0	473	7.0	7	True	['CEJ55150.1', 'XP_024779165.1', 'CCD50209.1', 'EXL63975.1', 'OAL56010.1', 'OCK86206.1', 'KOS42820.1']	['Leotiomycetes', 'Eurotiomycetes', 'Sordariomycetes', 'Dothideomycetes']	4
141	CEJ57105	216.0	216.0	216	0.0	1	False	['CEJ57105.1']	['Eurotiomycetes']	1
142	CEJ58173	245.0	245.0	245	1.0	1	True	['CEJ58173.1']	['Eurotiomycetes']	1
143	CEJ60586	145.0	145.0	145	1.0	1	True	['CEJ60586.1']	['Eurotiomycetes']	1
144	CEJ61519	32.0	32.0	32	1.0	1	True	['CEJ61519.1']	['Eurotiomycetes']	1
145	CEJ61540	139.0	139.0	139	0.0	1	False	['CEJ61540.1']	['Eurotiomycetes']	1
146	CEJ62129	58.0	58.0	58	1.0	1	True	['CEJ62129.1']	['Eurotiomycetes']	1
147	CEJ62482	31.0	31.0	31	1.0	1	True	['CEJ62482.1']	['Eurotiomycetes']	1
148	CEJ62910	24.0	24.0	24	0.0	1	False	['CEJ62910.1']	['Eurotiomycetes']	1
149	CEJ81494	100.0	100.0	100	1.0	1	True	['CEJ81494.1']	['Sordariomycetes']	1
150	CEJ81498	107.0	107.0	107	1.0	1	True	['CEJ81498.1']	['Sordariomycetes']	1
151	CEJ82943	84.0	84.0	84	1.0	1	True	['CEJ82943.1']	['Sordariomycetes']	1
152	CEJ87062	412.0	412.0	824	0.0	2	False	['CEJ87062.1', 'CEJ90347.1']	['Sordariomycetes']	1
153	CEJ87159	316.0	316.0	316	1.0	1	True	['CEJ87159.1']	['Sordariomycetes']	1
154	CEJ90119	87.0	87.0	87	1.0	1	True	['CEJ90119.1']	['Sordariomycetes']	1
155	CEJ90304	45.0	45.0	45	0.0	1	False	['CEJ90304.1']	['Sordariomycetes']	1
156	CEJ92447	32.0	32.0	32	1.0	1	True	['CEJ92447.1']	['Sordariomycetes']	1
157	CEJ93522	691.0	718.0	2072	3.0	3	True	['CEJ93522.1', 'CEJ87213.1', 'CEJ94647.1']	['Sordariomycetes']	1
158	CEJ93529	284.0	284.0	284	0.0	1	False	['CEJ93529.1']	['Sordariomycetes']	1
159	CEJ93674	71.0	71.0	71	0.0	1	False	['CEJ93674.1']	['Sordariomycetes']	1
160	CEJ94640	74.0	74.0	74	1.0	1	True	['CEJ94640.1']	['Sordariomycetes']	1
161	CEL00491	556.0	556.0	556	0.0	1	False	['CEL00491.1']	['Eurotiomycetes']	1
162	CEL01301	152.0	152.0	152	1.0	1	True	['CEL01301.1']	['Eurotiomycetes']	1
163	CEL02034	238.0	238.0	238	0.0	1	False	['CEL02034.1']	['Eurotiomycetes']	1
164	CEL02500	37.0	37.0	37	0.0	1	False	['CEL02500.1']	['Eurotiomycetes']	1
165	CEL02523	25.0	25.0	25	1.0	1	True	['CEL02523.1']	['Eurotiomycetes']	1
166	CEL03041	42.0	42.0	42	1.0	1	True	['CEL03041.1']	['Eurotiomycetes']	1
167	CEL04196	96.0	99.0	287	3.0	3	True	['CEL04196.1', 'RAO73139.1', 'KIL83950.1']	['Eurotiomycetes', 'Sordariomycetes']	2
168	CEL06851	197.0	197.0	197	0.0	1	False	['CEL06851.1']	['Eurotiomycetes']	1
169	CEL08131	607.0	607.0	607	0.0	1	False	['CEL08131.1']	['Eurotiomycetes']	1
170	CEL08623	24.0	24.0	24	1.0	1	True	['CEL08623.1']	['Eurotiomycetes']	1
171	CEL09041	366.0	362.0	1462	0.0	4	False	['CEL09041.1', 'RDW67382.1', 'XP_025544663.1', 'CZR55503.1']	['Eurotiomycetes', 'Leotiomycetes']	2
172	CEL09204	31.0	31.0	31	1.0	1	True	['CEL09204.1']	['Eurotiomycetes']	1
173	CEL09353	70.0	70.0	70	1.0	1	True	['CEL09353.1']	['Eurotiomycetes']	1
174	CEL09802	155.0	155.0	155	1.0	1	True	['CEL09802.1']	['Eurotiomycetes']	1
175	CEL10172	186.0	180.0	557	3.0	3	True	['CEL10172.1', 'OQD95724.1', 'XP_022401527.1']	['Eurotiomycetes']	1
176	CEL10344	49.0	49.0	49	1.0	1	True	['CEL10344.1']	['Eurotiomycetes']	1
177	CEL10735	83.0	83.0	83	1.0	1	True	['CEL10735.1']	['Eurotiomycetes']	1
178	CEL11146	388.0	388.0	388	0.0	1	False	['CEL11146.1']	['Eurotiomycetes']	1
179	CEL12039	159.0	159.0	159	1.0	1	True	['CEL12039.1']	['Eurotiomycetes']	1
180	CEL54182	291.0	291.0	291	1.0	1	True	['CEL54182.1']	['Agaricomycetes']	1
181	CEL54423	236.0	236.0	473	2.0	2	True	['CEL54423.1', 'CCO34288.1']	['Agaricomycetes']	1
182	CEL55007	357.0	357.0	357	1.0	1	True	['CEL55007.1']	['Agaricomycetes']	1
183	CEL58697	56.0	56.0	56	1.0	1	True	['CEL58697.1']	['Agaricomycetes']	1
184	CEL58847	251.0	251.0	251	1.0	1	True	['CEL58847.1']	['Agaricomycetes']	1
185	CEL58872	231.0	231.0	231	1.0	1	True	['CEL58872.1']	['Agaricomycetes']	1
186	CEL59071	429.0	429.0	429	1.0	1	True	['CEL59071.1']	['Agaricomycetes']	1
187	CEL59111	237.0	237.0	237	1.0	1	True	['CEL59111.1']	['Agaricomycetes']	1
188	CEL60222	704.0	704.0	704	0.0	1	False	['CEL60222.1']	['Agaricomycetes']	1
189	CEL60394	87.0	87.0	174	2.0	2	True	['CEL60394.1', 'KEP47076.1']	['Agaricomycetes']	1
190	CEL61229	122.0	119.0	608	5.0	5	True	['CEL61229.1', 'CEL61304.1', 'ELU37280.1', 'CUA76602.1', 'ELU35939.1']	['Agaricomycetes']	1
191	CEL61311	175.0	183.0	525	2.0	3	True	['CEL61311.1', 'KEP45895.1', 'PVF90960.1']	['Agaricomycetes']	1
192	CEL61586	269.0	272.0	7272	27.0	27	True	['CEL61586.1', 'CEL61581.1', 'CUA72683.1', 'CUA73478.1', 'CUA72609.1', 'CUA72610.1', 'CUA72611.1', 'CUA72685.1', 'CUA73062.1', 'CUA73479.1', 'CUA73480.1', 'CUA73482.1', 'CUA73483.1', 'CUA73490.1', 'CUA73492.1', 'CUA74102.1', 'CUA74848.1', 'CUA74856.1', 'CUA74857.1', 'CUA76548.1', 'EUC54730.1', 'EUC54755.1', 'KDN47253.1', 'KEP46711.1', 'KEP46756.1', 'KEP48384.1', 'KEP48486.1']	['Agaricomycetes']	1
193	CEL61606	259.0	259.0	518	0.0	2	False	['CEL61606.1', 'CCO37347.1']	['Agaricomycetes']	1
194	CEL63511	318.0	318.0	318	1.0	1	True	['CEL63511.1']	['Agaricomycetes']	1
195	CEL63559	239.0	247.0	1194	5.0	5	True	['CEL63559.1', 'ELU38015.1', 'KDN36307.1', 'KEP47832.1', 'EUC53589.1']	['Agaricomycetes']	1
196	CEL63630	31.0	31.0	31	1.0	1	True	['CEL63630.1']	['Agaricomycetes']	1
197	CEL63638	221.0	221.0	221	1.0	1	True	['CEL63638.1']	['Agaricomycetes']	1
198	CEL63640	284.0	284.0	284	1.0	1	True	['CEL63640.1']	['Agaricomycetes']	1
199	CEN60384	73.0	73.0	146	2.0	2	True	['CEN60384.1', 'CCD43764.1']	['Leotiomycetes', 'Eurotiomycetes']	2
200	CEN61882	95.0	95.0	95	1.0	1	True	['CEN61882.1']	['Eurotiomycetes']	1
201	CEO59386	192.0	201.0	961	0.0	5	False	['CEO59386.1', 'OKP06442.1', 'OBT82191.1', 'XP_022477584.1', 'KXH32429.1']	['Eurotiomycetes', 'Sordariomycetes', 'Leotiomycetes']	3
202	CRG87959	507.0	507.0	507	0.0	1	False	['CRG87959.1']	['Eurotiomycetes']	1
203	CRG88563	40.0	40.0	40	1.0	1	True	['CRG88563.1']	['Eurotiomycetes']	1
204	CRG89396	266.0	266.0	266	0.0	1	False	['CRG89396.1']	['Eurotiomycetes']	1
205	CRG89674	744.0	744.0	744	0.0	1	False	['CRG89674.1']	['Eurotiomycetes']	1
206	CRG89821	218.0	218.0	218	0.0	1	False	['CRG89821.1']	['Eurotiomycetes']	1
207	CRG89885	216.0	222.0	1731	4.0	8	True	['CRG89885.1', 'CRG90074.1', 'GAO83038.1', 'OJJ05347.1', 'XP_022387799.1', 'PYI09306.1', 'XP_018150624.1', 'XP_020119276.1']	['Eurotiomycetes', 'Sordariomycetes']	2
208	CRG90005	205.0	200.0	1639	0.0	8	False	['CRG90005.1', 'RBA11842.1', 'ELA35931.1', 'ERS97636.1', 'KIH90029.1', 'KFZ07830.1', 'KFZ17914.1', 'OBT83728.1']	['Eurotiomycetes', 'Sordariomycetes', 'Leotiomycetes']	3
209	CRG90788	212.0	203.0	1062	2.0	5	True	['CRG90788.1', 'XP_022399344.1', 'ELA30984.1', 'EQB43682.1', 'EWZ00223.1']	['Eurotiomycetes', 'Sordariomycetes']	2
210	CRG91128	546.0	546.0	546	0.0	1	False	['CRG91128.1']	['Eurotiomycetes']	1
211	CRG91367	412.0	412.0	412	0.0	1	False	['CRG91367.1']	['Eurotiomycetes']	1
212	CRG91970	53.0	53.0	53	1.0	1	True	['CRG91970.1']	['Eurotiomycetes']	1
213	CRG92548	1322.0	1322.0	1322	0.0	1	False	['CRG92548.1']	['Eurotiomycetes']	1
214	CRJ79617	57.0	57.0	57	1.0	1	True	['CRJ79617.1']	['Sordariomycetes']	1
215	CRJ88323	542.0	542.0	542	0.0	1	False	['CRJ88323.1']	['Sordariomycetes']	1
216	CRJ96424	261.0	261.0	261	0.0	1	False	['CRJ96424.1']	['Sordariomycetes']	1
217	CRK12887	280.0	276.0	1680	0.0	6	False	['CRK12887.1', 'PNH27667.1', 'PNH42244.1', 'RBQ83391.1', 'XP_003002047.1', 'XP_009656586.1']	['Sordariomycetes']	1
218	CRK12966	653.0	653.0	653	1.0	1	True	['CRK12966.1']	['Sordariomycetes']	1
219	CRK14315	198.0	198.0	198	0.0	1	False	['CRK14315.1']	['Sordariomycetes']	1
220	CRK14448	889.0	889.0	889	0.0	1	False	['CRK14448.1']	['Sordariomycetes']	1
221	CRK15324	1003.0	1003.0	1003	0.0	1	False	['CRK15324.1']	['Sordariomycetes']	1
222	CRK18089	101.0	101.0	101	0.0	1	False	['CRK18089.1']	['Sordariomycetes']	1
223	CRK18764	311.0	321.0	934	3.0	3	True	['CRK18764.1', 'CRK28798.1', 'CRK42660.1']	['Sordariomycetes']	1
224	CRK22525	997.0	997.0	997	0.0	1	False	['CRK22525.1']	['Sordariomycetes']	1
225	CRK23224	30.0	30.0	30	0.0	1	False	['CRK23224.1']	['Sordariomycetes']	1
226	CRK23789	779.0	779.0	779	0.0	1	False	['CRK23789.1']	['Sordariomycetes']	1
