Representative no	Nterm	Family/annotation	E-value
PVF91497.1	unk	Patatin	0.00054
PVF91616.1	unk	Patatin	0.0004
PVF91619.1	unk	Patatin	9.7e-05
PVF92035.1	unk	Patatin	5.9e-07
PVF92033.1	unk	Patatin	0.00014
OBS20439.1	unk	Goodbye	1.4e-06
OBS23125.1	unk	Goodbye	1.5e-22
OBS23225.1	unk	HET-S	1.4000000000000001e-05
OBS23363.1	unk	PNP_UDP_1	0.0093
OBT54124.1	unk	Goodbye	1.5e-10
OBT61186.1	unk	Goodbye	6.8e-22
OBS29612.1	unk	PNP_UDP_1	1.2e-07
OBT39090.1	unk	Goodbye	1.6999999999999997e-23
OBT41614.1	unk	PNP_UDP_1	2.8e-07
OBT45448.1	unk	PNP_UDP_1	1.6e-07
OBT48579.1	unk	Goodbye	2.7000000000000002e-12
OBT51243.1	unk	PNP_UDP_1	1.9e-12
OAL70008.1	unk	NACHT_sigma	9.2e-05
OAQ98794.1	unk	PNP_UDP_1	0.00033
OAQ63858.1	unk	PNP_UDP_1	4.0999999999999997e-08
OCK87148.1	unk	PNP_UDP_1	5.5e-12
OCK88365.1	unk	PNP_UDP_1	0.0016
OCK91026.1	unk	PNP_UDP_1	9.4e-10
OCK76289.1	unk	PNP_UDP_1	0.0008300000000000001
OCK80014.1	unk	PNP_UDP_1	9.2e-07
OCK85164.1	unk	Ses_B	0.00033
OCK96816.1	unk	PNP_UDP_1	1.3e-06
OCK97195.1	unk	Ses_B	0.0021
OCK96369.1	unk	PNP_UDP_1	3.1e-06
OCK97672.1	unk	PNP_UDP_1	9.6e-07
OCK99232.1	unk	Patatin	0.00013000000000000002
OCK99664.1	unk	PNP_UDP_1	2e-12
OCK91805.1	unk	Ses_B	0.009000000000000001
OCB90484.1	unk	C2	0.0038
OCB91509.1	unk	C2	0.001
OBT75901.1	unk	Ses_B	0.0054
OBT77456.1	unk	Goodbye	2.3999999999999997e-19
OBT78714.1	unk	Goodbye	6.7e-14
OBT88509.1	unk	Goodbye	2.6000000000000002e-20
OBT98528.2	unk	Goodbye	2.1000000000000002e-20
OCK73567.1	unk	Goodbye	8.7e-15
KZT34839.1	unk	C2	5e-05
KZT38410.1	unk	C2	0.00039
KZT39376.1	unk	C2	2.1e-05
KZT39381.1	unk	C2	0.0011
KZT34382.1	unk	C2	0.00033999999999999997
KZT42378.1	unk	C2	0.0044
KZS96687.1	unk	C2	0.0036
KZP31458.1	unk	Goodbye	0.0099
KZP32285.1	unk	C2	0.00066
KZP31356.1	unk	C2	0.00014
KZS92492.1	unk	C2	0.00028
KZS95529.1	unk	C2	0.00036
KZS91415.1	unk	C2	5.2000000000000004e-05
KZS89207.1	unk	C2	0.0074
KZS88480.1	unk	C2	0.00035
KZS88518.1	unk	C2	0.00093
KZZ87064.1	unk	PNP_UDP_1	2.9e-07
KZZ88371.1	unk	PNP_UDP_1	1.2e-07
OAA37409.1	unk	DUF676	8.7e-05
OAA44086.1	unk	PNP_UDP_1	4.9000000000000005e-06
OAA65130.1	unk	PNP_UDP_1	1.9e-09
OAL31853.1	unk	DUF676	0.0009
OAL43480.1	unk	Goodbye	5e-17
OAL43741.1	unk	PNP_UDP_1	5.6e-11
OAA75950.1	unk	PNP_UDP_1	1.4e-08
OAK96881.1	unk	Goodbye	1.1e-12
OAK97810.1	unk	Goodbye	6.500000000000001e-29
KZV67341.1	unk	C2	0.0013
KZV72459.1	unk	Goodbye	6.7000000000000006e-18
KZV72767.1	unk	Goodbye	1.4e-07
KZV73950.1	unk	Goodbye	1.3e-08
KZV60178.1	unk	Goodbye	1.5e-09
KZV61282.1	unk	Goodbye	0.0012
KZV62474.1	unk	Goodbye	4.5999999999999996e-11
KZV62707.1	unk	Goodbye	2.5e-08
KZV63220.1	unk	Goodbye	1.5e-07
KZV76440.1	unk	Goodbye	5.3e-09
KZV77333.1	unk	C2	0.005
KZV77396.1	unk	Goodbye	3.5e-08
ORY18336.1	unk	HET	0.0098
ORY05487.1	unk	Goodbye	1.5e-09
OSS45597.1	unk	Goodbye	3e-14
OSS54189.1	unk	Goodbye	0.00021
ORY63953.1	unk	PNP_UDP_1	0.0001
ORY67656.1	unk	PNP_UDP_1	4.4e-07
ORY67765.1	unk	PNP_UDP_1	1.3e-08
ORY67776.1	unk	PNP_UDP_1	1.3e-08
OQE41042.1	unk	Ses_B	0.00016999999999999999
OQE46834.1	unk	Ses_B	0.0019
OQE62786.1	unk	Ses_B	6e-06
OQE69716.1	unk	PNP_UDP_1	5.3e-05
OQE63144.1	unk	Goodbye	6.2e-20
OQE36867.1	unk	Patatin	1.4999999999999999e-05
OQE24399.1	unk	Ses_B	0.00059
OQE26676.1	unk	PNP_UDP_1	2.3e-06
OQE27401.1	unk	Ses_B	0.0001
OQE28318.1	unk	Ses_B	0.0034
OQE28497.1	unk	PNP_UDP_1	8.499999999999999e-05
OQE31474.1	unk	Goodbye	1.1e-07
OQE34326.1	unk	Ses_B	0.006999999999999999
OQE34390.1	unk	Ses_B	0.00018
OQE34396.1	unk	Ses_B	0.00058
OQE36694.1	unk	Ses_B	0.0059
OQU98195.1	unk	PNP_UDP_1	6.900000000000001e-06
OQV00397.1	unk	PNP_UDP_1	6.4e-05
OQV00398.1	unk	PNP_UDP_1	6.4e-05
OQV03005.1	unk	Goodbye	1.1000000000000001e-20
OQV10796.1	unk	Goodbye	1.9000000000000003e-21
OQN98239.1	unk	HET-S	0.0051
OXN13928.1	unk	PNP_UDP_1	4.9e-07
OXN26565.1	unk	PNP_UDP_1	0.00018
OXN28352.1	unk	PNP_UDP_1	5.8e-07
PAV17485.1	unk	C2	1.4000000000000001e-05
PAV17906.1	unk	C2	0.00055
PAV18331.1	unk	C2	0.0093
OXN04834.1	unk	PNP_UDP_1	0.00047000000000000004
OTA84169.1	unk	Goodbye	1.4e-13
OTA91885.1	unk	PNP_UDP_1	0.00016
OTA92751.1	unk	Goodbye	2.6e-23
OTA67103.1	unk	Goodbye	3.5e-14
OTA64151.1	unk	Ses_B	1.2e-05
OTA03559.1	unk	Goodbye	6.5e-09
OTA04241.1	unk	Goodbye	4.0999999999999996e-16
OTA64791.1	unk	PNP_UDP_1	6e-07
OTA57974.1	unk	Goodbye	4.299999999999999e-34
OTA61516.1	unk	PNP_UDP_1	0.00018999999999999998
OTA62308.1	unk	Goodbye	2.6e-23
OWW30621.1	unk	Goodbye	4.1e-15
OWW31742.1	unk	PNP_UDP_1	0.0001
OWW33880.1	unk	HeLo	5.2000000000000004e-05
OWW33971.1	unk	Goodbye	1.2e-07
OWW35395.1	unk	PNP_UDP_1	4.6e-07
OWW38370.1	unk	Ses_B	0.0055
OWW30542.1	unk	Goodbye	1.3e-38
OWY42865.1	unk	Goodbye	4.7e-15
OWY47362.1	unk	Goodbye	4.5e-18
OWY47602.1	unk	Goodbye	4.5000000000000005e-13
OWY52936.1	unk	Goodbye	9.300000000000001e-08
OWW30263.1	unk	Goodbye	2.2e-24
OWW27652.1	unk	PNP_UDP_1	3.1e-06
OTB14588.1	unk	Goodbye	1.8e-23
OJD15619.1	unk	PNP_UDP_1	1.4e-06
OJD24480.1	unk	PNP_UDP_1	4.9000000000000005e-06
OJI81291.1	unk	Goodbye	2.6e-36
OJI86693.1	unk	Goodbye	3.9e-19
OJI95763.1	unk	Goodbye	1e-18
OIW31750.1	unk	PNP_UDP_1	3.6e-07
OJJ52055.1	unk	PNP_UDP_1	7.3e-05
OJJ52423.1	unk	Goodbye	1.4999999999999999e-33
OJJ53750.1	unk	PNP_UDP_1	4.8e-07
OJJ56868.1	unk	PNP_UDP_1	7.9e-06
OJJ56906.1	unk	Goodbye	1.3000000000000001e-20
OJJ56933.1	unk	Goodbye	6.800000000000001e-18
OJJ63582.1	unk	PNP_UDP_1	0.0031
OJJ51876.1	unk	PNP_UDP_1	0.0095
OJJ71190.1	unk	Goodbye	8.199999999999998e-32
OJJ71800.1	unk	Goodbye	9.8e-08
OJJ73704.1	unk	PNP_UDP_1	4.7e-05
OJI99268.1	unk	PNP_UDP_1	0.0036
OJJ40823.1	unk	PNP_UDP_1	2.6e-07
OJI99683.1	unk	Goodbye	3.7e-36
OJJ03387.1	unk	Goodbye	5.999999999999999e-20
OJJ36091.1	unk	Goodbye	1.3000000000000002e-18
OJJ37903.1	unk	PNP_UDP_1	0.00058
OJJ39054.1	unk	Goodbye	3e-18
OCL07598.1	unk	PNP_UDP_1	1.4e-11
OCL01962.1	unk	PNP_UDP_1	0.00013000000000000002
OCL03046.1	unk	PNP_UDP_1	1.8000000000000002e-12
ODM19028.1	unk	Goodbye	2.9e-20
ODM19089.1	unk	PNP_UDP_1	1.2e-06
ODM20645.1	unk	Goodbye	1.8e-21
OHW91055.1	unk	PNP_UDP_1	2.2e-07
OHW93509.1	unk	PNP_UDP_1	1.3e-07
OHW96158.1	unk	Goodbye	3.3e-30
OHW99504.1	unk	PNP_UDP_1	0.0068
OCL12963.1	unk	Ses_B	0.0072
OCT45310.1	unk	HET-S	0.0014
ODM15197.1	unk	PNP_UDP_1	0.0015
OQE21964.1	unk	Ses_B	0.0021
OQD69321.1	unk	Ses_B	0.00058
OQD70846.1	unk	Ses_B	0.004
OQD74234.1	unk	Ses_B	8e-06
OQD80678.1	unk	Ses_B	0.0036
OQD80699.1	unk	Ses_B	0.001
OQD86436.1	unk	PNP_UDP_1	0.00036
OQD86803.1	unk	PNP_UDP_1	4.9000000000000005e-06
OQD78091.1	unk	Ses_B	0.0024
OPB44478.1	unk	PNP_UDP_1	5.9e-06
OQD60534.1	unk	Ses_B	0.0023
OQD60825.1	unk	Ses_B	0.0014
OQD61690.1	unk	PNP_UDP_1	1.3e-07
OQD63020.1	unk	PNP_UDP_1	2.5e-05
OQE08082.1	unk	Goodbye	0.005
OQE08995.1	unk	Ses_B	1.7e-05
OQE13301.1	unk	NACHT_sigma	0.00078
OQE13471.1	unk	Ses_B	0.00022
OQE15662.1	unk	Ses_B	0.0012
OQE16397.1	unk	Goodbye	3.2e-26
OQE17351.1	unk	Goodbye	3.4999999999999996e-21
OQE18582.1	unk	Goodbye	1.9e-18
OQD91874.1	unk	Ses_B	0.0049
OQD92511.1	unk	Ses_B	0.0004
OQD96363.1	unk	PNP_UDP_1	1.6e-05
OQD99022.1	unk	PNP_UDP_1	3.2e-06
OQD99672.1	unk	Patatin	1.1000000000000001e-10
OQE00994.1	unk	Ses_B	0.0002
OKP12980.1	unk	Ses_B	0.0006900000000000001
OKP13383.1	unk	Goodbye	4.0000000000000003e-29
OLN91695.1	unk	Goodbye	2.0000000000000002e-29
OLN95506.1	unk	PNP_UDP_1	8.900000000000001e-10
OLN95527.1	unk	PNP_UDP_1	1.1e-09
OMP84402.1	unk	PNP_UDP_1	3.6e-07
OJZ86530.1	unk	Goodbye	1.7e-07
OJZ92406.1	unk	PNP_UDP_1	0.0003
OKO90580.1	unk	Patatin	1.2e-05
OKO99861.1	unk	Helo_like_N	0.00078
OKP00976.1	unk	PNP_UDP_1	9.3e-06
OOQ88438.1	unk	Goodbye	3.7e-30
OOQ89568.1	unk	Goodbye	5.899999999999999e-19
OPB35975.1	unk	PNP_UDP_1	7.499999999999999e-06
OPB37001.1	unk	PNP_UDP_1	0.0003
OPB37494.1	unk	PNP_UDP_1	0.0014
OPB40455.1	unk	Goodbye	9.999999999999999e-16
OPB36500.1	unk	PNP_UDP_1	0.0032
OOQ83622.1	unk	PNP_UDP_1	2.9e-07
OOF97977.1	unk	Goodbye	3.4e-34
OOO04690.1	unk	PNP_UDP_1	3.8e-06
OOO04882.1	unk	NACHT_N	4.8e-06
OOO12207.1	unk	PNP_UDP_1	1.4999999999999999e-05
OOO08613.1	unk	PNP_UDP_1	1.8e-07
OOO06968.1	unk	PNP_UDP_1	5.6e-07
OOO10316.1	unk	PNP_UDP_1	1.4e-06
RAQ55214.1	unk	PNP_UDP_1	1.4e-06
RAQ55707.1	unk	PNP_UDP_1	4e-07
XP_014173844.1	unk	Goodbye	1.3e-21
XP_014540071.1	unk	PNP_UDP_1	3.4e-07
XP_014077906.1	unk	PNP_UDP_1	1.2e-06
XP_015404926.1	unk	PNP_UDP_1	3.7e-05
XP_015406958.1	unk	PNP_UDP_1	1.3e-06
XP_015407425.1	unk	PNP_UDP_1	1.5e-06
XP_015408078.1	unk	PNP_UDP_1	8.8e-06
XP_015412027.1	unk	Goodbye	1.3e-09
XP_015702382.1	unk	Goodbye	0.0011
XP_016208178.1	unk	HET	0.0007
XP_014540860.1	unk	PNP_UDP_1	1.1e-06
XP_014562464.1	unk	PNP_UDP_1	0.00065
XP_014542934.1	unk	PNP_UDP_1	1.5e-09
XP_014543499.1	unk	PNP_UDP_1	2.8e-06
XP_014543613.1	unk	PNP_UDP_1	0.0082
XP_014548869.1	unk	PNP_UDP_1	3.8e-05
XP_014551147.1	unk	Goodbye	1.1e-12
XP_014551183.1	unk	HET	0.0026
XP_014558321.1	unk	PNP_UDP_1	1.1e-12
XP_013961153.1	unk	Goodbye	1.9999999999999998e-15
XP_013948494.1	unk	PNP_UDP_1	7.1e-06
XP_013949014.1	unk	Goodbye	9.9e-14
XP_013950354.1	unk	PNP_UDP_1	2.6e-08
XP_013945503.1	unk	PNP_UDP_1	6.6e-05
XP_013952344.1	unk	PNP_UDP_1	1.1e-05
XP_013959328.1	unk	PNP_UDP_1	3.6000000000000003e-06
XP_016232083.1	unk	Goodbye	2.5999999999999997e-11
XP_018041540.1	unk	Goodbye	3.9999999999999995e-15
XP_018003447.1	unk	Goodbye	4.6e-22
XP_018036557.1	unk	Goodbye	1.1999999999999999e-28
XP_018132261.1	unk	Goodbye	2.1000000000000002e-20
XP_018136334.1	unk	NACHT_sigma	0.0013
XP_018137496.1	unk	PNP_UDP_1	1.2e-06
XP_018137875.1	unk	PNP_UDP_1	7e-05
XP_018138705.1	unk	PNP_UDP_1	8.9e-09
XP_018140679.1	unk	PNP_UDP_1	1.3e-06
XP_018144541.1	unk	PNP_UDP_1	0.00066
XP_018144664.1	unk	PNP_UDP_1	1.3e-06
XP_018131007.1	unk	Goodbye	3.0999999999999996e-11
XP_016642315.1	unk	Goodbye	1.1000000000000001e-16
XP_016254623.1	unk	Goodbye	5.5e-10
XP_016255967.1	unk	Ses_B	1.9e-05
XP_016252885.1	unk	PNP_UDP_1	5.3e-12
XP_016267931.1	unk	HET-S	0.0032
XP_016268996.1	unk	Goodbye	6.3e-12
XP_016240961.1	unk	PNP_UDP_1	4.0999999999999997e-08
XP_016240984.1	unk	PNP_UDP_1	1.8e-11
XP_016248732.1	unk	PNP_UDP_1	2.2999999999999998e-08
XP_016250813.1	unk	Goodbye	3.7000000000000006e-14
XP_016251116.1	unk	Goodbye	3.5e-23
XP_016639839.1	unk	PNP_UDP_1	1.3999999999999998e-10
XP_016640593.1	unk	Goodbye	2e-33
XP_016640843.1	unk	PNP_UDP_1	2.6e-06
XP_016595576.1	unk	Ses_B	0.0023
XP_016596041.1	unk	PNP_UDP_1	4.1e-06
XP_016596106.1	unk	Ses_B	0.0005200000000000001
XP_016602120.1	unk	Ses_B	6.3e-05
XP_016614762.1	unk	HET-S	0.0032
XP_016615100.1	unk	Goodbye	2.7e-20
XP_008723980.1	unk	Goodbye	7.1e-15
XP_009223685.1	unk	PNP_UDP_1	5.6000000000000006e-05
XP_008093601.1	unk	PNP_UDP_1	0.0021
XP_008599121.1	unk	PNP_UDP_1	2.6e-06
XP_008600097.1	unk	HET	0.0091
XP_008602822.1	unk	PNP_UDP_1	0.0001
XP_008603015.1	unk	PNP_UDP_1	3.5e-07
XP_008603234.1	unk	PNP_UDP_1	0.00084
XP_008713843.1	unk	PNP_UDP_1	4.2999999999999995e-06
XP_009228193.1	unk	Ses_B	0.00022
XP_009262472.1	unk	Goodbye	3.7e-08
XP_009547986.1	unk	Goodbye	3.2e-17
XP_009548148.1	unk	Goodbye	6.4e-12
XP_009653755.1	unk	Patatin	1.2e-05
XP_009259788.1	unk	Goodbye	1.4000000000000002e-21
XP_009228702.1	unk	Ses_B	0.00035
XP_009229676.1	unk	PNP_UDP_1	4.9e-05
XP_009229677.1	unk	PNP_UDP_1	4.9e-05
XP_009229739.1	unk	Patatin	2.3e-05
XP_009255116.1	unk	PNP_UDP_1	4.1e-06
XP_009258537.1	unk	PNP_UDP_1	1.6e-08
XP_008090055.1	unk	PNP_UDP_1	5.9e-06
XP_007827178.1	unk	NACHT_sigma	0.0025
XP_007829293.1	unk	PNP_UDP_1	0.00014
XP_007831718.1	unk	Goodbye	7.6e-05
XP_007835118.1	unk	PNP_UDP_1	2.3e-07
XP_007835331.1	unk	PNP_UDP_1	0.0034
XP_007838088.1	unk	PNP_UDP_1	4.2e-08
XP_007825849.2	unk	PNP_UDP_1	9.8e-07
XP_007817257.2	unk	PNP_UDP_1	2.4e-10
XP_007817571.2	unk	PNP_UDP_1	2e-05
XP_007824977.2	unk	PNP_UDP_1	0.00016999999999999999
XP_007839414.1	unk	PNP_UDP_1	0.0041
XP_008026393.1	unk	Goodbye	3.6e-09
XP_008075971.1	unk	Goodbye	1e-17
XP_007840446.1	unk	PNP_UDP_1	3.3e-07
XP_007865086.1	unk	C2	0.0029
XP_007921915.1	unk	PNP_UDP_1	2.3e-07
XP_007921545.1	unk	Goodbye	5.5e-11
XP_013272716.1	unk	PNP_UDP_1	0.0005099999999999999
XP_013277448.1	unk	PNP_UDP_1	1.6e-06
XP_013273951.1	unk	PNP_UDP_1	0.00027
XP_013263765.1	unk	PNP_UDP_1	2.3e-07
XP_013268540.1	unk	Goodbye	8.4e-16
XP_013270181.1	unk	PNP_UDP_1	3.9e-06
XP_013259864.1	unk	PNP_UDP_1	2.4e-05
XP_013940245.1	unk	PNP_UDP_1	2e-06
XP_013941295.1	unk	PNP_UDP_1	2.9e-07
XP_013941335.1	unk	PNP_UDP_1	0.0056
XP_013942382.1	unk	PNP_UDP_1	6.6e-06
