Cluster no	No	Hit	Prob	E-value	P-value	Score	SS	Cols	Query HMM	Template HMM
OBZ65626	3	PF05621.11 ; TniB ; Bacterial	94.6	0.00039	6.900000000000001e-08	47.3	0.0	36	258-295	15-51  (191)
OBZ65626	4	PF00931.22 ; NB-ARC ; NB-ARC d	94.2	0.00063	1.1e-07	47.8	0.0	32	261-295	2-34  (240)
OBZ65626	5	PF01057.17 ; Parvo_NS1 ; Parvo	93.4	0.0014	2.4e-07	48.3	0.0	32	261-295	102-134 (284)
OBZ65626	6	PF17109.5 ; Goodbye ; fungal S	93.3	0.0015	2.7e-07	41.5	0.0	67	43-110	54-120 (123)
OBZ65626	7	PF10236.9 ; DAP3 ; Mitochondri	93.3	0.0016	2.8e-07	49.2	0.0	18	278-295	22-40  (322)
OBZ65626	8	PF07931.12 ; CPT ; Chloramphen	93.1	0.0018	3.1e-07	42.7	0.0	15	281-295	2-17  (163)
OBZ65626	9	PF13177.6 ; DNA_pol3_delta2 ;	93.0	0.0019	3.4e-07	48.0	0.0	33	259-295	2-35  (297)
OBZ65626	10	PF06414.12 ; Zeta_toxin ; Zeta	92.5	0.0028	4.9e-07	43.3	0.0	18	278-295	12-30  (196)
CVK98219	1	PF16496.5 ; SWIRM-assoc_2 ; SW	15.0	8.8	0.0018	26.4	0.0	24	87-110	223-246 (405)
CVK98219	2	PF09907.9 ; HigB_toxin ; HigB_	9.6	16.0	0.0033	17.9	0.0	14	93-106	61-74  (74)
CVK98219	3	PF06616.11 ; BsuBI_PstI_RE ; B	8.0	22.0	0.0043	20.8	0.0	26	78-103	121-146 (153)
CVK98219	4	PF08466.10 ; IRK_N ; Inward re	6.4	29.0	0.0057	16.2	0.0	12	7-18	36-47  (47)
CVK98219	5	PF04316.13 ; FlgM ; Anti-sigma	3.0	70.0	0.015	14.0	0.0	23	73-95	21-43  (55)
CVK98219	6	PF14567.6 ; SUKH_5 ; SMI1-KNR4	2.9	66.0	0.015	15.0	0.0	24	67-90	28-51  (134)
CVK98219	7	PF12095.8 ; CRR7 ; Protein CHL	2.7	88.0	0.017	16.1	0.0	27	81-107	54-80  (85)
CVK98219	8	PF10929.8 ; DUF2811 ; Protein	2.5	97.0	0.019	15.2	0.0	22	62-83	9-30  (65)
CVK98219	9	PF04664.13 ; OGFr_N ; Opioid g	2.0	120.0	0.025	17.5	0.0	19	90-108	32-50  (208)
CVK98219	10	PF14568.6 ; SUKH_6 ; SMI1-KNR4	1.9	100.0	0.025	13.3	0.0	22	71-92	12-33  (120)
XP_024755941	1	PF17111.5 ; Helo_like_N ; Fung	99.4	2e-17	3.4e-21	112.5	0.0	170	7-179	1-177 (209)
XP_024755941	2	PF17107.5 ; SesA ; N-terminal	98.5	2.2e-11	3.9e-15	75.7	0.0	115	13-131	1-132 (133)
XP_024755941	3	PF14479.6 ; HeLo ; Prion-inhib	92.7	0.0025	4.3e-07	40.2	0.0	33	105-137	137-170 (199)
XP_024755941	4	PF00599.17 ; Flu_M2 ; Influenz	79.2	0.08900000000000001	1.6e-05	27.2	0.0	24	6-29	22-45  (97)
XP_024755941	5	PF15967.5 ; Nucleoporin_FG2 ;	77.2	0.11	2e-05	37.8	0.0	15	118-132	352-366 (605)
XP_024755941	6	PF05659.11 ; RPW8 ; Arabidopsi	64.7	0.36	6.2e-05	27.6	0.0	24	39-62	29-52  (140)
XP_024755941	7	PF06103.11 ; DUF948 ; Bacteria	59.2	0.53	9.2e-05	24.0	0.0	25	26-50	16-40  (87)
XP_024755941	8	PF18005.1 ; eIF3m_C_helix ; eI	36.2	2.1	0.00037	16.4	0.0	24	113-136	3-26  (29)
XP_024755941	9	PF16496.5 ; SWIRM-assoc_2 ; SW	34.9	2.3	0.00041	28.7	0.0	17	198-214	229-245 (405)
XP_024755941	10	PF15967.5 ; Nucleoporin_FG2 ;	26.7	3.9	0.0006900000000000001	29.1	0.0	23	71-93	354-376 (605)
CZR69583	1	PF16496.5 ; SWIRM-assoc_2 ; SW	50.9	0.86	0.00015	27.5	0.0	19	83-101	228-246 (405)
CZR69583	2	PF13120.6 ; DUF3974 ; Domain o	24.6	4.5	0.0008	19.5	0.0	43	57-101	30-74  (126)
CZR69583	3	PF11806.8 ; DUF3327 ; Domain o	17.0	8.0	0.0015	18.0	0.0	18	76-93	37-54  (121)
CZR69583	4	PF08946.10 ; Osmo_CC ; Osmosen	11.9	14.0	0.0025	14.6	0.0	8	6-13	5-12  (46)
CZR69583	5	PF17705.1 ; DUF5551 ; Family o	9.7	19.0	0.0033	17.7	0.0	31	58-88	85-115 (155)
CZR69583	6	PF10136.9 ; SpecificRecomb ; S	9.4	19.0	0.0034	22.5	0.0	12	1-12	384-395 (638)
CZR69583	7	PF02177.16 ; APP_N ; Amyloid A	5.6	38.0	0.0069	15.6	0.0	7	83-89	29-35  (111)
CZR69583	8	PF10081.9 ; Abhydrolase_9 ; Al	5.5	39.0	0.006999999999999999	18.6	0.0	26	63-88	142-167 (288)
CZR69583	9	PF17839.1 ; CNP_C_terminal ; C	3.2	76.0	0.013999999999999999	13.5	0.0	12	88-99	75-86  (106)
CZR69583	10	PF09638.10 ; Ph1570 ; Ph1570 p	3.1	81.0	0.013999999999999999	15.2	0.0	19	6-24	56-74  (155)
XP_016644109	1	PF01734.22 ; Patatin ; Patatin	99.6	2.0000000000000002e-20	4.2e-24	169.3	0.0	190	117-316	1-221 (221)
XP_016644109	2	PF01735.18 ; PLA2_B ; Lysophos	96.0	2e-05	4e-09	77.2	0.0	68	116-183	2-71  (488)
XP_016644109	3	PF01735.18 ; PLA2_B ; Lysophos	37.7	1.7	0.00033999999999999997	39.2	0.0	20	299-318	301-321 (488)
XP_016644109	4	PF07812.12 ; TfuA ; TfuA-like	32.8	2.5	0.00045999999999999996	30.5	0.0	23	155-177	23-45  (120)
XP_016644109	5	PF06361.11 ; RTBV_P12 ; Rice t	23.4	4.9	0.0008699999999999999	26.4	0.0	43	124-170	47-89  (110)
XP_016644109	6	PF05728.12 ; UPF0227 ; Unchara	21.3	4.8	0.001	28.2	0.0	17	157-173	65-81  (190)
XP_016644109	7	PF08840.11 ; BAAT_C ; BAAT / A	18.7	6.0	0.0013	28.5	0.0	17	157-173	25-41  (210)
XP_016644109	8	PF00561.20 ; Abhydrolase_1 ; a	16.5	7.2	0.0015	27.8	0.0	16	158-173	72-87  (237)
XP_016644109	9	PF05705.14 ; DUF829 ; Eukaryot	16.4	7.3	0.0016	27.9	0.0	18	156-173	68-85  (238)
XP_016644109	10	PF03583.14 ; LIP ; Secretory l	14.2	9.0	0.0019	28.4	0.0	17	157-173	74-90  (291)
RDW63506	1	PF06985.11 ; HET ; Heterokaryo	99.8	5.499999999999999e-26	1.1e-29	157.1	0.0	116	55-173	1-127 (127)
RDW63506	2	PF03139.15 ; AnfG_VnfG ; Vanad	12.4	13.0	0.0023	21.4	0.0	16	97-112	51-66  (111)
RDW63506	3	PF09045.10 ; L27_2 ; L27_2	12.0	13.0	0.0025	18.5	0.0	19	157-175	32-50  (58)
RDW63506	4	PF06708.11 ; DUF1195 ; Protein	11.7	14.0	0.0025	22.2	0.0	20	114-133	80-99  (147)
RDW63506	5	PF01099.17 ; Uteroglobin ; Ute	11.5	14.0	0.0026	19.7	0.0	24	107-130	64-87  (89)
RDW63506	6	PF02258.16 ; SLT_beta ; Shiga-	8.3	23.0	0.0041	17.8	0.0	24	157-180	23-46  (70)
RDW63506	7	PF09252.10 ; Feld-I_B ; Allerg	7.9	23.0	0.0044	17.6	0.0	23	108-130	42-64  (67)
RDW63506	8	PF15834.5 ; THEG4 ; Testis hig	6.2	33.0	0.0059	21.2	0.0	22	2-23	34-55  (201)
RDW63506	9	PF17395.2 ; DUF5403 ; Family o	3.0	79.0	0.015	16.7	0.0	19	124-142	1-19  (93)
RDW63506	10	PF03139.15 ; AnfG_VnfG ; Vanad	2.9	85.0	0.015	17.4	0.0	27	164-190	19-48  (111)
KIM72072	1	PF11043.8 ; DUF2856 ; Protein	61.2	0.43	8e-05	21.8	0.0	29	16-46	5-33  (97)
KIM72072	2	PF15894.5 ; SgrT ; Inhibitor o	56.6	0.58	0.00011	18.6	0.0	17	29-45	25-41  (49)
KIM72072	3	PF13124.6 ; DUF3963 ; Protein	44.5	1.3	0.00022999999999999998	16.8	0.0	11	35-45	12-22  (40)
KIM72072	4	PF18385.1 ; Tiam_CC_Ex ; T-lym	37.5	1.9	0.00035	19.4	0.0	18	28-45	22-39  (98)
KIM72072	5	PF02037.27 ; SAP ; SAP domain	37.2	1.7	0.00035	13.7	0.0	15	29-43	21-35  (35)
KIM72072	6	PF13050.6 ; DUF3911 ; Protein	24.8	4.4	0.00079	17.2	0.0	14	28-41	6-19  (77)
KIM72072	7	PF16727.5 ; REV1_C ; DNA repai	21.1	5.1	0.001	16.5	0.0	12	35-46	2-13  (104)
KIM72072	8	PF03931.15 ; Skp1_POZ ; Skp1 f	19.7	5.7	0.0012	14.4	0.0	20	26-45	41-60  (63)
KIM72072	9	PF17560.2 ; Megourin ; Aphid M	14.4	11.0	0.0019	14.9	0.0	20	15-34	14-33  (63)
KIM72072	10	PF14751.6 ; DUF4474 ; Domain o	14.0	10.0	0.002	18.9	0.0	22	24-45	189-210 (241)
PCD20839	1	PF17111.5 ; Helo_like_N ; Fung	99.6	2.8999999999999996e-21	5.0000000000000005e-25	123.2	0.0	176	2-181	1-177 (209)
PCD20839	2	PF17107.5 ; SesA ; N-terminal	98.6	6.2e-12	1.1e-15	73.3	0.0	119	8-131	1-132 (133)
PCD20839	3	PF00599.17 ; Flu_M2 ; Influenz	83.9	0.044000000000000004	7.699999999999999e-06	26.8	0.0	23	2-24	23-45  (97)
PCD20839	4	PF15967.5 ; Nucleoporin_FG2 ;	78.3	0.1	1.8e-05	35.8	0.0	17	116-132	350-366 (605)
PCD20839	5	PF06103.11 ; DUF948 ; Bacteria	70.1	0.24	4e-05	24.0	0.0	27	20-46	15-41  (87)
PCD20839	6	PF18005.1 ; eIF3m_C_helix ; eI	52.0	0.84	0.00015	16.7	0.0	24	113-136	3-26  (29)
PCD20839	7	PF05508.11 ; Ran-binding ; Ran	47.1	1.1	0.00018999999999999998	27.9	0.0	29	115-143	131-159 (344)
PCD20839	8	PF05659.11 ; RPW8 ; Arabidopsi	42.2	1.5	0.00026000000000000003	23.2	0.0	14	115-128	98-111 (140)
PCD20839	9	PF15967.5 ; Nucleoporin_FG2 ;	36.7	2.1	0.00036	28.9	0.0	21	74-94	355-375 (605)
PCD20839	10	PF08285.11 ; DPM3 ; Dolichol-p	31.1	3.0	0.0005099999999999999	20.0	0.0	23	31-53	62-84  (90)
KZV64388	1	PF17111.5 ; Helo_like_N ; Fung	93.8	0.00086	1.8e-07	48.9	0.0	123	93-222	12-138 (209)
KZV64388	2	PF05659.11 ; RPW8 ; Arabidopsi	88.6	0.013999999999999999	2.6e-06	40.5	0.0	104	95-211	9-113 (140)
KZV64388	3	PF17107.5 ; SesA ; N-terminal	82.4	0.049	9.9e-06	36.0	0.0	75	101-176	10-86  (133)
KZV64388	4	PF15967.5 ; Nucleoporin_FG2 ;	53.3	0.71	0.00013000000000000002	38.7	0.0	20	195-214	355-374 (605)
KZV64388	5	PF17109.5 ; Goodbye ; fungal S	47.2	0.99	0.00018999999999999998	28.7	0.0	38	92-129	79-116 (123)
KZV64388	6	PF04136.15 ; Sec34 ; Sec34-lik	38.2	1.7	0.00033	28.9	0.0	29	111-139	4-32  (150)
KZV64388	7	PF17100.5 ; NACHT_N ; N-termin	36.7	1.8	0.00036	30.1	0.0	21	91-111	104-124 (229)
KZV64388	8	PF11492.8 ; Dicistro_VP4 ; Cri	29.2	3.1	0.00058	22.7	0.0	32	78-109	17-48  (57)
KZV64388	9	PF18709.1 ; DLP_helical ; Dyna	23.4	4.4	0.0008699999999999999	29.6	0.0	91	80-175	237-327 (333)
KZV64388	10	PF16566.5 ; CREPT ; Cell-cycle	19.1	6.3	0.0012	25.5	0.0	90	106-213	34-123 (147)
KZP03196	1	PF17100.5 ; NACHT_N ; N-termin	97.8	6.8000000000000005e-09	1.2e-12	71.1	0.0	135	6-143	79-227 (229)
KZP03196	2	PF17109.5 ; Goodbye ; fungal S	96.4	6e-06	1e-09	49.9	0.0	71	5-75	51-122 (123)
KZP03196	3	PF00308.18 ; Bac_DnaA ; Bacter	95.1	0.00018999999999999998	3.3e-08	46.1	0.0	40	186-225	10-49  (219)
KZP03196	4	PF07693.14 ; KAP_NTPase ; KAP	94.5	0.00043	7.599999999999999e-08	47.1	0.0	34	192-225	1-47  (307)
KZP03196	5	PF13191.6 ; AAA_16 ; AAA ATPas	94.5	0.00047000000000000004	8.3e-08	43.0	0.0	34	192-225	5-40  (189)
KZP03196	6	PF01637.18 ; ATPase_2 ; ATPase	94.4	0.00049	8.5e-08	43.6	0.0	33	192-225	4-36  (209)
KZP03196	7	PF06309.11 ; Torsin ; Torsin	94.2	0.00067	1.2e-07	39.6	0.0	32	194-225	35-68  (126)
KZP03196	8	PF00931.22 ; NB-ARC ; NB-ARC d	94.1	0.0007	1.2e-07	43.7	0.0	31	195-225	3-34  (240)
KZP03196	9	PF05621.11 ; TniB ; Bacterial	93.4	0.0015	2.6e-07	40.6	0.0	35	191-225	15-51  (191)
KZP03196	10	PF13177.6 ; DNA_pol3_delta2 ;	92.4	0.003	5.3e-07	43.2	0.0	34	192-225	2-35  (297)
PMD18044	1	PF06985.11 ; HET ; Heterokaryo	99.6	4.1e-21	8.1e-25	119.5	0.0	83	53-138	1-84  (127)
PMD18044	2	PF03139.15 ; AnfG_VnfG ; Vanad	18.9	6.8	0.0012	20.8	0.0	16	95-110	51-66  (111)
PMD18044	3	PF01099.17 ; Uteroglobin ; Ute	18.5	6.8	0.0013	19.3	0.0	24	105-128	64-87  (89)
PMD18044	4	PF06708.11 ; DUF1195 ; Protein	18.3	7.2	0.0013	21.7	0.0	21	111-131	79-99  (147)
PMD18044	5	PF09252.10 ; Feld-I_B ; Allerg	14.2	10.0	0.0019	17.5	0.0	24	105-128	41-64  (67)
PMD18044	6	PF10374.9 ; EST1 ; Telomerase	13.6	11.0	0.002	19.2	0.0	17	123-139	98-114 (122)
PMD18044	7	PF11900.8 ; DUF3420 ; Domain o	5.5	38.0	0.0069	14.1	0.0	21	103-123	3-23  (45)
PMD18044	8	PF09612.10 ; HtrL_YibB ; Bacte	4.9	42.0	0.008	19.3	0.0	14	95-108	139-152 (267)
PMD18044	9	PF17472.2 ; DUF5425 ; Family o	3.4	72.0	0.013000000000000001	14.9	0.0	23	103-125	27-49  (76)
PMD18044	10	PF15056.6 ; NRN1 ; Neuritin pr	2.8	89.0	0.016	15.1	0.0	16	123-138	2-17  (87)
XP_007693719	1	PF17108.5 ; HET-S ; N-terminal	65.5	0.32	5.7999999999999994e-05	21.5	0.0	20	33-52	2-21  (23)
XP_007693719	2	PF11558.8 ; HET-s_218-289 ; He	25.8	3.6	0.00073	21.3	0.0	23	31-53	42-64  (64)
XP_007693719	3	PF16496.5 ; SWIRM-assoc_2 ; SW	16.2	7.9	0.0016	27.1	0.0	24	95-118	224-247 (405)
XP_007693719	4	PF09907.9 ; HigB_toxin ; HigB_	12.5	11.0	0.0023	18.9	0.0	14	100-113	61-74  (74)
XP_007693719	5	PF06616.11 ; BsuBI_PstI_RE ; B	10.6	15.0	0.0029	22.1	0.0	28	82-109	118-145 (153)
XP_007693719	6	PF05083.13 ; LST1 ; LST-1 prot	5.1	42.0	0.0077	17.8	0.0	14	80-93	65-78  (79)
XP_007693719	7	PF04316.13 ; FlgM ; Anti-sigma	3.5	59.0	0.012	14.6	0.0	22	81-102	22-43  (55)
XP_007693719	8	PF13120.6 ; DUF3974 ; Domain o	2.5	100.0	0.019	17.2	0.0	19	101-119	58-76  (126)
XP_007693719	9	PF14492.6 ; EFG_II ; Elongatio	2.2	99.0	0.022000000000000002	13.7	0.0	19	68-86	19-37  (74)
XP_007693719	10	PF02446.17 ; Glyco_hydro_77 ;	1.4	170.0	0.036000000000000004	18.7	0.0	31	84-114	89-119 (464)
KFH66451	1	PF12348.8 ; CLASP_N ; CLASP N	21.1	4.1	0.001	31.6	0.0	72	637-711	130-205 (227)
KFH66451	2	PF14165.6 ; YtzH ; YtzH-like p	13.5	10.0	0.0021	28.3	0.0	69	614-686	5-86  (86)
KFH66451	3	PF13998.6 ; MgrB ; MgrB protei	12.0	13.0	0.0025	22.5	0.0	17	625-641	7-23  (29)
KFH66451	4	PF14098.6 ; SSPI ; Small, acid	10.3	16.0	0.0031	25.9	0.0	49	615-665	14-62  (64)
KFH66451	5	PF01602.20 ; Adaptin_N ; Adapt	7.6	18.0	0.0046	31.3	0.0	73	633-711	456-539 (541)
KFH66451	6	PF01602.20 ; Adaptin_N ; Adapt	7.4	19.0	0.0047	31.2	0.0	35	634-670	261-296 (541)
KFH66451	7	PF15967.5 ; Nucleoporin_FG2 ;	6.8	26.0	0.0053	34.4	0.0	29	352-380	248-276 (605)
KFH66451	8	PF14357.6 ; DUF4404 ; Domain o	6.5	27.0	0.0057	24.7	0.0	78	392-472	3-80  (81)
KFH66451	9	PF14071.6 ; YlbD_coat ; Putati	6.2	29.0	0.006	26.6	0.0	23	535-557	63-86  (114)
KFH66451	10	PF10508.9 ; Proteasom_PSMB ; P	5.6	27.0	0.0068	29.9	0.0	76	432-518	81-156 (504)
KEY84097	1	PF05918.11 ; API5 ; Apoptosis	31.3	2.4	0.0005099999999999999	40.3	0.0	104	274-385	46-157 (540)
KEY84097	2	PF13998.6 ; MgrB ; MgrB protei	22.0	5.1	0.0009699999999999999	23.5	0.0	16	348-363	7-22  (29)
KEY84097	3	PF14071.6 ; YlbD_coat ; Putati	15.3	8.5	0.0017	28.9	0.0	40	259-298	61-100 (114)
KEY84097	4	PF14098.6 ; SSPI ; Small, acid	14.3	9.7	0.0019	26.0	0.0	49	337-385	13-61  (64)
KEY84097	5	PF12039.8 ; DUF3525 ; Protein	10.8	15.0	0.0028	32.9	0.0	94	93-197	246-341 (364)
KEY84097	6	PF12460.8 ; MMS19_C ; RNAPII t	10.6	13.0	0.0029	31.9	0.0	32	206-240	194-225 (426)
KEY84097	7	PF02232.15 ; Alpha_TIF ; Alpha	9.2	19.0	0.0036	31.9	0.0	61	81-145	160-220 (346)
KEY84097	8	PF12530.8 ; DUF3730 ; Protein	6.4	26.0	0.0057	28.0	0.0	85	136-237	150-234 (234)
KEY84097	9	PF13251.6 ; DUF4042 ; Domain o	6.4	26.0	0.0058	26.4	0.0	47	176-226	109-155 (176)
KEY84097	10	PF00523.18 ; Fusion_gly ; Fusi	5.5	35.0	0.006999999999999999	31.4	0.0	61	251-311	107-171 (513)
CCO35737	1	PF17100.5 ; NACHT_N ; N-termin	94.9	0.00022	4.0999999999999997e-08	57.1	0.0	133	174-311	87-227 (229)
CCO35737	2	PF11618.8 ; C2-C2_1 ; First C2	91.6	0.0043	8.2e-07	44.4	0.0	87	33-121	9-109 (142)
CCO35737	3	PF17109.5 ; Goodbye ; fungal S	89.0	0.012	2.3e-06	41.1	0.0	63	174-237	60-122 (123)
CCO35737	4	PF15625.6 ; CC2D2AN-C2 ; CC2D2	74.9	0.14	2.6000000000000002e-05	37.0	0.0	61	51-111	34-100 (160)
CCO35737	5	PF17111.5 ; Helo_like_N ; Fung	74.0	0.15	2.8000000000000003e-05	37.7	0.0	114	200-315	17-134 (209)
CCO35737	6	PF15903.5 ; PL48 ; Filopodia u	51.2	0.84	0.00015	36.3	0.0	89	51-141	200-291 (343)
CCO35737	7	PF00168.30 ; C2 ; C2 domain	47.2	1.0	0.00018999999999999998	28.4	0.0	48	73-120	53-105 (116)
CCO35737	8	PF11043.8 ; DUF2856 ; Protein	27.2	3.7	0.00067	25.8	0.0	29	362-392	4-32  (97)
CCO35737	9	PF15967.5 ; Nucleoporin_FG2 ;	20.3	6.0	0.0011	33.8	0.0	23	290-312	353-375 (605)
CCO35737	10	PF03885.13 ; DUF327 ; Protein	16.7	8.2	0.0015	25.9	0.0	52	216-273	37-88  (143)
KKP00535	1	PF08043.12 ; Xin ; Xin repeat	76.8	0.12	2.1e-05	15.3	0.0	11	39-49	4-14  (16)
KKP00535	2	PF16496.5 ; SWIRM-assoc_2 ; SW	68.9	0.24	4.5e-05	26.6	0.0	19	39-57	228-246 (405)
KKP00535	3	PF13120.6 ; DUF3974 ; Domain o	31.0	2.9	0.0005200000000000001	18.3	0.0	19	42-60	59-77  (126)
KKP00535	4	PF05003.12 ; DUF668 ; Protein	30.2	3.0	0.00054	17.4	0.0	14	12-25	74-87  (92)
KKP00535	5	PF11806.8 ; DUF3327 ; Domain o	19.5	6.3	0.0012	16.3	0.0	16	33-48	38-53  (121)
KKP00535	6	PF18532.1 ; DUF5621 ; Domain o	19.3	6.6	0.0012	17.6	0.0	23	29-51	61-83  (140)
KKP00535	7	PF15256.6 ; SPATIAL ; SPATIAL	17.9	7.4	0.0014	18.5	0.0	19	6-24	167-185 (202)
KKP00535	8	PF09119.10 ; SicP-binding ; Si	16.9	8.2	0.0015	15.6	0.0	12	14-25	6-17  (81)
KKP00535	9	PF04320.14 ; DUF469 ; Protein	13.0	12.0	0.0022	15.4	0.0	17	9-25	71-87  (101)
KKP00535	10	PF11463.8 ; R-HINP1I ; R.HinP1	10.8	16.0	0.0028	17.3	0.0	35	12-46	104-138 (205)
KIM83291	1	PF11043.8 ; DUF2856 ; Protein	57.3	0.56	0.0001	24.8	0.0	23	62-85	11-33  (97)
KIM83291	2	PF15894.5 ; SgrT ; Inhibitor o	36.8	1.9	0.00036	19.6	0.0	15	68-82	25-39  (49)
KIM83291	3	PF05576.11 ; Peptidase_S37 ; P	32.6	2.3	0.00047000000000000004	26.6	0.0	33	52-86	383-415 (448)
KIM83291	4	PF18385.1 ; Tiam_CC_Ex ; T-lym	26.9	3.7	0.0006799999999999999	21.3	0.0	18	67-84	22-39  (98)
KIM83291	5	PF09508.10 ; Lact_bio_phlase ;	13.1	12.0	0.0022	24.0	0.0	21	65-85	178-198 (433)
KIM83291	6	PF14455.6 ; Metal_CEHH ; Predi	11.8	13.0	0.0025	20.4	0.0	13	62-74	128-140 (177)
KIM83291	7	PF02998.14 ; Lentiviral_Tat ;	8.9	20.0	0.0037	17.5	0.0	14	70-83	51-64  (86)
KIM83291	8	PF02520.17 ; DUF148 ; Domain o	8.9	18.0	0.0037	17.0	0.0	17	69-85	10-26  (103)
KIM83291	9	PF00618.20 ; RasGEF_N ; RasGEF	7.9	20.0	0.0043	15.8	0.0	15	70-84	72-86  (104)
KIM83291	10	PF18161.1 ; ISP1_C ; ISP1 C-te	7.9	23.0	0.0044	17.7	0.0	26	65-90	38-63  (107)
RAL59829	1	PF17109.5 ; Goodbye ; fungal S	99.5	2e-19	3.8e-23	137.9	0.0	119	67-190	1-123 (123)
RAL59829	2	PF17100.5 ; NACHT_N ; N-termin	99.3	2.3e-16	4.4000000000000004e-20	133.4	0.0	136	117-257	78-226 (229)
RAL59829	3	PF17111.5 ; Helo_like_N ; Fung	61.3	0.41	7.900000000000001e-05	34.4	0.0	23	241-263	113-135 (209)
RAL59829	4	PF15967.5 ; Nucleoporin_FG2 ;	44.2	1.3	0.00022999999999999998	38.3	0.0	62	156-219	345-406 (605)
RAL59829	5	PF18375.1 ; CDH1_2_SANT_HL1 ;	6.0	34.0	0.0063	20.0	0.0	21	202-222	40-60  (91)
RAL59829	6	PF15967.5 ; Nucleoporin_FG2 ;	5.9	35.0	0.0064	28.2	0.0	6	231-236	347-352 (605)
RAL59829	7	PF07875.12 ; Coat_F ; Coat F d	4.8	44.0	0.0084	16.7	0.0	29	197-225	29-57  (63)
RAL59829	8	PF12491.8 ; ApoB100_C ; Apolip	4.6	49.0	0.0088	17.6	0.0	31	191-221	18-48  (57)
RAL59829	9	PF18196.1 ; Cdh1_DBD_1 ; Chrom	4.1	54.0	0.01	20.4	0.0	20	202-221	38-57  (122)
RAL59829	10	PF01337.18 ; Barstar ; Barstar	3.9	57.0	0.011000000000000001	17.9	0.0	74	152-225	13-86  (86)
PYI35418	1	PF15894.5 ; SgrT ; Inhibitor o	40.6	1.5	0.00029	18.3	0.0	15	49-63	25-39  (49)
PYI35418	2	PF13124.6 ; DUF3963 ; Protein	39.8	1.7	0.0003	17.5	0.0	11	55-65	12-22  (40)
PYI35418	3	PF18385.1 ; Tiam_CC_Ex ; T-lym	30.6	2.9	0.00053	20.0	0.0	17	49-65	23-39  (98)
