	Cluster no	Representative no	Nterm	Nterm_GDT
3749	KIK53730	KIK49741.1	SgrT	unk
3750	KIK53730	KIK49948.1	SgrT	unk
3751	KIK53730	KIK50915.1	SgrT	unk
3752	KIK53730	KIK51018.1	SgrT	unk
3753	KIK53730	KIK51268.1	SgrT	unk
3754	KIK53730	KIK59176.1	SgrT	unk
3755	KIK53730	KIK64750.1	SgrT	unk
3756	KIK53730	KXN91193.1	SgrT	unk
3757	KIK53730	KIK61842.1	SgrT	unk
3758	KIK53730	KIK55441.1	SgrT	unk
3759	KIK53730	KIK62244.1	SgrT	unk
3760	KIK53730	KIK62829.1	SgrT	unk
3761	KIK53730	KIK51305.1	SgrT	unk
3762	KIK53730	KIK66262.1	SgrT	unk
3763	KIK53730	KIK66961.1	SgrT	unk
3764	KIK53730	KIK66938.1	SgrT	unk
3765	KIK53730	KIK50732.1	SgrT	unk
3766	KIK53730	KIK51223.1	SgrT	unk
3767	KIK53730	KIK55402.1	SgrT	unk
3768	KIK53730	KIK55412.1	SgrT	unk
3769	KIK53730	KIK66782.1	SgrT	unk
3770	KIK53730	KIK66972.1	SgrT	unk
3771	KIK53730	XP_007271246.1	SgrT	unk
3772	KIK53730	KIK69466.1	SgrT	unk
3773	KIK53730	KLO07809.1	SgrT	unk
3774	KIK53730	KLO10620.1	SgrT	unk
3775	KIK53730	KLO10628.1	SgrT	unk
3776	KIK53730	KZS89491.1	SgrT	unk
3777	KIK53730	KZV87739.1	SgrT	unk
3778	KIK53730	XP_009550492.1	SgrT	unk
3779	KIK53730	KIK53720.1	SgrT	unk
3780	KIK53730	KIK58210.1	SgrT	unk
3813	KIK59341	KIK59341.1	SgrT	unk
3814	KIK59341	KDN39347.1	SgrT	unk
3815	KIK59341	EUC53454.1	SgrT	unk
3816	KIK59341	KIK64653.1	SgrT	unk
3817	KIK59341	KIK64650.1	SgrT	unk
3818	KIK59341	KIK64685.1	SgrT	unk
3819	KIK59341	KIK64688.1	SgrT	unk
3820	KIK59341	KIK64751.1	SgrT	unk
3821	KIK59341	KIK57616.1	SgrT	unk
3822	KIK59341	KIK66197.1	SgrT	unk
3823	KIK59341	KIK66247.1	SgrT	unk
3824	KIK59341	KIK66251.1	SgrT	unk
3825	KIK59341	KIK66257.1	SgrT	unk
3826	KIK59341	KIK66270.1	SgrT	unk
3827	KIK59341	KIK66333.1	SgrT	unk
3828	KIK59341	KIK66400.1	SgrT	unk
3829	KIK59341	KIK66414.1	SgrT	unk
3830	KIK59341	KIK66463.1	SgrT	unk
3831	KIK59341	KIK66507.1	SgrT	unk
3832	KIK59341	KIK59003.1	SgrT	unk
3833	KIK59341	KIK58999.1	SgrT	unk
3834	KIK59341	KIK59010.1	SgrT	unk
3835	KIK59341	KIK59416.1	SgrT	unk
3836	KIK59341	KIK66549.1	SgrT	unk
4646	KIN99576	KIN99576.1	ALS2CR11	unk
4647	KIN99576	KIN96301.1	ALS2CR11	unk
4648	KIN99576	EJD35090.1	ALS2CR11	unk
4649	KIN99576	KDQ08608.1	ALS2CR11	C2 GOODBYE-LIKE
4650	KIN99576	KDQ08609.1	ALS2CR11	C2 GOODBYE-LIKE
4651	KIN99576	KDQ11780.1	ALS2CR11	C2
4652	KIN99576	KDQ07895.1	ALS2CR11	C2 GOODBYE-LIKE
4653	KIN99576	KDQ08412.1	ALS2CR11	C2
4654	KIN99576	KDQ08414.1	ALS2CR11	C2
4655	KIN99576	KDQ09111.1	ALS2CR11	C2
4656	KIN99576	KDQ07232.1	ALS2CR11	C2 GOODBYE-LIKE
4657	KIN99576	KDQ10764.1	ALS2CR11	C2 GOODBYE-LIKE
4658	KIN99576	KDQ10776.1	ALS2CR11	C2 GOODBYE-LIKE
4659	KIN99576	KDQ10779.1	ALS2CR11	C2 GOODBYE-LIKE
4660	KIN99576	KDQ13224.1	ALS2CR11	C2 GOODBYE-LIKE
4661	KIN99576	KDQ13532.1	ALS2CR11	C2 GOODBYE-LIKE
4662	KIN99576	KDQ16476.1	ALS2CR11	C2
4663	KIN99576	KDQ11389.1	ALS2CR11	GOODBYE-LIKE
4664	KIN99576	KDQ13220.1	ALS2CR11	C2 GOODBYE-LIKE
4665	KIN99576	KDQ13880.1	ALS2CR11	C2
4666	KIN99576	KDQ16459.1	ALS2CR11	C2
4667	KIN99576	KDQ19572.1	ALS2CR11	C2
4668	KIN99576	KIJ49068.1	ALS2CR11	unk
4669	KIN99576	KIJ52844.1	ALS2CR11	unk
4670	KIN99576	KIJ33960.1	ALS2CR11	unk
4671	KIN99576	KZS88516.1	ALS2CR11	C2
4672	KIN99576	KZT31837.1	ALS2CR11	C2
4673	KIN99576	KZT34382.1	ALS2CR11	unk
4674	KIN99576	KZS88480.1	ALS2CR11	unk
4675	KIN99576	KZT38410.1	ALS2CR11	unk
4676	KIN99576	KZT40432.1	ALS2CR11	C2
4677	KIN99576	KZT41000.1	ALS2CR11	GOODBYE-LIKE
4678	KIN99576	KZS95528.1	ALS2CR11	GOODBYE-LIKE
4679	KIN99576	KDQ09525.1	ALS2CR11	C2 GOODBYE-LIKE
4680	KIN99576	KDQ11677.1	ALS2CR11	C2 GOODBYE-LIKE
4681	KIN99576	KDQ18935.1	ALS2CR11	C2 GOODBYE-LIKE
4682	KIN99576	KDQ54660.1	ALS2CR11	unk
4683	KIN99576	KDQ54630.1	ALS2CR11	unk
4684	KIN99576	KDQ54654.1	ALS2CR11	unk
4685	KIN99576	KDR65874.1	ALS2CR11	unk
4686	KIN99576	KDR74367.1	ALS2CR11	C2
4687	KIN99576	KII92446.1	ALS2CR11	C2
4688	KIN99576	KIJ27480.1	ALS2CR11	unk
4689	KIN99576	KIJ33913.1	ALS2CR11	unk
4690	KIN99576	KIJ44835.1	ALS2CR11	C2
4691	KIN99576	KIJ49834.1	ALS2CR11	unk
4692	KIN99576	KIJ50186.1	ALS2CR11	C2
4693	KIN99576	KIJ52189.1	ALS2CR11	C2
4694	KIN99576	KIJ52229.1	ALS2CR11	unk
4695	KIN99576	KIJ36029.1	ALS2CR11	unk
4696	KIN99576	KIJ52909.1	ALS2CR11	unk
4697	KIN99576	KIJ28727.1	ALS2CR11	unk
4698	KIN99576	KIJ41765.1	ALS2CR11	unk
4699	KIN99576	KIJ60985.1	ALS2CR11	unk
4700	KIN99576	KIJ58845.1	ALS2CR11	unk
4701	KIN99576	KIJ62410.1	ALS2CR11	unk
4702	KIN99576	KIJ90658.1	ALS2CR11	unk
4703	KIN99576	KIJ97343.1	ALS2CR11	unk
4704	KIN99576	KIK01246.1	ALS2CR11	unk
4705	KIN99576	KIK02236.1	ALS2CR11	unk
4706	KIN99576	XP_001882218.1	ALS2CR11	unk
4707	KIN99576	KIK11821.1	ALS2CR11	unk
4708	KIN99576	KIK15540.1	ALS2CR11	unk
4709	KIN99576	KIK17096.1	ALS2CR11	unk
4710	KIN99576	KIK13811.1	ALS2CR11	unk
4711	KIN99576	KIK26867.1	ALS2CR11	unk
4712	KIN99576	KIK15081.1	ALS2CR11	unk
4713	KIN99576	KIK15143.1	ALS2CR11	GOODBYE-LIKE
4714	KIN99576	KIK15756.1	ALS2CR11	unk
4715	KIN99576	KIK21039.1	ALS2CR11	unk
4716	KIN99576	KIN97417.1	ALS2CR11	unk
4717	KIN99576	KIO00192.1	ALS2CR11	unk
4718	KIN99576	KIK23227.1	ALS2CR11	unk
4719	KIN99576	KIK11277.1	ALS2CR11	unk
4720	KIN99576	KIK12218.1	ALS2CR11	unk
4721	KIN99576	KIK12665.1	ALS2CR11	unk
4722	KIN99576	KIK13293.1	ALS2CR11	unk
4723	KIN99576	KIK19725.1	ALS2CR11	unk
4724	KIN99576	KIK19762.1	ALS2CR11	unk
4725	KIN99576	KIK26405.1	ALS2CR11	unk
4726	KIN99576	KIK27129.1	ALS2CR11	unk
4727	KIN99576	KIM50530.1	ALS2CR11	unk
4728	KIN99576	KIM50554.1	ALS2CR11	unk
4729	KIN99576	KIM54282.1	ALS2CR11	unk
4730	KIN99576	KIM54290.1	ALS2CR11	unk
4731	KIN99576	KIM54656.1	ALS2CR11	unk
4732	KIN99576	KIM56977.1	ALS2CR11	unk
4733	KIN99576	KIM58945.1	ALS2CR11	unk
4734	KIN99576	KIM63729.1	ALS2CR11	unk
4735	KIN99576	KIN93504.1	ALS2CR11	unk
4736	KIN99576	KIN94536.1	ALS2CR11	unk
4737	KIN99576	KIN94723.1	ALS2CR11	unk
4738	KIN99576	KIN96776.1	ALS2CR11	unk
4739	KIN99576	KIN96881.1	ALS2CR11	unk
4740	KIN99576	KIN97457.1	ALS2CR11	unk
4741	KIN99576	KIO01502.1	ALS2CR11	unk
4742	KIN99576	KIO07684.1	ALS2CR11	unk
4743	KIN99576	KIO07708.1	ALS2CR11	unk
4744	KIN99576	KIO10747.1	ALS2CR11	unk
4745	KIN99576	KIK24088.1	ALS2CR11	unk
4746	KIN99576	KIK24638.1	ALS2CR11	unk
4747	KIN99576	KIK14898.1	ALS2CR11	unk
4748	KIN99576	KIK26846.1	ALS2CR11	unk
4749	KIN99576	KIK20401.1	ALS2CR11	GOODBYE-LIKE
4750	KIN99576	KIO00602.1	ALS2CR11	unk
4751	KIN99576	KIO05570.1	ALS2CR11	unk
4752	KIN99576	KIN96900.1	ALS2CR11	unk
4753	KIN99576	KIN97223.1	ALS2CR11	unk
4754	KIN99576	KIN99911.1	ALS2CR11	unk
4755	KIN99576	KIK26754.1	ALS2CR11	unk
4756	KIN99576	KIN96795.1	ALS2CR11	unk
4757	KIN99576	KIK14001.1	ALS2CR11	unk
4758	KIN99576	KIK17882.1	ALS2CR11	unk
4759	KIN99576	KIK17889.1	ALS2CR11	unk
4760	KIN99576	KIK18261.1	ALS2CR11	unk
4761	KIN99576	KIK19518.1	ALS2CR11	unk
4762	KIN99576	KIN95039.1	ALS2CR11	unk
4763	KIN99576	KIN96411.1	ALS2CR11	unk
4764	KIN99576	KIN98754.1	ALS2CR11	unk
4765	KIN99576	KIN98787.1	ALS2CR11	unk
4766	KIN99576	KIO00159.1	ALS2CR11	unk
4767	KIN99576	KIO00883.1	ALS2CR11	unk
4768	KIN99576	KIO10425.1	ALS2CR11	unk
4769	KIN99576	KIK32409.1	ALS2CR11	unk
4770	KIN99576	KIK36178.1	ALS2CR11	unk
4771	KIN99576	KIK33125.1	ALS2CR11	unk
4772	KIN99576	KIK36383.1	ALS2CR11	unk
4773	KIN99576	OAX33486.1	ALS2CR11	unk
4774	KIN99576	KIK33175.1	ALS2CR11	unk
4775	KIN99576	KIK33456.1	ALS2CR11	unk
4776	KIN99576	KIK33501.1	ALS2CR11	unk
4777	KIN99576	KIK34926.1	ALS2CR11	unk
4778	KIN99576	KIK35315.1	ALS2CR11	unk
4779	KIN99576	KIK33197.1	ALS2CR11	unk
4780	KIN99576	KIK35362.1	ALS2CR11	unk
4781	KIN99576	KIK36638.1	ALS2CR11	unk
4782	KIN99576	KIK32142.1	ALS2CR11	unk
4783	KIN99576	KIK32150.1	ALS2CR11	unk
4784	KIN99576	KIK32429.1	ALS2CR11	unk
4785	KIN99576	KIK38627.1	ALS2CR11	unk
4786	KIN99576	KIK45029.1	ALS2CR11	unk
4787	KIN99576	KIK37825.1	ALS2CR11	unk
4788	KIN99576	KIK38133.1	ALS2CR11	unk
4789	KIN99576	KIK41823.1	ALS2CR11	unk
4790	KIN99576	KIK39900.1	ALS2CR11	unk
4791	KIN99576	KIK48611.1	ALS2CR11	unk
4792	KIN99576	KIK40643.1	ALS2CR11	unk
4793	KIN99576	KIK42083.1	ALS2CR11	unk
4794	KIN99576	KIK32138.1	ALS2CR11	unk
4795	KIN99576	KIK44915.1	ALS2CR11	unk
4796	KIN99576	KIL55748.1	ALS2CR11	unk
4797	KIN99576	KIL55933.1	ALS2CR11	unk
4798	KIN99576	KIL61785.1	ALS2CR11	unk
4799	KIN99576	KIL54985.1	ALS2CR11	unk
4800	KIN99576	KIM51381.1	ALS2CR11	unk
4801	KIN99576	KIM50797.1	ALS2CR11	unk
4802	KIN99576	KIM52034.1	ALS2CR11	unk
4803	KIN99576	KIM54449.1	ALS2CR11	unk
4804	KIN99576	KIM56392.1	ALS2CR11	unk
4805	KIN99576	KIM58988.1	ALS2CR11	unk
4806	KIN99576	KIM56435.1	ALS2CR11	unk
4807	KIN99576	KIM51760.1	ALS2CR11	unk
4808	KIN99576	KIM52175.1	ALS2CR11	unk
4809	KIN99576	KIK21022.1	ALS2CR11	unk
4810	KIN99576	KIM53042.1	ALS2CR11	unk
4811	KIN99576	KIM53903.1	ALS2CR11	unk
4812	KIN99576	KIM56374.1	ALS2CR11	unk
4813	KIN99576	KIM52206.1	ALS2CR11	unk
4814	KIN99576	KIM56811.1	ALS2CR11	unk
4815	KIN99576	KIM58619.1	ALS2CR11	unk
4816	KIN99576	KIM63068.1	ALS2CR11	unk
4817	KIN99576	KIM58626.1	ALS2CR11	unk
4818	KIN99576	KIM60031.1	ALS2CR11	unk
4819	KIN99576	KIM60040.1	ALS2CR11	unk
4820	KIN99576	KIM56149.1	ALS2CR11	unk
4821	KIN99576	KIK23348.1	ALS2CR11	unk
4822	KIN99576	KIM61217.1	ALS2CR11	unk
4823	KIN99576	KIM64813.1	ALS2CR11	unk
4824	KIN99576	KIM66626.1	ALS2CR11	unk
4825	KIN99576	KIM52971.1	ALS2CR11	unk
4826	KIN99576	KIM63429.1	ALS2CR11	unk
4827	KIN99576	KIM66068.1	ALS2CR11	unk
4828	KIN99576	KIM66676.1	ALS2CR11	unk
4829	KIN99576	KIM68526.1	ALS2CR11	unk
4830	KIN99576	KIM51163.1	ALS2CR11	unk
4831	KIN99576	KIM56284.1	ALS2CR11	unk
4832	KIN99576	KIM68369.1	ALS2CR11	unk
4833	KIN99576	KIM73665.1	ALS2CR11	unk
4834	KIN99576	KIM75554.1	ALS2CR11	C2
4835	KIN99576	KIM86900.1	ALS2CR11	C2
4836	KIN99576	KIM76147.1	ALS2CR11	C2
4837	KIN99576	KIM85063.1	ALS2CR11	C2
4838	KIN99576	KIM87374.1	ALS2CR11	C2
4839	KIN99576	KIM78135.1	ALS2CR11	C2 GOODBYE-LIKE
4840	KIN99576	KIM79256.1	ALS2CR11	C2 GOODBYE-LIKE
4841	KIN99576	KIM80170.1	ALS2CR11	C2
4842	KIN99576	KIM85014.1	ALS2CR11	unk
4843	KIN99576	KIM81416.1	ALS2CR11	unk
4844	KIN99576	KIM82890.1	ALS2CR11	C2 GOODBYE-LIKE
4845	KIN99576	KIM86175.1	ALS2CR11	C2 GOODBYE-LIKE
4846	KIN99576	KIM86252.1	ALS2CR11	C2
4847	KIN99576	KIM86959.1	ALS2CR11	unk
4848	KIN99576	KIM90572.1	ALS2CR11	C2 GOODBYE-LIKE
4849	KIN99576	KIM88434.1	ALS2CR11	unk
4850	KIN99576	KIM79828.1	ALS2CR11	unk
4851	KIN99576	KIN93800.1	ALS2CR11	unk
4852	KIN99576	KIO04620.1	ALS2CR11	unk
4853	KIN99576	KIN93933.1	ALS2CR11	unk
4854	KIN99576	KIN92861.1	ALS2CR11	unk
4855	KIN99576	KIN98733.1	ALS2CR11	unk
4856	KIN99576	KIN98744.1	ALS2CR11	unk
4857	KIN99576	KIO00839.1	ALS2CR11	unk
4858	KIN99576	KIN94406.1	ALS2CR11	unk
4859	KIN99576	KIN95225.1	ALS2CR11	unk
4860	KIN99576	KIN97805.1	ALS2CR11	unk
4861	KIN99576	KIN98511.1	ALS2CR11	unk
4862	KIN99576	KIK24627.1	ALS2CR11	unk
4863	KIN99576	KIN99115.1	ALS2CR11	unk
4864	KIN99576	KIK19253.1	ALS2CR11	unk
4865	KIN99576	KIN99360.1	ALS2CR11	unk
4866	KIN99576	KIO00023.1	ALS2CR11	unk
4867	KIN99576	KIO00597.1	ALS2CR11	unk
4868	KIN99576	KIO01533.1	ALS2CR11	unk
4869	KIN99576	KIK24294.1	ALS2CR11	unk
4870	KIN99576	KIN98191.1	ALS2CR11	unk
4871	KIN99576	KIN99097.1	ALS2CR11	unk
4872	KIN99576	KIO01540.1	ALS2CR11	unk
4873	KIN99576	KIO10658.1	ALS2CR11	unk
4874	KIN99576	KIO10995.1	ALS2CR11	unk
4875	KIN99576	KIO01892.1	ALS2CR11	unk
4876	KIN99576	KIO04629.1	ALS2CR11	unk
4877	KIN99576	KIO05432.1	ALS2CR11	unk
4878	KIN99576	KIO03885.1	ALS2CR11	unk
4879	KIN99576	KIO04614.1	ALS2CR11	unk
4880	KIN99576	KIO04624.1	ALS2CR11	unk
4881	KIN99576	KIO07942.1	ALS2CR11	GOODBYE-LIKE
4882	KIN99576	KIO07954.1	ALS2CR11	unk
4883	KIN99576	KIN95169.1	ALS2CR11	unk
4884	KIN99576	KIO05784.1	ALS2CR11	unk
4885	KIN99576	KIO05792.1	ALS2CR11	unk
4886	KIN99576	KTB37373.1	ALS2CR11	unk
4887	KIN99576	ESK89390.1	ALS2CR11	unk
4888	KIN99576	KXN90717.1	ALS2CR11	unk
4889	KIN99576	KXN81645.1	ALS2CR11	unk
4890	KIN99576	KXN87527.1	ALS2CR11	GOODBYE-LIKE
4891	KIN99576	KXN90686.1	ALS2CR11	GOODBYE-LIKE
4892	KIN99576	KZO92964.1	ALS2CR11	unk
4893	KIN99576	KZO92981.1	ALS2CR11	unk
4894	KIN99576	KZP04596.1	ALS2CR11	unk
4895	KIN99576	KZP05496.1	ALS2CR11	unk
4896	KIN99576	KZP09559.1	ALS2CR11	C2 GOODBYE-LIKE
4897	KIN99576	KZP16008.1	ALS2CR11	GOODBYE-LIKE
4898	KIN99576	KZP16022.1	ALS2CR11	C2
4899	KIN99576	KZP10770.1	ALS2CR11	C2
4900	KIN99576	KZP10825.1	ALS2CR11	GOODBYE-LIKE
4901	KIN99576	KZP15967.1	ALS2CR11	GOODBYE-LIKE
4902	KIN99576	KZP15986.1	ALS2CR11	C2 GOODBYE-LIKE
4903	KIN99576	KZP16029.1	ALS2CR11	C2 GOODBYE-LIKE
4904	KIN99576	KZP22852.1	ALS2CR11	unk
4905	KIN99576	KZP24201.1	ALS2CR11	unk
4906	KIN99576	KZP24269.1	ALS2CR11	C2 GOODBYE-LIKE
4907	KIN99576	KZP24274.1	ALS2CR11	unk
4908	KIN99576	KZP24326.1	ALS2CR11	unk
4909	KIN99576	KZP18343.1	ALS2CR11	C2 GOODBYE-LIKE
4910	KIN99576	KZP22859.1	ALS2CR11	unk
4911	KIN99576	KZP16034.1	ALS2CR11	unk
4912	KIN99576	KZP17392.1	ALS2CR11	unk
4913	KIN99576	KZP04337.1	ALS2CR11	unk
4914	KIN99576	KZP17400.1	ALS2CR11	unk
4915	KIN99576	KZP17443.1	ALS2CR11	unk
4916	KIN99576	KZP21256.1	ALS2CR11	unk
4917	KIN99576	KZP21263.1	ALS2CR11	unk
4918	KIN99576	KZP21267.1	ALS2CR11	unk
4919	KIN99576	KZP21272.1	ALS2CR11	unk
4920	KIN99576	KZP30747.1	ALS2CR11	GOODBYE-LIKE
4921	KIN99576	KZP17812.1	ALS2CR11	unk
4922	KIN99576	KZP10859.1	ALS2CR11	unk
4923	KIN99576	KZP04372.1	ALS2CR11	unk
4924	KIN99576	KZP17806.1	ALS2CR11	unk
4925	KIN99576	KZP17859.1	ALS2CR11	unk
4926	KIN99576	KZP17833.1	ALS2CR11	unk
4927	KIN99576	KZP17827.1	ALS2CR11	unk
4928	KIN99576	KZP17847.1	ALS2CR11	unk
4929	KIN99576	KZP22985.1	ALS2CR11	unk
4930	KIN99576	KZP15430.1	ALS2CR11	unk
4931	KIN99576	KZP23038.1	ALS2CR11	unk
4932	KIN99576	KZP23466.1	ALS2CR11	C2
4933	KIN99576	KZP25092.1	ALS2CR11	unk
4934	KIN99576	KZP25176.1	ALS2CR11	GOODBYE-LIKE
4935	KIN99576	KZP27242.1	ALS2CR11	C2
4936	KIN99576	KZP11370.1	ALS2CR11	C2
4937	KIN99576	KZP03316.1	ALS2CR11	unk
4938	KIN99576	KZP05485.1	ALS2CR11	C2
4939	KIN99576	KZP06543.1	ALS2CR11	C2 GOODBYE-LIKE
4940	KIN99576	KZP06550.1	ALS2CR11	C2
4941	KIN99576	KZP09702.1	ALS2CR11	C2
4942	KIN99576	KZP09711.1	ALS2CR11	C2
4943	KIN99576	KZP11332.1	ALS2CR11	GOODBYE-LIKE
4944	KIN99576	KZP11340.1	ALS2CR11	unk
4945	KIN99576	KZP11346.1	ALS2CR11	GOODBYE-LIKE
4946	KIN99576	KZP11354.1	ALS2CR11	C2 GOODBYE-LIKE
4947	KIN99576	KZP11360.1	ALS2CR11	C2
4948	KIN99576	KZP11368.1	ALS2CR11	unk
4949	KIN99576	KZP11375.1	ALS2CR11	GOODBYE-LIKE
4950	KIN99576	KZP11379.1	ALS2CR11	C2 GOODBYE-LIKE
4951	KIN99576	KZP11388.1	ALS2CR11	C2
4952	KIN99576	KZP11393.1	ALS2CR11	unk
4953	KIN99576	KZP15673.1	ALS2CR11	unk
4954	KIN99576	KZP15684.1	ALS2CR11	C2 GOODBYE-LIKE
4955	KIN99576	KZP15696.1	ALS2CR11	C2
4956	KIN99576	KZP15702.1	ALS2CR11	unk
4957	KIN99576	KZP15713.1	ALS2CR11	unk
4958	KIN99576	KZP15716.1	ALS2CR11	unk
4959	KIN99576	KZP22903.1	ALS2CR11	GOODBYE-LIKE
4960	KIN99576	KZP23169.1	ALS2CR11	unk
4961	KIN99576	KZP23176.1	ALS2CR11	C2
4962	KIN99576	KZP23186.1	ALS2CR11	unk
4963	KIN99576	KZP23191.1	ALS2CR11	unk
4964	KIN99576	KZP23194.1	ALS2CR11	unk
4965	KIN99576	KZP23201.1	ALS2CR11	unk
4966	KIN99576	KZP23203.1	ALS2CR11	C2
4967	KIN99576	KZP23212.1	ALS2CR11	C2
4968	KIN99576	KZP26883.1	ALS2CR11	C2 GOODBYE-LIKE
4969	KIN99576	KZP26887.1	ALS2CR11	C2
4970	KIN99576	KZP26893.1	ALS2CR11	unk
4971	KIN99576	KZP27126.1	ALS2CR11	C2
4972	KIN99576	KZP27134.1	ALS2CR11	unk
4973	KIN99576	KZP27143.1	ALS2CR11	unk
4974	KIN99576	KZP27158.1	ALS2CR11	C2
4975	KIN99576	KZP27171.1	ALS2CR11	GOODBYE-LIKE
4976	KIN99576	KZP27173.1	ALS2CR11	C2
4977	KIN99576	KZP27184.1	ALS2CR11	unk
4978	KIN99576	KZP27192.1	ALS2CR11	C2 GOODBYE-LIKE
4979	KIN99576	KZP27202.1	ALS2CR11	unk
4980	KIN99576	KZP27208.1	ALS2CR11	C2 GOODBYE-LIKE
4981	KIN99576	KZP27213.1	ALS2CR11	C2
4982	KIN99576	KZP27218.1	ALS2CR11	C2 GOODBYE-LIKE
4983	KIN99576	KZP27225.1	ALS2CR11	C2
4984	KIN99576	KZP27246.1	ALS2CR11	C2
4985	KIN99576	KZP31356.1	ALS2CR11	unk
4986	KIN99576	KZP27163.1	ALS2CR11	unk
4987	KIN99576	KZP30581.1	ALS2CR11	C2 GOODBYE-LIKE
4988	KIN99576	KZP30577.1	ALS2CR11	C2 GOODBYE-LIKE
4989	KIN99576	KZP24074.1	ALS2CR11	C2 GOODBYE-LIKE
4990	KIN99576	KZP04133.1	ALS2CR11	C2 GOODBYE-LIKE
4991	KIN99576	KZP17692.1	ALS2CR11	C2 GOODBYE-LIKE
4992	KIN99576	KZP24082.1	ALS2CR11	C2 GOODBYE-LIKE
4993	KIN99576	KZP24088.1	ALS2CR11	C2 GOODBYE-LIKE
4994	KIN99576	KZP24098.1	ALS2CR11	C2 GOODBYE-LIKE
4995	KIN99576	KZP29359.1	ALS2CR11	C2 GOODBYE-LIKE
4996	KIN99576	KZP29382.1	ALS2CR11	C2
4997	KIN99576	KZP34597.1	ALS2CR11	C2 GOODBYE-LIKE
4998	KIN99576	KZS88515.1	ALS2CR11	GOODBYE-LIKE
4999	KIN99576	KZS88514.1	ALS2CR11	C2 GOODBYE-LIKE
5000	KIN99576	KZS88518.1	ALS2CR11	unk
5001	KIN99576	KZS89207.1	ALS2CR11	unk
5002	KIN99576	KZS89231.1	ALS2CR11	C2
5003	KIN99576	KZT34196.1	ALS2CR11	GOODBYE-LIKE
5004	KIN99576	KZS91283.1	ALS2CR11	GOODBYE-LIKE
5005	KIN99576	KZT35606.1	ALS2CR11	C2 GOODBYE-LIKE
5006	KIN99576	KZS87696.1	ALS2CR11	GOODBYE-LIKE
5007	KIN99576	KZT40353.1	ALS2CR11	C2
5008	KIN99576	KZS86854.1	ALS2CR11	C2
5009	KIN99576	KZT42378.1	ALS2CR11	unk
5010	KIN99576	KZS96687.1	ALS2CR11	unk
5011	KIN99576	KZT50154.1	ALS2CR11	unk
5012	KIN99576	KZT50502.1	ALS2CR11	unk
5013	KIN99576	KZT50592.1	ALS2CR11	unk
5014	KIN99576	KZT50756.1	ALS2CR11	unk
5015	KIN99576	KZT51147.1	ALS2CR11	unk
5016	KIN99576	KZT54175.1	ALS2CR11	unk
5017	KIN99576	KZT54170.1	ALS2CR11	unk
5018	KIN99576	KZO93014.1	ALS2CR11	unk
5019	KIN99576	KZT54161.1	ALS2CR11	unk
5020	KIN99576	KZT54162.1	ALS2CR11	GOODBYE-LIKE
5021	KIN99576	KZT54194.1	ALS2CR11	unk
5022	KIN99576	KZT55745.1	ALS2CR11	unk
5023	KIN99576	KZV84351.1	ALS2CR11	unk
