Cluster no	No	Hit	Prob	E-value	P-value	Score	SS	Cols	Query HMM	Template HMM
OBZ65626	3	PF05621.11 ; TniB ; Bacterial	94.6	0.00039	6.900000000000001e-08	47.3	0.0	36	258-295	15-51  (191)
OBZ65626	4	PF00931.22 ; NB-ARC ; NB-ARC d	94.2	0.00063	1.1e-07	47.8	0.0	32	261-295	2-34  (240)
OBZ65626	5	PF01057.17 ; Parvo_NS1 ; Parvo	93.4	0.0014	2.4e-07	48.3	0.0	32	261-295	102-134 (284)
OBZ65626	6	PF17109.5 ; Goodbye ; fungal S	93.3	0.0015	2.7e-07	41.5	0.0	67	43-110	54-120 (123)
OBZ65626	7	PF10236.9 ; DAP3 ; Mitochondri	93.3	0.0016	2.8e-07	49.2	0.0	18	278-295	22-40  (322)
OBZ65626	8	PF07931.12 ; CPT ; Chloramphen	93.1	0.0018	3.1e-07	42.7	0.0	15	281-295	2-17  (163)
OBZ65626	9	PF13177.6 ; DNA_pol3_delta2 ;	93.0	0.0019	3.4e-07	48.0	0.0	33	259-295	2-35  (297)
OBZ65626	10	PF06414.12 ; Zeta_toxin ; Zeta	92.5	0.0028	4.9e-07	43.3	0.0	18	278-295	12-30  (196)
XP_024755941	1	PF17111.5 ; Helo_like_N ; Fung	99.4	2e-17	3.4e-21	112.5	0.0	170	7-179	1-177 (209)
XP_024755941	2	PF17107.5 ; SesA ; N-terminal	98.5	2.2e-11	3.9e-15	75.7	0.0	115	13-131	1-132 (133)
XP_024755941	3	PF14479.6 ; HeLo ; Prion-inhib	92.7	0.0025	4.3e-07	40.2	0.0	33	105-137	137-170 (199)
XP_024755941	4	PF00599.17 ; Flu_M2 ; Influenz	79.2	0.08900000000000001	1.6e-05	27.2	0.0	24	6-29	22-45  (97)
XP_016644109	1	PF01734.22 ; Patatin ; Patatin	99.6	2.0000000000000002e-20	4.2e-24	169.3	0.0	190	117-316	1-221 (221)
XP_016644109	2	PF01735.18 ; PLA2_B ; Lysophos	96.0	2e-05	4e-09	77.2	0.0	68	116-183	2-71  (488)
RDW63506	1	PF06985.11 ; HET ; Heterokaryo	99.8	5.499999999999999e-26	1.1e-29	157.1	0.0	116	55-173	1-127 (127)
PCD20839	1	PF17111.5 ; Helo_like_N ; Fung	99.6	2.8999999999999996e-21	5.0000000000000005e-25	123.2	0.0	176	2-181	1-177 (209)
PCD20839	2	PF17107.5 ; SesA ; N-terminal	98.6	6.2e-12	1.1e-15	73.3	0.0	119	8-131	1-132 (133)
PCD20839	3	PF00599.17 ; Flu_M2 ; Influenz	83.9	0.044000000000000004	7.699999999999999e-06	26.8	0.0	23	2-24	23-45  (97)
KZV64388	1	PF17111.5 ; Helo_like_N ; Fung	93.8	0.00086	1.8e-07	48.9	0.0	123	93-222	12-138 (209)
KZV64388	2	PF05659.11 ; RPW8 ; Arabidopsi	88.6	0.013999999999999999	2.6e-06	40.5	0.0	104	95-211	9-113 (140)
KZV64388	3	PF17107.5 ; SesA ; N-terminal	82.4	0.049	9.9e-06	36.0	0.0	75	101-176	10-86  (133)
KZP03196	1	PF17100.5 ; NACHT_N ; N-termin	97.8	6.8000000000000005e-09	1.2e-12	71.1	0.0	135	6-143	79-227 (229)
KZP03196	2	PF17109.5 ; Goodbye ; fungal S	96.4	6e-06	1e-09	49.9	0.0	71	5-75	51-122 (123)
KZP03196	3	PF00308.18 ; Bac_DnaA ; Bacter	95.1	0.00018999999999999998	3.3e-08	46.1	0.0	40	186-225	10-49  (219)
KZP03196	4	PF07693.14 ; KAP_NTPase ; KAP	94.5	0.00043	7.599999999999999e-08	47.1	0.0	34	192-225	1-47  (307)
KZP03196	5	PF13191.6 ; AAA_16 ; AAA ATPas	94.5	0.00047000000000000004	8.3e-08	43.0	0.0	34	192-225	5-40  (189)
KZP03196	6	PF01637.18 ; ATPase_2 ; ATPase	94.4	0.00049	8.5e-08	43.6	0.0	33	192-225	4-36  (209)
KZP03196	7	PF06309.11 ; Torsin ; Torsin	94.2	0.00067	1.2e-07	39.6	0.0	32	194-225	35-68  (126)
KZP03196	8	PF00931.22 ; NB-ARC ; NB-ARC d	94.1	0.0007	1.2e-07	43.7	0.0	31	195-225	3-34  (240)
KZP03196	9	PF05621.11 ; TniB ; Bacterial	93.4	0.0015	2.6e-07	40.6	0.0	35	191-225	15-51  (191)
KZP03196	10	PF13177.6 ; DNA_pol3_delta2 ;	92.4	0.003	5.3e-07	43.2	0.0	34	192-225	2-35  (297)
PMD18044	1	PF06985.11 ; HET ; Heterokaryo	99.6	4.1e-21	8.1e-25	119.5	0.0	83	53-138	1-84  (127)
CCO35737	1	PF17100.5 ; NACHT_N ; N-termin	94.9	0.00022	4.0999999999999997e-08	57.1	0.0	133	174-311	87-227 (229)
CCO35737	2	PF11618.8 ; C2-C2_1 ; First C2	91.6	0.0043	8.2e-07	44.4	0.0	87	33-121	9-109 (142)
CCO35737	3	PF17109.5 ; Goodbye ; fungal S	89.0	0.012	2.3e-06	41.1	0.0	63	174-237	60-122 (123)
RAL59829	1	PF17109.5 ; Goodbye ; fungal S	99.5	2e-19	3.8e-23	137.9	0.0	119	67-190	1-123 (123)
RAL59829	2	PF17100.5 ; NACHT_N ; N-termin	99.3	2.3e-16	4.4000000000000004e-20	133.4	0.0	136	117-257	78-226 (229)
OAQ78445	1	PF03096.14 ; Ndr ; Ndr family	98.7	1.6999999999999998e-12	3.1e-16	96.6	0.0	110	40-176	22-136 (283)
OAQ78445	2	PF12146.8 ; Hydrolase_4 ; Seri	98.6	3.6000000000000004e-12	6.900000000000001e-16	91.5	0.0	108	40-176	3-113 (239)
OAQ78445	3	PF06259.12 ; Abhydrolase_8 ; A	98.6	3.8e-12	7e-16	91.5	0.0	135	36-179	14-160 (190)
OAQ78445	4	PF05057.14 ; DUF676 ; Putative	98.6	3.9e-12	7.3e-16	93.1	0.0	125	39-180	3-143 (218)
OAQ78445	5	PF02129.18 ; Peptidase_S15 ; X	98.5	1.1999999999999999e-11	2.3e-15	90.1	0.0	114	39-178	16-129 (267)
OAQ78445	6	PF01083.22 ; Cutinase ; Cutina	98.5	1.4e-11	2.7e-15	89.6	0.0	129	40-180	4-142 (207)
OAQ78445	7	PF00975.20 ; Thioesterase ; Th	98.5	2.0000000000000002e-11	3.9e-15	86.1	0.0	106	42-177	1-106 (221)
OAQ78445	8	PF05990.12 ; DUF900 ; Alpha/be	98.4	2.5999999999999997e-11	4.8e-15	87.5	0.0	126	38-179	10-136 (213)
OAQ78445	9	PF02089.15 ; Palm_thioest ; Pa	98.4	4.4e-11	8.3e-15	89.1	0.0	106	43-178	1-111 (271)
OAQ78445	10	PF07819.13 ; PGAP1 ; PGAP1-lik	98.3	7.6e-11	1.3999999999999999e-14	85.2	0.0	117	40-179	3-137 (245)
CEL61586	1	PF17111.5 ; Helo_like_N ; Fung	92.5	0.0024	4.8e-07	45.6	0.0	118	97-214	7-135 (209)
CEL61586	2	PF17100.5 ; NACHT_N ; N-termin	88.5	0.013999999999999999	2.7000000000000004e-06	42.4	0.0	112	97-208	101-226 (229)
CEL61586	3	PF17109.5 ; Goodbye ; fungal S	85.8	0.027999999999999997	5.400000000000001e-06	36.6	0.0	47	97-143	75-121 (123)
PVI00627	1	PF17109.5 ; Goodbye ; fungal S	99.3	5.5000000000000006e-17	1.0000000000000001e-20	125.9	0.0	117	74-193	1-123 (123)
PVI00627	2	PF17100.5 ; NACHT_N ; N-termin	99.2	4.5e-16	8.499999999999999e-20	134.2	0.0	131	122-255	79-222 (229)
PVI00627	3	PF05729.12 ; NACHT ; NACHT dom	94.4	0.00047000000000000004	9.199999999999999e-08	51.0	0.0	20	396-415	1-20  (170)
PVI00627	4	PF18751.1 ; Ploopntkinase3 ; P	94.2	0.00056	1.1e-07	52.3	0.0	20	395-414	3-22  (187)
PVI00627	5	PF07931.12 ; CPT ; Chloramphen	94.0	0.00075	1.5e-07	50.1	0.0	19	396-414	2-20  (163)
PVI00627	6	PF00931.22 ; NB-ARC ; NB-ARC d	93.9	0.00078	1.5e-07	52.8	0.0	32	384-415	7-38  (240)
PVI00627	7	PF01637.18 ; ATPase_2 ; ATPase	93.9	0.00079	1.5e-07	51.7	0.0	21	395-415	20-40  (209)
PVI00627	8	PF13671.6 ; AAA_33 ; AAA domai	93.9	0.00082	1.6e-07	48.5	0.0	18	397-414	1-18  (142)
PVI00627	9	PF14532.6 ; Sigma54_activ_2 ;	93.9	0.00084	1.6e-07	48.5	0.0	21	395-415	21-41  (135)
PVI00627	10	PF13238.6 ; AAA_18 ; AAA domai	93.8	0.0009	1.7e-07	46.1	0.0	17	398-414	1-17  (108)
OCK99664	1	PF06516.11 ; NUP ; Purine nucl	99.7	1.3e-23	2.5e-27	207.0	0.0	261	117-399	2-321 (329)
OCK99664	2	PF01048.20 ; PNP_UDP_1 ; Phosp	99.5	6.9e-19	1.4e-22	160.4	0.0	202	118-394	1-213 (215)
OCK99664	3	PF01637.18 ; ATPase_2 ; ATPase	94.9	0.00021	4.3e-08	58.5	0.0	36	452-491	10-46  (209)
OCK99664	4	PF14516.6 ; AAA_35 ; AAA-like	94.9	0.00022	4.5e-08	63.9	0.0	64	455-525	24-88  (330)
OCK99664	5	PF07693.14 ; KAP_NTPase ; KAP	94.8	0.00026000000000000003	5.4e-08	62.4	0.0	59	461-525	31-89  (307)
OCK99664	6	PF05729.12 ; NACHT ; NACHT dom	94.3	0.00047000000000000004	9.7e-08	53.9	0.0	27	462-492	1-27  (170)
OCK99664	7	PF05621.11 ; TniB ; Bacterial	94.2	0.0005200000000000001	1.1e-07	55.1	0.0	27	461-491	35-61  (191)
OCK99664	8	PF00931.22 ; NB-ARC ; NB-ARC d	94.1	0.0006	1.2e-07	56.6	0.0	34	452-489	6-42  (240)
OCK99664	9	PF10923.8 ; DUF2791 ; P-loop D	93.7	0.0009400000000000001	1.9e-07	62.4	0.0	59	460-526	48-110 (413)
OCK99664	10	PF09820.9 ; AAA-ATPase_like ;	93.1	0.0015	3.1e-07	56.4	0.0	26	461-490	31-56  (278)
PQE30996	1	PF08357.11 ; SEFIR ; SEFIR dom	89.6	0.0081	1.9e-06	46.8	0.0	77	113-209	1-79  (160)
XP_022284051	1	PF06516.11 ; NUP ; Purine nucl	98.4	5.7000000000000003e-11	1.1e-14	87.8	0.0	69	21-89	201-290 (329)
XP_022284051	2	PF01048.20 ; PNP_UDP_1 ; Phosp	97.7	9.7e-09	1.8000000000000002e-12	69.9	0.0	67	23-89	126-198 (215)
EXM15090	1	PF17100.5 ; NACHT_N ; N-termin	99.6	9.7e-21	1.8999999999999998e-24	168.9	0.0	193	132-335	1-228 (229)
EXM15090	2	PF17109.5 ; Goodbye ; fungal S	98.4	2.7e-11	5.1e-15	94.9	0.0	118	135-261	1-123 (123)
EXM15090	3	PF01637.18 ; ATPase_2 ; ATPase	88.8	0.013000000000000001	2.5e-06	45.0	0.0	35	410-449	10-44  (209)
EXM15090	4	PF05729.12 ; NACHT ; NACHT dom	88.2	0.015	3e-06	42.7	0.0	23	424-449	2-24  (170)
EXM15090	5	PF01057.17 ; Parvo_NS1 ; Parvo	88.0	0.016	3.1e-06	48.2	0.0	31	410-441	106-136 (284)
EXM15090	6	PF14516.6 ; AAA_35 ; AAA-like	87.8	0.017	3.4e-06	48.4	0.0	24	423-449	31-54  (330)
EXM15090	7	PF00931.22 ; NB-ARC ; NB-ARC d	87.5	0.018000000000000002	3.6000000000000003e-06	45.0	0.0	31	410-441	6-36  (240)
EXM15090	8	PF05621.11 ; TniB ; Bacterial	87.4	0.018000000000000002	3.7000000000000006e-06	43.3	0.0	18	423-441	36-53  (191)
EXM15090	9	PF07931.12 ; CPT ; Chloramphen	87.1	0.02	3.9e-06	42.3	0.0	18	423-441	2-19  (163)
EXM15090	10	PF14532.6 ; Sigma54_activ_2 ;	87.1	0.02	3.9e-06	41.2	0.0	18	423-441	22-39  (135)
XP_009228193	1	PF17046.5 ; Ses_B ; SesB domai	95.8	3.6e-05	6.9e-09	31.6	0.0	23	6-28	5-27  (28)
KFX51227	1	PF06516.11 ; NUP ; Purine nucl	99.8	1.1999999999999998e-23	2.2000000000000002e-27	209.0	0.0	272	45-371	2-321 (329)
KFX51227	2	PF01048.20 ; PNP_UDP_1 ; Phosp	99.5	1.3000000000000002e-18	2.4e-22	161.4	0.0	204	46-367	1-214 (215)
KFX51227	3	PF17100.5 ; NACHT_N ; N-termin	99.1	4.4e-15	8e-19	138.1	0.0	137	459-597	79-228 (229)
KFX51227	4	PF17109.5 ; Goodbye ; fungal S	98.7	1.2e-12	2.2000000000000002e-16	107.3	0.0	116	414-529	1-123 (123)
GAO87762	1	PF17111.5 ; Helo_like_N ; Fung	98.8	4.3000000000000004e-13	8.5e-17	102.9	0.0	162	51-226	1-178 (209)
GAO87762	2	PF17107.5 ; SesA ; N-terminal	97.0	5.1e-07	9.900000000000001e-11	62.9	0.0	82	57-142	1-84  (133)
PGH12591	1	PF17046.5 ; Ses_B ; SesB domai	96.8	1.1e-06	2.1000000000000002e-10	32.1	0.0	23	5-27	5-27  (28)
EMD36360	1	PF17109.5 ; Goodbye ; fungal S	88.7	0.013999999999999999	2.5e-06	36.4	0.0	45	74-118	76-120 (123)
EMD36360	2	PF17111.5 ; Helo_like_N ; Fung	79.7	0.081	1.4999999999999999e-05	35.1	0.0	82	76-159	10-91  (209)
KIN99576	1	PF15729.5 ; ALS2CR11 ; Amyotro	96.3	9e-06	1.7000000000000001e-09	77.7	0.0	95	121-218	22-135 (420)
KIN99576	2	PF17100.5 ; NACHT_N ; N-termin	96.2	1.1e-05	2.0999999999999998e-09	71.2	0.0	136	285-421	79-227 (229)
KIN99576	3	PF11618.8 ; C2-C2_1 ; First C2	95.9	2.8999999999999997e-05	5.9e-09	62.3	0.0	93	120-217	6-110 (142)
KIN99576	4	PF17109.5 ; Goodbye ; fungal S	93.2	0.0015	3e-07	50.5	0.0	70	285-354	52-122 (123)
KIN99576	5	PF00168.30 ; C2 ; C2 domain	92.8	0.0019	3.8e-07	47.7	0.0	85	124-216	2-106 (116)
KIN99576	6	PF05621.11 ; TniB ; Bacterial	88.9	0.012	2.4e-06	46.5	0.0	48	465-525	15-63  (191)
KIN99576	7	PF06309.11 ; Torsin ; Torsin	88.5	0.013000000000000001	2.7000000000000004e-06	43.4	0.0	28	498-525	52-80  (126)
KIN99576	8	PF07693.14 ; KAP_NTPase ; KAP	88.2	0.013999999999999999	3e-06	50.3	0.0	65	466-532	1-67  (307)
KIN99576	9	PF01057.17 ; Parvo_NS1 ; Parvo	86.4	0.023	4.7e-06	49.3	0.0	44	468-525	102-146 (284)
KIN99576	10	PF13177.6 ; DNA_pol3_delta2 ;	83.7	0.042	8e-06	48.6	0.0	43	466-523	2-45  (297)
KZZ99530	1	PF08043.12 ; Xin ; Xin repeat	84.2	0.04	7.2999999999999996e-06	15.9	0.0	11	14-24	4-14  (16)
EMD37049	1	PF17111.5 ; Helo_like_N ; Fung	91.7	0.0039	7.8e-07	45.7	0.0	115	126-240	10-134 (209)
EMD37049	2	PF17100.5 ; NACHT_N ; N-termin	90.3	0.0076	1.5e-06	45.4	0.0	124	112-235	90-226 (229)
EMD37049	3	PF17109.5 ; Goodbye ; fungal S	84.7	0.034	6.7e-06	37.4	0.0	60	110-169	61-121 (123)
EMD37049	4	PF17107.5 ; SesA ; N-terminal	79.4	0.077	1.4999999999999999e-05	35.4	0.0	30	142-171	16-45  (133)
CRL22788	1	PF17100.5 ; NACHT_N ; N-termin	99.5	1.5e-19	2.8000000000000003e-23	135.9	0.0	137	72-211	79-228 (229)
CRL22788	2	PF17109.5 ; Goodbye ; fungal S	99.3	9.9e-17	1.8000000000000002e-20	108.4	0.0	118	26-143	1-123 (123)
KFY60362	1	PF01734.22 ; Patatin ; Patatin	99.0	1.5999999999999998e-14	3.1e-18	103.9	0.0	99	35-141	1-110 (221)
KFY60362	2	PF01735.18 ; PLA2_B ; Lysophos	96.9	8.5e-07	1.6000000000000002e-10	70.4	0.0	68	34-101	2-71  (488)
RDW85279	1	PF01083.22 ; Cutinase ; Cutina	98.3	9.7e-11	2e-14	99.3	0.0	129	168-305	4-142 (207)
RDW85279	2	PF05057.14 ; DUF676 ; Putative	97.9	2.6e-09	5.5e-13	89.4	0.0	129	168-307	4-145 (218)
RDW85279	3	PF06259.12 ; Abhydrolase_8 ; A	97.8	5.7e-09	1.2e-12	86.2	0.0	68	225-304	93-160 (190)
RDW85279	4	PF07819.13 ; PGAP1 ; PGAP1-lik	97.4	4.2e-08	9.5e-12	79.2	0.0	67	227-304	68-137 (245)
RDW85279	5	PF05990.12 ; DUF900 ; Alpha/be	97.4	4.8e-08	1.0000000000000001e-11	79.6	0.0	125	167-307	11-139 (213)
RDW85279	6	PF02089.15 ; Palm_thioest ; Pa	97.3	9.199999999999999e-08	2.0000000000000002e-11	80.2	0.0	108	171-304	1-112 (271)
RDW85279	7	PF03096.14 ; Ndr ; Ndr family	97.2	1.6e-07	3.7e-11	77.2	0.0	104	169-301	23-136 (283)
RDW85279	8	PF02129.18 ; Peptidase_S15 ; X	97.2	2e-07	4.5999999999999996e-11	74.9	0.0	113	167-303	16-129 (267)
RDW85279	9	PF00975.20 ; Thioesterase ; Th	97.1	2.5e-07	5.7000000000000003e-11	71.9	0.0	102	171-301	2-105 (221)
RDW85279	10	PF05705.14 ; DUF829 ; Eukaryot	97.1	3e-07	6.8e-11	72.5	0.0	110	172-303	2-111 (238)
XP_002480069	1	PF17109.5 ; Goodbye ; fungal S	99.7	1.5e-21	2.7e-25	145.7	0.0	121	61-181	1-123 (123)
XP_002480069	2	PF17100.5 ; NACHT_N ; N-termin	99.1	6.999999999999999e-15	1.3000000000000002e-18	120.1	0.0	131	110-246	79-223 (229)
XP_025560671	1	PF17100.5 ; NACHT_N ; N-termin	99.9	3.8e-27	7.699999999999999e-31	218.0	0.0	219	164-395	1-228 (229)
XP_025560671	2	PF17109.5 ; Goodbye ; fungal S	97.9	1.9e-09	3.8e-13	86.6	0.0	95	213-313	28-123 (123)
XP_025560671	3	PF13824.6 ; zf-Mss51 ; Zinc-fi	95.4	0.0001	2e-08	52.2	0.0	38	9-51	35-72  (77)
XP_025560671	4	PF01753.18 ; zf-MYND ; MYND fi	89.0	0.011000000000000001	2.3e-06	30.4	0.0	30	9-43	9-38  (38)
PMD15893	1	PF17100.5 ; NACHT_N ; N-termin	99.6	1.6000000000000002e-20	2.7999999999999998e-24	140.3	0.0	141	34-175	79-228 (229)
PMD15893	2	PF17109.5 ; Goodbye ; fungal S	98.8	6.8e-13	1.2e-16	87.6	0.0	93	4-102	28-123 (123)
XP_024735629	1	PF06524.12 ; NOA36 ; NOA36 pro	98.7	1.8000000000000002e-12	3.6000000000000003e-16	129.7	0.0	141	386-535	59-239 (313)
XP_024735629	2	PF17017.5 ; zf-C2H2_aberr ; Ab	98.1	3.6000000000000005e-10	7.299999999999999e-14	101.5	0.0	132	392-533	1-166 (173)
XP_024735629	3	PF18868.1 ; zf-C2H2_3rep ; Zin	98.1	5.599999999999999e-10	1.2e-13	92.3	0.0	109	394-530	1-123 (124)
XP_024735629	4	PF06524.12 ; NOA36 ; NOA36 pro	97.8	5.8e-09	1.2e-12	102.9	0.0	92	387-483	139-236 (313)
XP_024735629	5	PF06524.12 ; NOA36 ; NOA36 pro	97.5	4e-08	8e-12	96.4	0.0	131	379-528	27-164 (313)
XP_024735629	6	PF18868.1 ; zf-C2H2_3rep ; Zin	97.2	1.5e-07	3.0999999999999996e-11	76.4	0.0	89	389-481	30-123 (124)
XP_024735629	7	PF15909.5 ; zf-C2H2_8 ; C2H2-t	96.6	2.5e-06	5.200000000000001e-10	64.9	0.0	86	391-482	1-91  (98)
XP_024735629	8	PF18414.1 ; zf_C2H2_10 ; C2H2	95.4	9.9e-05	1.8999999999999998e-08	42.0	0.0	23	507-529	3-25  (26)
XP_024735629	9	PF15909.5 ; zf-C2H2_8 ; C2H2-t	95.3	0.00011	2.2999999999999998e-08	54.7	0.0	82	429-533	4-93  (98)
XP_024735629	10	PF18112.1 ; Zn-C2H2_12 ; Autop	95.2	0.00013000000000000002	2.6e-08	41.7	0.0	24	507-530	1-27  (27)
SLM33805	1	PF01083.22 ; Cutinase ; Cutina	98.1	5.3e-10	1.1e-13	99.5	0.0	125	150-283	4-142 (207)
SLM33805	2	PF05057.14 ; DUF676 ; Putative	97.8	3.4000000000000003e-09	7.200000000000001e-13	93.3	0.0	122	149-284	3-144 (218)
SLM33805	3	PF06259.12 ; Abhydrolase_8 ; A	97.7	8.7e-09	1.8000000000000002e-12	89.5	0.0	68	210-282	93-160 (190)
SLM33805	4	PF03096.14 ; Ndr ; Ndr family	97.6	1.3e-08	2.9999999999999997e-12	88.9	0.0	109	150-280	22-137 (283)
SLM33805	5	PF02089.15 ; Palm_thioest ; Pa	97.6	1.5e-08	3.3999999999999996e-12	90.0	0.0	107	153-282	1-112 (271)
SLM33805	6	PF12146.8 ; Hydrolase_4 ; Seri	97.6	2.1e-08	4.7000000000000006e-12	84.2	0.0	107	150-280	3-114 (239)
SLM33805	7	PF05990.12 ; DUF900 ; Alpha/be	97.5	2.4e-08	5.3e-12	85.9	0.0	127	146-283	8-137 (213)
SLM33805	8	PF00975.20 ; Thioesterase ; Th	97.4	5.5e-08	1.2999999999999999e-11	80.0	0.0	104	153-280	2-106 (221)
SLM33805	9	PF02129.18 ; Peptidase_S15 ; X	97.4	5.6e-08	1.2999999999999999e-11	82.7	0.0	113	149-281	16-129 (267)
SLM33805	10	PF07819.13 ; PGAP1 ; PGAP1-lik	97.3	1.1e-07	2.5999999999999997e-11	80.6	0.0	113	150-282	3-137 (245)
XP_013278287	1	PF01083.22 ; Cutinase ; Cutina	98.5	1.8e-11	3.4e-15	99.7	0.0	126	26-156	4-141 (207)
XP_013278287	2	PF05057.14 ; DUF676 ; Putative	98.2	2.2000000000000002e-10	4.2000000000000004e-14	93.4	0.0	123	26-157	4-143 (218)
XP_013278287	3	PF06259.12 ; Abhydrolase_8 ; A	97.9	1.9e-09	3.4999999999999997e-13	85.8	0.0	67	82-156	94-160 (190)
XP_013278287	4	PF12146.8 ; Hydrolase_4 ; Seri	97.8	3.4000000000000003e-09	6.6e-13	84.5	0.0	108	26-154	3-114 (239)
XP_013278287	5	PF05990.12 ; DUF900 ; Alpha/be	97.8	4.6e-09	8.8e-13	84.2	0.0	124	24-156	10-136 (213)
XP_013278287	6	PF02089.15 ; Palm_thioest ; Pa	97.8	5.8e-09	1.1e-12	86.6	0.0	108	29-156	1-112 (271)
XP_013278287	7	PF02129.18 ; Peptidase_S15 ; X	97.8	6.3e-09	1.2e-12	84.4	0.0	113	24-155	15-129 (267)
XP_013278287	8	PF03096.14 ; Ndr ; Ndr family	97.7	7.9e-09	1.4999999999999999e-12	85.2	0.0	106	26-154	22-137 (283)
XP_013278287	9	PF00975.20 ; Thioesterase ; Th	97.6	1.7e-08	3.2e-12	79.0	0.0	105	29-154	2-106 (221)
XP_013278287	10	PF07819.13 ; PGAP1 ; PGAP1-lik	97.6	1.7e-08	3.3e-12	81.1	0.0	116	26-156	3-137 (245)
KEP45157	1	PF17111.5 ; Helo_like_N ; Fung	90.7	0.0062	1.2e-06	45.7	0.0	118	166-283	7-135 (209)
KEP45157	2	PF17100.5 ; NACHT_N ; N-termin	87.9	0.016	3.2e-06	44.4	0.0	112	163-277	98-226 (229)
KIM77258	1	PF17100.5 ; NACHT_N ; N-termin	88.9	0.012	2.4e-06	47.6	0.0	125	206-331	88-227 (229)
KIM77258	2	PF13191.6 ; AAA_16 ; AAA ATPas	88.6	0.012	2.6e-06	43.9	0.0	37	376-412	5-42  (189)
KIM77258	3	PF00931.22 ; NB-ARC ; NB-ARC d	88.3	0.013999999999999999	2.8999999999999998e-06	45.2	0.0	35	378-412	2-36  (240)
KIM77258	4	PF01637.18 ; ATPase_2 ; ATPase	87.8	0.016	3.3e-06	44.0	0.0	36	376-413	4-39  (209)
KIM77258	5	PF05621.11 ; TniB ; Bacterial	87.5	0.017	3.6000000000000003e-06	43.2	0.0	39	374-412	14-53  (191)
KIM77258	6	PF07693.14 ; KAP_NTPase ; KAP	87.4	0.017	3.6000000000000003e-06	47.2	0.0	37	376-412	1-49  (307)
KIM77258	7	PF00308.18 ; Bac_DnaA ; Bacter	87.2	0.018000000000000002	3.9e-06	43.9	0.0	42	371-413	11-52  (219)
