Cluster no	Representative no	Nterm	Nterm_GDT
RDW91721	KIM94334.1	NOA36 PUP	unk
RDW91721	CZR65063.1	NOA36 PUP	unk
RDW91721	RFU32291.1	NOA36 PUP	unk
RDW91721	XP_018069838.1	NOA36 PUP	DUF629
RDW91721	KIN02558.1	NOA36 PUP	unk
RDW91721	KIW66779.1	NOA36 PUP	unk
RDW91721	OAL30715.1	NOA36 PUP	unk
RDW91721	OCT51258.1	NOA36 PUP	unk
RDW91721	KKP05822.1	NOA36 PUP	unk
RDW91721	KND91791.1	NOA36 PUP	unk
RDW91721	KXH32131.1	NOA36 PUP	unk
RDW91721	EXF84067.1	NOA36 PUP	unk
RDW91721	KXH51697.1	NOA36 PUP	unk
RDW91721	OAL45669.1	NOA36 PUP	unk
RDW91721	OAL46683.1	NOA36 PUP	unk
RDW91721	OBS26153.1	NOA36 PUP	unk
RDW91721	OCK90639.1	NOA36 PUP	unk
RDW91721	OCL12400.1	NOA36 PUP	unk
RDW91721	OCL14010.1	NOA36 PUP	unk
RDW91721	OOQ86236.1	NOA36 PUP	unk
RDW91721	OPB46343.1	NOA36 PUP	unk
RDW91721	KKP05303.1	NOA36 PUP	unk
RDW91721	XP_009229693.1	NOA36 PUP	unk
RDW91721	XP_009229692.1	NOA36 PUP	unk
RDW91721	XP_013945002.1	NOA36 PUP	unk
RDW91721	PNP40599.1	NOA36 PUP	unk
RDW91721	XP_018656344.2	NOA36 PUP	unk
RDW91721	ORY58056.1	NOA36 PUP	unk
RDW91721	OWY55134.1	NOA36 PUP	unk
RDW91721	PHH62955.1	NOA36 PUP	unk
RDW91721	PMD15083.1	NOA36 PUP	unk
RDW91721	PNP40737.1	NOA36 PUP	unk
RDW91721	PVH87161.1	NOA36 PUP	unk
RDW91721	PVH88844.1	NOA36 PUP	unk
RDW91721	RDI80258.1	NOA36 PUP	unk
RDW91721	RFU23756.1	NOA36 PUP	unk
RDW91721	SMR52950.1	NOA36 PUP	unk
RDW91721	SMQ51033.1	NOA36 PUP	unk
RDW91721	SMR54424.1	NOA36 PUP	unk
RDW91721	SMY24696.1	NOA36 PUP	unk
RDW91721	XP_003852537.1	NOA36 PUP	unk
RDW91721	XP_003041354.1	NOA36 PUP	GOODBYE-LIKE
RDW91721	XP_007737628.1	NOA36 PUP	unk
RDW91721	XP_007803110.1	NOA36 PUP	unk
RDW91721	XP_008602035.1	NOA36 PUP	unk
RDW91721	XP_011123107.1	NOA36 PUP	unk
RDW91721	XP_011125839.1	NOA36 PUP	unk
RDW91721	XP_011320666.1	NOA36 PUP	unk
RDW91721	PTD02210.1	NOA36 PUP	unk
RDW91721	XP_013273074.1	NOA36 PUP	unk
RDW91721	XP_013277417.1	NOA36 PUP	unk
RDW91721	XP_014171434.1	NOA36 PUP	unk
RDW91721	KXJ88488.1	NOA36 PUP	unk
RDW91721	XP_014175858.1	NOA36 PUP	unk
RDW91721	XP_016241576.1	NOA36 PUP	unk
RDW91721	XP_016242636.1	NOA36 PUP	PNP_UDP
RDW91721	OQU98195.1	NOA36 PUP	unk
RDW91721	XP_018160718.1	NOA36 PUP	unk
RDW91721	XP_020115712.1	NOA36 PUP	unk
RDW91721	XP_022577062.1	NOA36 PUP	unk
RDW91721	XP_023450502.1	NOA36 PUP	unk
RDW91721	XP_024735629.1	NOA36 PUP	unk
RDW91721	GAM36942.1	NOA36 PUP	unk
RFN46378	RFN46378.1	RELA_SPOT	RELA_SPOT
RFN46378	CZR49580.1	RELA_SPOT	RELA_SPOT
RFN46378	CVL07284.1	RELA_SPOT	RELA_SPOT
RFN46378	KIL85922.1	RELA_SPOT	RELA_SPOT
RFN46378	KLO85058.1	RELA_SPOT	RELA_SPOT
RFN46378	RBA15925.1	RELA_SPOT	RELA_SPOT
RFN46378	KFA46221.1	RELA_SPOT	RELA_SPOT
RFN46378	KEY74727.1	RELA_SPOT	RELA_SPOT
RFN46378	KFA54499.1	RELA_SPOT	RELA_SPOT
RFN46378	KFA64287.1	RELA_SPOT	RELA_SPOT
RFN46378	KFA80114.1	RELA_SPOT	RELA_SPOT
RFN46378	KIL83794.1	RELA_SPOT	RELA_SPOT
RFN46378	KLU84942.1	RELA_SPOT	RELA_SPOT
RFN46378	KLU92677.1	RELA_SPOT	RELA_SPOT
RFN46378	KPA36012.1	RELA_SPOT	RELA_SPOT
RFN46378	KXX83370.1	RELA_SPOT	RELA_SPOT
RFN46378	OBS17672.1	RELA_SPOT	RELA_SPOT
RFN46378	OBS29589.1	RELA_SPOT	RELA_SPOT
RFN46378	OBS20414.1	RELA_SPOT	RELA_SPOT
RFN46378	CEF88659.1	RELA_SPOT	RELA_SPOT
RFN46378	EYB27129.1	RELA_SPOT	RELA_SPOT
RFN46378	KPA38001.1	RELA_SPOT	RELA_SPOT
RFN46378	PCD34104.1	RELA_SPOT	RELA_SPOT
RFN46378	PTD05416.1	RELA_SPOT	RELA_SPOT
RFN46378	RBR14438.1	RELA_SPOT	RELA_SPOT
RFN46378	RFN44797.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009255425.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_011323324.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_025591806.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_025591283.1	RELA_SPOT	RELA_SPOT
RFN46378	RFN51770.1	RELA_SPOT	RELA_SPOT
RFN46378	RBQ93671.1	RELA_SPOT	RELA_SPOT
RFN46378	RBR12020.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_018744658.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_001904212.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229405.1	RELA_SPOT	RELA_SPOT
RFN46378	KLU93067.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229406.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009216004.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229779.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229778.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009259476.1	RELA_SPOT	RELA_SPOT
RFN46378	CEF79665.1	RELA_SPOT	RELA_SPOT
RFN46378	EYB27935.1	RELA_SPOT	RELA_SPOT
RFN46378	OBS26003.1	RELA_SPOT	RELA_SPOT
RFN46378	PCD28510.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_011320952.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_025587033.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_025583942.1	RELA_SPOT	RELA_SPOT
RFN46378	OBS23217.1	RELA_SPOT	RELA_SPOT
RFN46378	KLU91998.1	RELA_SPOT	RELA_SPOT
RFN46378	KLU92790.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229742.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229780.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_009229781.1	RELA_SPOT	RELA_SPOT
RFN46378	XP_016643353.1	RELA_SPOT	RELA_SPOT
RFN52462	RFN52462.1	PUP GOODBYE-LIKE	unk
RFN52462	RBR19198.1	PUP GOODBYE-LIKE	unk
RFN52462	KZL72051.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	OHW99590.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	ANM86340.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	APA06018.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_001597365.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_024551686.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	APA06065.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	APA15625.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CAK43892.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EHA26671.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OWW31634.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDH17723.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDH37025.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDK45967.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_001389225.2	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_016594457.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025456190.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CAK48373.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EHA19561.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GAA83862.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GAQ42246.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GAT22366.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJI82825.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJJ77785.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJZ90838.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OOF98974.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQD99327.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OWW37706.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PYH94744.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PYI00733.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDH21351.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDH36433.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDK38787.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_001394383.2	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025392056.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025455167.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025462278.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025482799.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025515287.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025541222.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025561461.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025570016.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CAL30199.1	PUP GOODBYE-LIKE	PFD-LIKE
RFN52462	CDP26546.1	PUP GOODBYE-LIKE	PFD-LIKE
RFN52462	XP_001903321.1	PUP GOODBYE-LIKE	PFD-LIKE
RFN52462	CAL30200.1	PUP GOODBYE-LIKE	unk
RFN52462	CBF69403.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_664073.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PIG87074.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CCD48783.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EMR83384.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PQE18876.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PQE21621.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_024553750.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CCD49686.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	APA12249.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	EMR86953.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PQE17155.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PQE26429.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	RAL65362.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_001588302.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_024548427.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCD51214.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CCF34581.1	PUP GOODBYE-LIKE	unk
RFN52462	CCF41881.1	PUP GOODBYE-LIKE	unk
RFN52462	CCX04620.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX11407.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CCX12006.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX12057.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX12100.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX15438.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX16348.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX30164.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX30308.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX04398.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX30770.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX30781.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX32835.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX15409.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX32395.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX33059.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CCX33860.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OAQ59286.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OAQ75494.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PWI64053.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PWI75965.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_018172973.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CDM37253.1	PUP GOODBYE-LIKE	unk
RFN52462	CEF72123.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	EYB30827.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	KIL95692.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OBS26295.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PCD18120.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PTD11509.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	RBR26044.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	RFN50782.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_009258382.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_025587580.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEF74871.1	PUP GOODBYE-LIKE	unk
RFN52462	EYB31724.1	PUP GOODBYE-LIKE	unk
RFN52462	OBS28611.1	PUP GOODBYE-LIKE	unk
RFN52462	PCD36342.1	PUP GOODBYE-LIKE	unk
RFN52462	XP_009260069.1	PUP GOODBYE-LIKE	unk
RFN52462	XP_011318495.1	PUP GOODBYE-LIKE	unk
RFN52462	XP_025590184.1	PUP GOODBYE-LIKE	unk
RFN52462	CEF84263.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_011328640.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEF87775.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	EYB23433.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	PCD24446.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_011325789.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEG03538.1	PUP GOODBYE-LIKE	unk
RFN52462	CEG04908.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ55591.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OKP00502.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OOQ89141.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	XP_022493490.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEJ57052.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	EPS26791.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OKO97250.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	OOQ85019.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEJ57454.1	PUP GOODBYE-LIKE	unk
RFN52462	CEJ60880.1	PUP GOODBYE-LIKE	unk
RFN52462	CEJ62687.1	PUP GOODBYE-LIKE	unk
RFN52462	CEJ81162.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEJ82927.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ82920.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ82943.1	PUP GOODBYE-LIKE	unk
RFN52462	CEJ82946.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ85701.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEJ87062.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ87393.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ87794.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEJ93516.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEJ93529.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL01300.1	PUP GOODBYE-LIKE	unk
RFN52462	CEL01299.1	PUP GOODBYE-LIKE	unk
RFN52462	CEL03835.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEL06478.1	PUP GOODBYE-LIKE	unk
RFN52462	CEL06481.1	PUP GOODBYE-LIKE	unk
RFN52462	CEL06482.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL06623.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	CEL07551.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL08131.1	PUP GOODBYE-LIKE	PNP_UDP GOODBYE-LIKE
RFN52462	CEL08493.1	PUP GOODBYE-LIKE	unk
RFN52462	CEL11915.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	CEL09008.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CAK46276.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EHA25329.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GAQ44901.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJI80486.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJJ70220.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDH35390.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_001395633.2	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025455897.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025540133.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025564695.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL07160.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EDP48589.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GAA92418.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GAT20835.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KMK58512.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQD68167.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_025473662.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EZF32372.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EGD99219.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	EGE03706.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	GBF64979.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KDB24378.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_003169703.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KIW69667.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KJK66021.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PIG90131.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_022391365.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KZN89462.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OCK92247.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJJ36220.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OJJ74462.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQE25585.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQE77701.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_001215590.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_002568900.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KXG54533.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQE42284.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_015402637.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_018151600.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL09860.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEL10279.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL10467.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEL10523.1	PUP GOODBYE-LIKE	unk
RFN52462	CEL10544.1	PUP GOODBYE-LIKE	HELO HELO
RFN52462	CEN61468.1	PUP GOODBYE-LIKE	HELO-LIKE
RFN52462	CEN61886.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CEN61885.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	RDW70893.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRG90788.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	CRJ79617.1	PUP GOODBYE-LIKE	unk
RFN52462	CRK20948.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRK34635.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRK45050.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	XP_003004189.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	XP_009654153.1	PUP GOODBYE-LIKE	PNP_UDP
RFN52462	CRK49012.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRK16715.1	PUP GOODBYE-LIKE	NMRA GOODBYE-LIKE
RFN52462	CRK18297.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRK49016.1	PUP GOODBYE-LIKE	NMRA GOODBYE-LIKE
RFN52462	XP_003006001.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	XP_009648361.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRL19852.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CRL21838.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	CDM29340.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	ETS01080.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	KOS36602.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OCL07139.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQD61627.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQD98340.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQE10847.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQE19230.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OQE93098.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	OTA02926.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
RFN52462	PTB78374.1	PUP GOODBYE-LIKE	GOODBYE-LIKE
