Cluster no	No	Hit	Prob	E-value	P-value	Score	SS	Cols	Query HMM	Template HMM
KOC17030	3	PF13191.6 ; AAA_16 ; AAA ATPas	96.4	5.9e-06	1.3e-09	54.7	0.0	37	135-171	11-51  (189)
KOC17030	4	PF07931.12 ; CPT ; Chloramphen	96.4	6.6e-06	1.4000000000000001e-09	54.0	0.0	23	146-168	2-25  (163)
KOC17030	5	PF00931.22 ; NB-ARC ; NB-ARC d	96.3	8.400000000000001e-06	1.8e-09	55.6	0.0	34	135-168	6-42  (240)
KOC17030	6	PF05621.11 ; TniB ; Bacterial	96.2	9.9e-06	2.0999999999999998e-09	53.7	0.0	26	145-170	35-61  (191)
KOC17030	7	PF02223.17 ; Thymidylate_kin ;	96.2	1.2e-05	2.4e-09	53.3	0.0	20	150-169	1-21  (181)
KOC17030	8	PF13401.6 ; AAA_22 ; AAA domai	96.1	1.3000000000000001e-05	2.8000000000000003e-09	49.7	0.0	25	145-169	5-30  (131)
KOC17030	9	PF13238.6 ; AAA_18 ; AAA domai	96.1	1.4000000000000001e-05	2.9e-09	49.1	0.0	21	148-168	1-22  (108)
KOC17030	10	PF05729.12 ; NACHT ; NACHT dom	96.1	1.3000000000000001e-05	2.9e-09	51.6	0.0	24	147-170	2-26  (170)
KIJ47396	1	PF17111.5 ; Helo_like_N ; Fung	98.7	9.000000000000001e-13	1.7e-16	98.6	0.0	131	22-159	1-139 (209)
KIJ47396	2	PF17107.5 ; SesA ; N-terminal	97.6	1.6e-08	2.9999999999999997e-12	68.9	0.0	105	39-148	8-132 (133)
KIJ47396	3	PF05729.12 ; NACHT ; NACHT dom	95.8	4.3e-05	7.9e-09	51.5	0.0	23	256-278	2-24  (170)
KIJ47396	4	PF13238.6 ; AAA_18 ; AAA domai	95.7	4.8e-05	8.9e-09	47.9	0.0	22	257-278	1-22  (108)
KIJ47396	5	PF18751.1 ; Ploopntkinase3 ; P	95.7	5.6000000000000006e-05	1e-08	52.5	0.0	24	255-278	4-27  (187)
KIJ47396	6	PF13671.6 ; AAA_33 ; AAA domai	95.6	6.8e-05	1.2e-08	49.3	0.0	23	256-278	1-23  (142)
KIJ47396	7	PF07931.12 ; CPT ; Chloramphen	95.6	6.8e-05	1.3e-08	50.7	0.0	24	255-278	2-25  (163)
KIJ47396	8	PF08433.10 ; KTI12 ; Chromatin	95.5	8.8e-05	1.6e-08	55.5	0.0	23	256-278	3-25  (269)
KIJ47396	9	PF13191.6 ; AAA_16 ; AAA ATPas	95.4	9.7e-05	1.8e-08	50.7	0.0	24	254-277	24-47  (189)
KIJ47396	10	PF05621.11 ; TniB ; Bacterial	95.4	9.7e-05	1.8e-08	50.8	0.0	25	254-278	35-59  (191)
KZV77396	1	PF17100.5 ; NACHT_N ; N-termin	99.3	1.3e-16	2.5e-20	140.6	0.0	189	101-305	1-227 (229)
KZV77396	2	PF17109.5 ; Goodbye ; fungal S	99.1	2.2e-15	4.2e-19	119.1	0.0	121	104-235	1-123 (123)
KZV77396	3	PF17111.5 ; Helo_like_N ; Fung	88.4	0.013999999999999999	2.8e-06	45.4	0.0	29	281-309	106-134 (209)
OCK94306	1	PF09235.10 ; SAM_Ste50p ; Ste5	95.9	2.6000000000000002e-05	5.6000000000000005e-09	48.7	0.0	70	24-96	2-73  (75)
OCK94306	2	PF18017.1 ; SAM_4 ; SAM domain	89.1	0.011000000000000001	2.3e-06	37.2	0.0	67	27-96	5-74  (84)
CDM37572	1	PF17100.5 ; NACHT_N ; N-termin	99.4	2.3e-17	4.6999999999999995e-21	137.2	0.0	136	122-267	79-228 (229)
CDM37572	2	PF17109.5 ; Goodbye ; fungal S	99.2	1.7e-15	3.3999999999999997e-19	113.9	0.0	117	76-192	1-123 (123)
CEF74370	1	PF17111.5 ; Helo_like_N ; Fung	99.3	3.8e-17	6.5000000000000006e-21	113.7	0.0	171	2-192	1-177 (209)
CEF74370	2	PF17107.5 ; SesA ; N-terminal	98.2	1.8000000000000002e-10	3.1e-14	73.0	0.0	118	8-130	1-132 (133)
CEF74370	3	PF14479.6 ; HeLo ; Prion-inhib	95.4	0.0001	1.8e-08	48.3	0.0	51	5-56	4-54  (199)
XP_008029344	1	PF17111.5 ; Helo_like_N ; Fung	98.3	9.199999999999999e-11	1.9e-14	95.3	0.0	128	98-235	6-142 (209)
XP_008029344	2	PF17107.5 ; SesA ; N-terminal	97.8	5.6000000000000005e-09	1.1e-12	78.7	0.0	114	99-221	1-132 (133)
XP_008029344	3	PF14479.6 ; HeLo ; Prion-inhib	92.4	0.0025	5e-07	48.9	0.0	128	99-227	6-170 (199)
EJD47499	1	PF05659.11 ; RPW8 ; Arabidopsi	92.0	0.0036	6.7e-07	42.0	0.0	104	82-187	9-113 (140)
EJD47499	2	PF17111.5 ; Helo_like_N ; Fung	87.5	0.018000000000000002	3.6000000000000003e-06	39.5	0.0	110	85-197	17-137 (209)
RFN52462	1	PF06516.11 ; NUP ; Purine nucl	98.4	3.4e-11	7.1e-15	119.9	0.0	105	206-322	2-118 (329)
RFN52462	2	PF01048.20 ; PNP_UDP_1 ; Phosp	97.4	4.3e-08	9.300000000000001e-12	88.7	0.0	95	207-317	1-96  (215)
RFN52462	3	PF17100.5 ; NACHT_N ; N-termin	86.7	0.021	4.4e-06	49.4	0.0	48	426-473	132-196 (229)
XP_001875763	1	PF17111.5 ; Helo_like_N ; Fung	91.2	0.005	1e-06	46.8	0.0	118	123-246	7-135 (209)
XP_001875763	2	PF17100.5 ; NACHT_N ; N-termin	90.1	0.0079	1.6e-06	47.0	0.0	131	107-237	85-225 (229)
XP_001875763	3	PF17109.5 ; Goodbye ; fungal S	81.3	0.06	1.2e-05	37.3	0.0	62	105-170	56-118 (123)
PVH69802	1	PF13924.6 ; Lipocalin_5 ; Lipo	99.7	9.599999999999999e-23	1.8999999999999998e-26	175.1	0.0	114	41-177	1-117 (138)
PVH69802	2	PF14869.6 ; DUF4488 ; Domain o	99.1	8.7e-15	1.7000000000000002e-18	121.4	0.0	87	39-167	1-91  (124)
PVH69802	3	PF17111.5 ; Helo_like_N ; Fung	98.3	9.199999999999999e-11	1.9e-14	103.5	0.0	138	233-379	1-138 (209)
PVH69802	4	PF17107.5 ; SesA ; N-terminal	97.3	8.3e-08	1.7e-11	77.8	0.0	121	242-369	1-132 (133)
XP_013330503	1	PF17100.5 ; NACHT_N ; N-termin	99.1	8.8e-15	1.7000000000000002e-18	131.2	0.0	136	165-304	79-228 (229)
XP_013330503	2	PF17109.5 ; Goodbye ; fungal S	98.4	3.4e-11	6.5e-15	95.6	0.0	118	112-234	2-123 (123)
CVK97834	1	PF17106.5 ; NACHT_sigma ; Sigm	97.3	1.3e-07	2.5e-11	52.9	0.0	40	51-90	2-42  (43)
XP_009224635	1	PF17100.5 ; NACHT_N ; N-termin	99.1	6.3e-15	1.2e-18	128.7	0.0	156	131-295	60-228 (229)
XP_009224635	2	PF17109.5 ; Goodbye ; fungal S	98.8	6.7e-13	1.2e-16	103.0	0.0	117	105-224	1-123 (123)
PPJ60852	1	PF17107.5 ; SesA ; N-terminal	98.0	1.5e-09	2.8e-13	82.4	0.0	117	125-241	4-132 (133)
PPJ60852	2	PF17111.5 ; Helo_like_N ; Fung	97.5	3.4e-08	6.4e-12	79.9	0.0	130	115-249	7-136 (209)
KID94387	1	PF17111.5 ; Helo_like_N ; Fung	98.7	1.6e-12	3.1e-16	105.2	0.0	139	56-198	1-139 (209)
KID94387	2	PF17107.5 ; SesA ; N-terminal	97.6	1.5e-08	2.7999999999999998e-12	75.2	0.0	119	65-187	1-132 (133)
KID94387	3	PF15967.5 ; Nucleoporin_FG2 ;	80.8	0.068	1.3000000000000001e-05	46.9	0.0	20	171-190	349-368 (605)
RBR06817	1	PF17100.5 ; NACHT_N ; N-termin	99.7	1.9e-22	4.3e-26	193.7	0.0	201	330-531	1-228 (229)
RBR06817	2	PF17109.5 ; Goodbye ; fungal S	98.1	4.8e-10	1e-13	95.5	0.0	117	333-458	1-123 (123)
RFN46378	1	PF04607.17 ; RelA_SpoT ; Regio	99.7	1.5e-21	3.2e-25	160.0	0.0	109	127-264	1-111 (112)
OBT39090	1	PF17100.5 ; NACHT_N ; N-termin	99.0	4.4e-14	8.599999999999999e-18	129.8	0.0	136	224-363	78-227 (229)
OBT39090	2	PF17109.5 ; Goodbye ; fungal S	98.9	1.3e-13	2.5e-17	113.4	0.0	118	178-297	1-123 (123)
OBT39090	3	PF01637.18 ; ATPase_2 ; ATPase	96.9	9.6e-07	1.9e-10	75.1	0.0	37	439-475	9-45  (209)
OBT39090	4	PF05729.12 ; NACHT ; NACHT dom	96.7	1.6e-06	3.2000000000000003e-10	70.7	0.0	25	452-476	2-26  (170)
OBT39090	5	PF00931.22 ; NB-ARC ; NB-ARC d	96.5	4.8e-06	9.6e-10	71.9	0.0	36	439-474	5-42  (240)
OBT39090	6	PF05621.11 ; TniB ; Bacterial	96.4	6.5000000000000004e-06	1.3e-09	68.6	0.0	27	450-476	35-61  (191)
OBT39090	7	PF14516.6 ; AAA_35 ; AAA-like	96.3	7.400000000000001e-06	1.5e-09	75.4	0.0	26	451-476	31-56  (330)
OBT39090	8	PF07693.14 ; KAP_NTPase ; KAP	96.3	9.5e-06	1.9e-09	73.5	0.0	27	450-476	31-57  (307)
OBT39090	9	PF13191.6 ; AAA_16 ; AAA ATPas	96.0	2.4e-05	4.8e-09	64.5	0.0	26	451-476	25-50  (189)
OBT39090	10	PF10236.9 ; DAP3 ; Mitochondri	95.4	9.9e-05	1.8999999999999998e-08	68.1	0.0	28	450-477	24-51  (322)
RDW91721	1	PF06516.11 ; NUP ; Purine nucl	99.7	9.4e-23	1.8999999999999998e-26	229.9	0.0	269	657-957	2-322 (329)
RDW91721	2	PF01048.20 ; PNP_UDP_1 ; Phosp	99.2	7.3e-16	1.5e-19	160.3	0.0	204	658-952	1-214 (215)
RDW91721	3	PF06524.12 ; NOA36 ; NOA36 pro	98.6	2.7999999999999998e-12	5.8e-16	140.6	0.0	141	404-554	60-241 (313)
RDW91721	4	PF18868.1 ; zf-C2H2_3rep ; Zin	98.1	4.8e-10	1e-13	101.5	0.0	108	411-547	1-123 (124)
RDW91721	5	PF17017.5 ; zf-C2H2_aberr ; Ab	98.0	7.6e-10	1.6e-13	108.9	0.0	130	409-549	1-165 (173)
RDW91721	6	PF06524.12 ; NOA36 ; NOA36 pro	97.7	9.6e-09	2e-12	111.0	0.0	93	404-500	139-237 (313)
RDW91721	7	PF06524.12 ; NOA36 ; NOA36 pro	97.4	6e-08	1.1999999999999999e-11	104.3	0.0	136	400-550	31-171 (313)
RDW91721	8	PF18868.1 ; zf-C2H2_3rep ; Zin	97.2	1.9e-07	4.1e-11	83.0	0.0	88	407-497	31-123 (124)
RDW91721	9	PF15909.5 ; zf-C2H2_8 ; C2H2-t	96.6	2.8e-06	6e-10	70.8	0.0	46	450-497	44-90  (98)
RDW91721	10	PF07693.14 ; KAP_NTPase ; KAP	96.5	3.6000000000000003e-06	7.6e-10	87.5	0.0	37	1198-1234	170-206 (307)
KPA38507	1	PF17106.5 ; NACHT_sigma ; Sigm	96.7	1.7e-06	3.4e-10	49.4	0.0	36	88-123	3-39  (43)
KZV60721	1	PF17111.5 ; Helo_like_N ; Fung	94.8	0.00023999999999999998	5.3e-08	55.0	0.0	129	148-283	12-144 (209)
KZV60721	2	PF05659.11 ; RPW8 ; Arabidopsi	80.9	0.061	1.3000000000000001e-05	39.4	0.0	92	162-266	22-113 (140)
KZV60721	3	PF17107.5 ; SesA ; N-terminal	79.8	0.067	1.4999999999999999e-05	37.3	0.0	74	157-231	11-86  (133)
EWY92345	1	PF17111.5 ; Helo_like_N ; Fung	98.4	2.3999999999999998e-11	4.9e-15	99.4	0.0	138	38-182	1-138 (209)
EWY92345	2	PF17107.5 ; SesA ; N-terminal	97.5	2.8e-08	5.6999999999999995e-12	74.9	0.0	121	47-172	1-132 (133)
KPM41937	1	PF17106.5 ; NACHT_sigma ; Sigm	95.6	5.6000000000000006e-05	1.1000000000000001e-08	43.5	0.0	34	49-82	2-35  (43)
KPM41937	2	PF01637.18 ; ATPase_2 ; ATPase	93.4	0.0011	2.5e-07	45.0	0.0	18	174-191	20-37  (209)
KPM41937	3	PF05729.12 ; NACHT ; NACHT dom	93.1	0.0013	3.1e-07	42.8	0.0	16	176-191	2-17  (170)
KPM41937	4	PF14516.6 ; AAA_35 ; AAA-like	92.9	0.0016	3.7e-07	48.3	0.0	34	172-205	28-69  (330)
KPM41937	5	PF13671.6 ; AAA_33 ; AAA domai	92.0	0.0028	6.5e-07	40.7	0.0	16	176-191	1-16  (142)
KPM41937	6	PF07931.12 ; CPT ; Chloramphen	92.0	0.003	6.8e-07	41.7	0.0	17	175-191	2-18  (163)
KPM41937	7	PF05621.11 ; TniB ; Bacterial	91.9	0.0029	6.8e-07	42.1	0.0	18	174-191	35-52  (191)
KPM41937	8	PF18748.1 ; Ploopntkinase1 ; P	91.9	0.0031	7.1e-07	42.8	0.0	18	174-191	17-34  (196)
KPM41937	9	PF13191.6 ; AAA_16 ; AAA ATPas	91.8	0.0031	7.2e-07	41.8	0.0	18	174-191	24-41  (189)
KPM41937	10	PF18751.1 ; Ploopntkinase3 ; P	91.7	0.0035	7.8e-07	42.5	0.0	17	175-191	4-20  (187)
PAV23021	1	PF00308.18 ; Bac_DnaA ; Bacter	96.0	1.7e-05	4e-09	49.8	0.0	36	95-130	12-47  (219)
PAV23021	2	PF07693.14 ; KAP_NTPase ; KAP	95.8	3.6e-05	8.199999999999999e-09	51.4	0.0	32	99-130	1-45  (307)
PAV23021	3	PF01637.18 ; ATPase_2 ; ATPase	95.7	3.8e-05	8.6e-09	47.7	0.0	32	98-130	3-34  (209)
PAV23021	4	PF13191.6 ; AAA_16 ; AAA ATPas	95.7	3.8e-05	8.6e-09	47.1	0.0	33	98-130	4-38  (189)
PAV23021	5	PF05621.11 ; TniB ; Bacterial	95.3	9.9e-05	2.2000000000000002e-08	45.2	0.0	33	98-130	15-49  (191)
PAV23021	6	PF00931.22 ; NB-ARC ; NB-ARC d	95.3	0.0001	2.2999999999999998e-08	46.3	0.0	30	101-130	2-32  (240)
PAV23021	7	PF06309.11 ; Torsin ; Torsin	95.2	0.00011999999999999999	2.7e-08	42.9	0.0	31	100-130	34-66  (126)
PAV23021	8	PF01057.17 ; Parvo_NS1 ; Parvo	94.8	0.00022	4.8e-08	48.3	0.0	30	101-130	102-132 (284)
PAV23021	9	PF14532.6 ; Sigma54_activ_2 ;	94.7	0.00027	6e-08	42.1	0.0	31	100-130	4-35  (135)
PAV23021	10	PF00519.17 ; PPV_E1_C ; Papill	94.4	0.00041	8.800000000000001e-08	50.2	0.0	28	103-130	249-276 (432)
XP_020125294	1	PF17100.5 ; NACHT_N ; N-termin	99.4	7.9e-18	1.5999999999999999e-21	156.8	0.0	144	276-425	78-228 (229)
XP_020125294	2	PF17109.5 ; Goodbye ; fungal S	98.8	2.6e-13	5.2e-17	113.0	0.0	121	219-349	1-123 (123)
CVK89761	1	PF17111.5 ; Helo_like_N ; Fung	98.2	2.3e-10	4.4e-14	85.6	0.0	134	1-143	1-136 (209)
CVK89761	2	PF17107.5 ; SesA ; N-terminal	97.5	3.3e-08	6.3e-12	68.3	0.0	120	10-135	1-132 (133)
KIJ93417	1	PF13191.6 ; AAA_16 ; AAA ATPas	96.7	1.5e-06	3.4e-10	55.4	0.0	38	102-139	5-43  (189)
KIJ93417	2	PF01637.18 ; ATPase_2 ; ATPase	96.7	1.5e-06	3.4e-10	56.1	0.0	36	102-139	4-39  (209)
KIJ93417	3	PF00931.22 ; NB-ARC ; NB-ARC d	96.7	1.6e-06	3.8e-10	56.7	0.0	36	104-139	2-37  (240)
KIJ93417	4	PF00308.18 ; Bac_DnaA ; Bacter	96.7	1.8000000000000001e-06	4.0999999999999993e-10	56.1	0.0	42	97-139	11-52  (219)
KIJ93417	5	PF05621.11 ; TniB ; Bacterial	96.7	1.9e-06	4.2999999999999996e-10	55.1	0.0	38	102-139	16-54  (191)
KIJ93417	6	PF14532.6 ; Sigma54_activ_2 ;	96.6	2.7000000000000004e-06	6e-10	53.2	0.0	37	103-139	4-40  (135)
KIJ93417	7	PF07693.14 ; KAP_NTPase ; KAP	96.6	2.7000000000000004e-06	6.1e-10	58.8	0.0	38	102-139	1-50  (307)
KIJ93417	8	PF01057.17 ; Parvo_NS1 ; Parvo	96.4	6e-06	1.3e-09	58.3	0.0	36	104-139	102-137 (284)
KIJ93417	9	PF06309.11 ; Torsin ; Torsin	96.1	1.2e-05	2.8000000000000003e-09	48.8	0.0	38	102-139	33-71  (126)
KIJ93417	10	PF00158.26 ; Sigma54_activat ;	96.0	1.7e-05	3.9e-09	49.1	0.0	20	120-139	22-41  (169)
SCO47763	1	PF06516.11 ; NUP ; Purine nucl	98.6	6.0999999999999995e-12	1.2e-15	91.6	0.0	86	6-91	201-321 (329)
SCO47763	2	PF01048.20 ; PNP_UDP_1 ; Phosp	97.9	1.5e-09	3.1e-13	72.2	0.0	80	8-87	126-214 (215)
KKY27311	1	PF17109.5 ; Goodbye ; fungal S	99.5	5.4e-19	9.999999999999999e-23	135.3	0.0	119	69-192	1-123 (123)
KKY27311	2	PF17100.5 ; NACHT_N ; N-termin	99.3	1.1000000000000001e-16	2.1000000000000002e-20	135.4	0.0	136	119-259	78-226 (229)
PYI26437	1	PF05729.12 ; NACHT ; NACHT dom	94.7	0.00027	6.3e-08	45.3	0.0	16	168-183	2-17  (170)
PYI26437	2	PF00931.22 ; NB-ARC ; NB-ARC d	94.4	0.00037999999999999997	9e-08	46.9	0.0	30	154-183	6-35  (240)
PYI26437	3	PF07931.12 ; CPT ; Chloramphen	94.0	0.00058	1.3e-07	44.4	0.0	17	167-183	2-18  (163)
PYI26437	4	PF13671.6 ; AAA_33 ; AAA domai	94.0	0.00061	1.4e-07	43.1	0.0	16	168-183	1-16  (142)
PYI26437	5	PF01637.18 ; ATPase_2 ; ATPase	94.0	0.00061	1.4e-07	45.0	0.0	19	165-183	19-37  (209)
PYI26437	6	PF14532.6 ; Sigma54_activ_2 ;	94.0	0.00064	1.4e-07	43.7	0.0	20	164-183	19-38  (135)
PYI26437	7	PF18751.1 ; Ploopntkinase3 ; P	94.0	0.00063	1.5e-07	45.4	0.0	18	166-183	3-20  (187)
PYI26437	8	PF01057.17 ; Parvo_NS1 ; Parvo	93.8	0.00075	1.7e-07	49.4	0.0	29	155-183	107-135 (284)
PYI26437	9	PF14516.6 ; AAA_35 ; AAA-like	93.8	0.00075	1.7e-07	48.9	0.0	39	145-183	9-47  (330)
