Cluster no	Representative no	Nterm
CCA77866.1	EPE04335.1	PATATIN
CCA77866.1	CZR43873.1	PATATIN
CCA77866.1	CVL07330.1	PATATIN
CCA77866.1	ERT02856.1	PATATIN
CCA77866.1	KJZ69359.1	PATATIN
CCA77866.1	KJZ70979.1	PATATIN
CCA77866.1	KJZ71091.1	unk
CCA77866.1	KXX75712.1	PATATIN
CCA77866.1	OCL00351.1	PATATIN
CCA77866.1	OCL05393.1	PATATIN
CCA77866.1	OIW28354.1	PATATIN
CCA77866.1	ORY02205.1	PATATIN
CCA77866.1	RBA13412.1	PATATIN
CCA77866.1	XP_001223748.1	PATATIN
CCA77866.1	XP_001802677.1	PATATIN
CCA77866.1	XP_003655424.1	PATATIN
CCA77866.1	XP_016587482.1	PATATIN
CCA77866.1	XP_007728829.1	PATATIN
CCA77866.1	EPS38438.1	PATATIN
CCA77866.1	EQB47056.1	PATATIN
CCA77866.1	ELA34659.1	PATATIN
CCA77866.1	EUC57781.1	unk
CCA77866.1	EUC57784.1	unk
CCA77866.1	EUC57788.1	unk
CCA77866.1	EUC66471.1	PATATIN
CCA77866.1	EWZ28232.1	PATATIN
CCA77866.1	EXL91583.1	PATATIN
CCA77866.1	EXF79782.1	PATATIN
CCA77866.1	EXL54340.1	PATATIN
CCA77866.1	EXV03237.1	unk
CCA77866.1	XP_007819512.2	PATATIN
CCA77866.1	GAQ09999.1	PATATIN
CCA77866.1	GAO81557.1	PATATIN
CCA77866.1	GAW26599.1	PATATIN
CCA77866.1	KDR74883.1	PATATIN
CCA77866.1	ENH83491.1	PATATIN
CCA77866.1	EQB49287.1	PATATIN PATATIN
CCA77866.1	ELA37662.1	PATATIN
CCA77866.1	PHH51952.1	PATATIN
CCA77866.1	PHH51169.1	PATATIN
CCA77866.1	KEP48448.1	PATATIN
CCA77866.1	EUC64095.1	PATATIN
CCA77866.1	KEP48714.1	PATATIN
CCA77866.1	EUC61085.1	PATATIN
CCA77866.1	EUC66924.1	PATATIN
CCA77866.1	KEP51233.1	PATATIN
CCA77866.1	CUA72935.1	PATATIN
CCA77866.1	CUA73496.1	PATATIN
CCA77866.1	CUA75252.1	PATATIN
CCA77866.1	CUA75647.1	unk
CCA77866.1	CUA76333.1	PATATIN
CCA77866.1	CUA77298.1	PATATIN
CCA77866.1	CUA77737.1	PATATIN
CCA77866.1	EUC55131.1	PATATIN
CCA77866.1	EUC58658.1	PATATIN
CCA77866.1	KEP45593.1	PATATIN
CCA77866.1	KEP47764.1	PATATIN
CCA77866.1	KEP50941.1	PATATIN
CCA77866.1	CUA75392.1	PATATIN
CCA77866.1	CUA75393.1	PATATIN
CCA77866.1	KNZ74700.1	PATATIN
CCA77866.1	KEP51977.1	PATATIN
CCA77866.1	CEL60638.1	PATATIN
CCA77866.1	CEL60755.1	PATATIN
CCA77866.1	CUA66698.1	PATATIN
CCA77866.1	EUC66976.1	PATATIN
CCA77866.1	KEP55097.1	PATATIN
CCA77866.1	CUA74452.1	PATATIN
CCA77866.1	CUA75446.1	PATATIN
CCA77866.1	CUA67657.1	PATATIN
CCA77866.1	CUA71454.1	PATATIN
CCA77866.1	CUA73077.1	PATATIN
CCA77866.1	CUA74258.1	PATATIN
CCA77866.1	CUA74502.1	PATATIN
CCA77866.1	CUA77370.1	unk
CCA77866.1	CUA77372.1	PATATIN
CCA77866.1	CUA76200.1	PATATIN
CCA77866.1	CUA74602.1	PATATIN
CCA77866.1	KEP45608.1	PATATIN
CCA77866.1	KFY32374.1	PATATIN
CCA77866.1	KFY35196.1	PATATIN
CCA77866.1	KFX92080.1	PATATIN
CCA77866.1	CZR54770.1	PATATIN
CCA77866.1	KFX96894.1	PATATIN
CCA77866.1	KFY53432.1	PATATIN
CCA77866.1	KFY90286.1	PATATIN
CCA77866.1	OBT39447.1	PATATIN
CCA77866.1	OBT54871.1	PATATIN
CCA77866.1	OBT63724.1	PATATIN
CCA77866.1	OBT71251.1	PATATIN
CCA77866.1	XP_008079386.1	PATATIN
CCA77866.1	XP_018128156.1	PATATIN
CCA77866.1	KFY31329.1	PATATIN
CCA77866.1	KIJ50276.1	PATATIN
CCA77866.1	KIJ37955.1	PATATIN
CCA77866.1	KIJ39529.1	PATATIN
CCA77866.1	KIJ50252.1	PATATIN
CCA77866.1	KIJ50301.1	PATATIN
CCA77866.1	OBT60529.1	PATATIN
CCA77866.1	KFY38174.1	PATATIN
CCA77866.1	KFY39889.1	PATATIN
CCA77866.1	KFY85395.1	PATATIN
CCA77866.1	KFX90066.1	PATATIN
CCA77866.1	KFY07041.1	PATATIN
CCA77866.1	KFY35998.1	PATATIN
CCA77866.1	KFY76476.1	PATATIN
CCA77866.1	KFY85790.1	PATATIN
CCA77866.1	KFZ19925.1	PATATIN
CCA77866.1	OBT45685.1	PATATIN
CCA77866.1	OBT53072.1	PATATIN
CCA77866.1	OBT70234.1	PATATIN
CCA77866.1	OBT80741.1	PATATIN
CCA77866.1	XP_018127802.1	PATATIN
CCA77866.1	KFY79008.1	PATATIN
CCA77866.1	KFZ17005.1	PATATIN
CCA77866.1	KFZ24198.1	PATATIN
CCA77866.1	KFZ24505.1	PATATIN
CCA77866.1	KIH94168.1	PATATIN
CCA77866.1	KIJ39401.1	PATATIN
CCA77866.1	KIJ39390.1	PATATIN
CCA77866.1	KIJ39414.1	PATATIN
CCA77866.1	KIJ49299.1	PATATIN
CCA77866.1	KIJ49325.1	PATATIN
CCA77866.1	KIJ52000.1	PATATIN
CCA77866.1	KIJ43383.1	PATATIN
CCA77866.1	KIJ51985.1	PATATIN
CCA77866.1	KIM19923.1	PATATIN
CCA77866.1	KIM21473.1	unk
CCA77866.1	KIM20764.1	PATATIN
CCA77866.1	KIM20767.1	PATATIN
CCA77866.1	KIM22236.1	unk
CCA77866.1	KIM22765.1	PATATIN
CCA77866.1	KIM22344.1	PATATIN
CCA77866.1	KIM24403.1	unk
CCA77866.1	KIM28992.1	PATATIN
CCA77866.1	KIM22974.1	PATATIN
CCA77866.1	KIM33636.1	PATATIN
CCA77866.1	KIM23751.1	unk
CCA77866.1	KIM23754.1	PATATIN
CCA77866.1	KIM23847.1	PATATIN
CCA77866.1	KIM20775.1	PATATIN
CCA77866.1	KIM20778.1	PATATIN
CCA77866.1	KIM20911.1	PATATIN
CCA77866.1	KIM21669.1	PATATIN
CCA77866.1	KIM23830.1	PATATIN
CCA77866.1	KIM25116.1	PATATIN
CCA77866.1	KIM32162.1	unk
CCA77866.1	KIM25460.1	PATATIN
CCA77866.1	KIM26166.1	PATATIN
CCA77866.1	KIM26631.1	PATATIN
CCA77866.1	KIM23149.1	unk
CCA77866.1	KIM24302.1	PATATIN
CCA77866.1	KIM26629.1	PATATIN
CCA77866.1	KIM26748.1	PATATIN
CCA77866.1	KIM22502.1	PATATIN
CCA77866.1	KIM27311.1	unk
CCA77866.1	KIM27338.1	PATATIN
CCA77866.1	KIM20565.1	PATATIN
CCA77866.1	KIM23882.1	unk
CCA77866.1	KIM23913.1	PATATIN
CCA77866.1	KIM23915.1	unk
CCA77866.1	KIM23931.1	PATATIN
CCA77866.1	KIM24489.1	PATATIN
CCA77866.1	KIM24506.1	PATATIN
CCA77866.1	KIM24511.1	PATATIN
CCA77866.1	KIM26170.1	PATATIN
CCA77866.1	KIM27322.1	unk
CCA77866.1	KIM27345.1	PATATIN
CCA77866.1	KIM30740.1	PATATIN
CCA77866.1	KIM30741.1	PATATIN
CCA77866.1	KIM28425.1	unk
CCA77866.1	KIM28423.1	unk
CCA77866.1	KIM28742.1	unk
CCA77866.1	KIM28745.1	unk
CCA77866.1	KIM29976.1	unk
CCA77866.1	KIM30830.1	PATATIN
CCA77866.1	KIM30969.1	PATATIN
CCA77866.1	KIM32059.1	unk
CCA77866.1	KIM32135.1	unk
CCA77866.1	KIM32147.1	unk
CCA77866.1	KIM29944.1	PATATIN
CCA77866.1	KIM32148.1	PATATIN
CCA77866.1	KIM32300.1	unk
CCA77866.1	KIM32685.1	unk
CCA77866.1	KIM32134.1	PATATIN
CCA77866.1	KIM33695.1	PATATIN
CCA77866.1	KIM83298.1	PATATIN
CCA77866.1	KIM93179.1	PATATIN
CCA77866.1	KIM93182.1	PATATIN
CCA77866.1	KIM98305.1	PATATIN
CCA77866.1	KIN06969.1	PATATIN
CCA77866.1	KMK63757.1	PATATIN
CCA77866.1	XP_018136285.1	PATATIN
CCA77866.1	KIV86105.1	PATATIN
CCA77866.1	KJK65966.1	PATATIN
CCA77866.1	KOC16110.1	PATATIN
CCA77866.1	RAQ51671.1	PATATIN
CCA77866.1	RAQ56695.1	PATATIN
CCA77866.1	XP_015408767.1	PATATIN
CCA77866.1	XP_022391396.1	PATATIN
CCA77866.1	KKF92050.1	PATATIN
CCA77866.1	KKF93326.1	unk
CCA77866.1	KKF93514.1	unk
CCA77866.1	KKF93649.1	unk
CCA77866.1	KKF94495.1	unk
CCA77866.1	KKF94956.1	PATATIN
CCA77866.1	KKF94957.1	unk
CCA77866.1	KKF96201.1	PATATIN
CCA77866.1	KLO97050.1	PATATIN
CCA77866.1	EMT68942.1	PATATIN
CCA77866.1	EXL97809.1	PATATIN
CCA77866.1	KLP02112.1	PATATIN
CCA77866.1	KLP07308.1	PATATIN
CCA77866.1	SCO50928.1	PATATIN
CCA77866.1	SCV49623.1	PATATIN
CCA77866.1	SCV55293.1	PATATIN
CCA77866.1	XP_023437609.1	PATATIN
CCA77866.1	KLU92398.1	PATATIN
CCA77866.1	XP_007803965.1	PATATIN
CCA77866.1	KLU92430.1	PATATIN
CCA77866.1	KNZ72722.1	PATATIN
CCA77866.1	KNZ74705.1	PATATIN
CCA77866.1	KNZ77062.1	unk
CCA77866.1	KNZ82011.1	PATATIN
CCA77866.1	KNZ71999.1	PATATIN
CCA77866.1	KNZ82006.1	PATATIN
CCA77866.1	KNZ82009.1	PATATIN
CCA77866.1	KUI66863.1	PATATIN
CCA77866.1	AET07143.1	PATATIN
CCA77866.1	KUI57201.1	PATATIN
CCA77866.1	KUM60368.1	PATATIN
CCA77866.1	KXH59138.1	PATATIN
CCA77866.1	CDM33067.1	PATATIN
CCA77866.1	KLU89782.1	PATATIN
CCA77866.1	KXG52045.1	PATATIN
CCA77866.1	KZL80524.1	PATATIN
CCA77866.1	PQE27723.1	PATATIN
CCA77866.1	EMD96375.1	PATATIN
CCA77866.1	EMD96377.1	PATATIN
CCA77866.1	KIM95559.1	PATATIN
CCA77866.1	OBT41064.1	PATATIN
CCA77866.1	OCK72888.1	PATATIN
CCA77866.1	PQE09025.1	PATATIN
CCA77866.1	PSN58604.1	PATATIN
CCA77866.1	PSN58800.1	PATATIN
CCA77866.1	RAQ99515.1	PATATIN
CCA77866.1	RDL31460.1	PATATIN
CCA77866.1	RDW57240.1	PATATIN
CCA77866.1	RDW63461.1	PATATIN
CCA77866.1	XP_007781118.1	PATATIN
CCA77866.1	XP_008022341.1	PATATIN
CCA77866.1	XP_014552386.1	PATATIN
CCA77866.1	XP_018378644.1	PATATIN
CCA77866.1	XP_024742863.1	PATATIN
CCA77866.1	PWI65122.1	PATATIN
CCA77866.1	KXJ85317.1	PATATIN
CCA77866.1	KXJ94832.1	PATATIN
CCA77866.1	GAP91468.1	PATATIN
CCA77866.1	GAW17534.1	PATATIN
CCA77866.1	KND93534.1	PATATIN
CCA77866.1	KXG45220.1	PATATIN
CCA77866.1	OWW36646.1	PATATIN
CCA77866.1	RBR22229.1	PATATIN
CCA77866.1	SPB47324.1	unk
CCA77866.1	XP_009229470.1	PATATIN
CCA77866.1	XP_025583911.1	unk
CCA77866.1	KXJ95955.1	PATATIN
CCA77866.1	KDN70942.1	PATATIN
CCA77866.1	KXH49099.1	PATATIN
CCA77866.1	KZL69523.1	PATATIN
CCA77866.1	KZL70166.1	PATATIN
CCA77866.1	OIW35316.1	PATATIN
CCA77866.1	OTA97917.1	PATATIN
CCA77866.1	OTA69015.1	PATATIN
CCA77866.1	OTB07612.1	PATATIN
CCA77866.1	OTB15577.1	PATATIN
CCA77866.1	KZL79415.1	PATATIN
CCA77866.1	EXF79411.1	PATATIN
CCA77866.1	KXH41410.1	PATATIN
CCA77866.1	KXH66653.1	unk
CCA77866.1	KZL70761.1	PATATIN
CCA77866.1	XP_018150874.1	PATATIN
CCA77866.1	XP_022477640.1	PATATIN
CCA77866.1	KZT36762.1	PATATIN
CCA77866.1	KZT38064.1	PATATIN
CCA77866.1	OAL51109.1	PATATIN
CCA77866.1	GAO86585.1	PATATIN
CCA77866.1	OCL00243.1	PATATIN
CCA77866.1	KFA55131.1	PATATIN
CCA77866.1	KEY67742.1	PATATIN
CCA77866.1	KFA75735.1	PATATIN
CCA77866.1	KFY66945.1	PATATIN
CCA77866.1	CEJ62211.1	PATATIN
CCA77866.1	CEL10661.1	PATATIN
CCA77866.1	CRL27391.1	PATATIN
CCA77866.1	KFY11743.1	PATATIN
CCA77866.1	KFY31791.1	PATATIN PATATIN
CCA77866.1	KFY32151.1	PATATIN
CCA77866.1	KFY41819.1	PATATIN
CCA77866.1	KFY68561.1	PATATIN
CCA77866.1	KGQ02530.1	PATATIN
CCA77866.1	KJZ68181.1	PATATIN PATATIN
CCA77866.1	KJZ69480.1	PATATIN
CCA77866.1	KJZ70100.1	PATATIN
CCA77866.1	KLJ13097.1	PATATIN
CCA77866.1	OAA77290.1	PATATIN
CCA77866.1	OBT62997.1	PATATIN
CCA77866.1	OBT93612.2	PATATIN
CCA77866.1	OBW66946.1	PATATIN
CCA77866.1	OJJ29576.1	PATATIN
CCA77866.1	OQD75548.1	PATATIN
CCA77866.1	OQD80677.1	PATATIN
CCA77866.1	OQD86643.1	PATATIN
CCA77866.1	OQE09468.1	PATATIN
CCA77866.1	OQE26123.1	PATATIN
CCA77866.1	OQE93740.1	PATATIN
CCA77866.1	OQV11228.1	PATATIN
CCA77866.1	OWY46699.1	PATATIN
CCA77866.1	PGG95771.1	PATATIN
CCA77866.1	PSN60481.1	PATATIN
CCA77866.1	PVH75932.1	PATATIN
CCA77866.1	RDL30230.1	PATATIN
CCA77866.1	RDW92542.1	PATATIN
CCA77866.1	RFU27453.1	PATATIN
CCA77866.1	XP_007720559.1	PATATIN
CCA77866.1	XP_007729781.1	PATATIN
CCA77866.1	XP_007801143.1	PATATIN
CCA77866.1	XP_008603390.1	PATATIN
CCA77866.1	XP_013276016.1	PATATIN
CCA77866.1	XP_016231510.1	PATATIN
CCA77866.1	XP_018127345.1	PATATIN
CCA77866.1	XP_018689160.1	PATATIN
CCA77866.1	XP_022392363.1	PATATIN
CCA77866.1	XP_022397302.1	PATATIN
CCA77866.1	XP_022515807.1	PATATIN
CCA77866.1	XP_024731645.1	PATATIN
CCA77866.1	XP_025426027.1	PATATIN
CCA77866.1	XP_025429040.1	PATATIN
CCA77866.1	ORX98184.1	PATATIN PATATIN
CCA77866.1	PGH02751.1	PATATIN
CCA77866.1	EEQ87201.2	PATATIN
CCA77866.1	EGE84140.2	PATATIN
CCA77866.1	EQL35284.1	PATATIN
CCA77866.1	KKZ65655.1	PATATIN
CCA77866.1	OAT11383.1	PATATIN
CCA77866.1	OAX82787.1	PATATIN
CCA77866.1	OJD18067.1	PATATIN
CCA77866.1	OJD27184.1	PATATIN
CCA77866.1	PGH11415.1	PATATIN
CCA77866.1	PGH34123.1	PATATIN
CCA77866.1	XP_002622768.1	PATATIN
CCA77866.1	XP_007696067.1	PATATIN PATATIN
CCA77866.1	OBS26245.1	PATATIN
CCA77866.1	OBT64178.1	PATATIN
CCA77866.1	RDW57242.1	PATATIN
CCA77866.1	RDW59053.1	PATATIN
CCA77866.1	XP_008088875.1	PATATIN
CCA77866.1	XP_016585898.1	PATATIN
CCA77866.1	OBT69989.1	PATATIN
CCA77866.1	OCK88015.1	PATATIN
CCA77866.1	OCK98051.1	PATATIN
CCA77866.1	OCL00229.1	PATATIN
CCA77866.1	OJI83753.1	PATATIN
CCA77866.1	OQD89044.1	PATATIN
CCA77866.1	OKO90580.1	unk
CCA77866.1	ORY10130.1	PATATIN
CCA77866.1	OSS48939.1	PATATIN
CCA77866.1	XP_018192513.1	PATATIN
CCA77866.1	OXV08909.1	PATATIN
CCA77866.1	PBK98079.1	PATATIN
CCA77866.1	PBK83381.1	PATATIN
CCA77866.1	PCD24491.1	PATATIN
CCA77866.1	PGH33495.1	unk
CCA77866.1	PHH49543.1	unk
CCA77866.1	PHH49776.1	PATATIN
CCA77866.1	PHH49792.1	PATATIN
CCA77866.1	PHH50556.1	PATATIN
CCA77866.1	PHH51864.1	unk
CCA77866.1	KKF94672.1	unk
CCA77866.1	PHH53208.1	PATATIN
CCA77866.1	PHH49227.1	PATATIN
CCA77866.1	PHH49541.1	PATATIN
CCA77866.1	PHH49856.1	PATATIN
CCA77866.1	PHH50467.1	unk
CCA77866.1	PHH54594.1	PATATIN
CCA77866.1	PHH54974.1	unk
CCA77866.1	KKF92077.1	PATATIN
CCA77866.1	KKF92131.1	PATATIN
CCA77866.1	KKF92278.1	unk
CCA77866.1	KKF92490.1	PATATIN
CCA77866.1	KKF94991.1	PATATIN
CCA77866.1	PHH49544.1	PATATIN
CCA77866.1	PHH49546.1	unk
CCA77866.1	PHH49992.1	PATATIN
CCA77866.1	PHH49997.1	PATATIN
CCA77866.1	PHH51573.1	PATATIN
CCA77866.1	PHH53411.1	PATATIN
CCA77866.1	PHH53425.1	unk
CCA77866.1	PHH54941.1	PATATIN
CCA77866.1	PHH54943.1	unk
CCA77866.1	PHH54951.1	PATATIN
CCA77866.1	PHH55904.1	PATATIN
CCA77866.1	PIG87111.1	PATATIN
CCA77866.1	PKS10456.1	PATATIN
CCA77866.1	PKS12989.1	PATATIN
CCA77866.1	PMD23420.1	PATATIN
CCA77866.1	XP_024739768.1	PATATIN
CCA77866.1	CEL07343.1	PATATIN
CCA77866.1	EPE02605.1	PATATIN
CCA77866.1	OOF97652.1	PATATIN
CCA77866.1	PNH32971.1	PATATIN
CCA77866.1	CRK26904.1	PATATIN
CCA77866.1	CRK28557.1	PATATIN
CCA77866.1	CRK42846.1	PATATIN
CCA77866.1	PNH38468.1	PATATIN
CCA77866.1	PNH64846.1	PATATIN
CCA77866.1	XP_009656017.1	PATATIN PATATIN
CCA77866.1	PPJ59952.1	unk
CCA77866.1	PSR97545.1	PATATIN
CCA77866.1	PVF91230.1	unk
CCA77866.1	PVF91497.1	unk
CCA77866.1	PVF92431.1	unk
CCA77866.1	PVF93948.1	unk
CCA77866.1	PVF93958.1	unk
CCA77866.1	PVF94879.1	PATATIN
CCA77866.1	PVF95188.1	unk
CCA77866.1	PVF95584.1	unk
CCA77866.1	PVG00686.1	unk
CCA77866.1	PVG00689.1	unk
CCA77866.1	PVF91282.1	unk
CCA77866.1	PVF91305.1	PATATIN
CCA77866.1	PVF91044.1	PATATIN
CCA77866.1	PVF91876.1	PATATIN
CCA77866.1	PVF91879.1	PATATIN
CCA77866.1	PVF91881.1	PATATIN
CCA77866.1	PVF92778.1	PATATIN
CCA77866.1	PVF93869.1	PATATIN
CCA77866.1	PVF94833.1	PATATIN
CCA77866.1	PVF92035.1	unk
CCA77866.1	PVF93434.1	unk
CCA77866.1	PVF94411.1	unk
CCA77866.1	PVF94427.1	unk
CCA77866.1	PVF94462.1	unk
CCA77866.1	PVF91616.1	unk
CCA77866.1	PVF91619.1	unk
CCA77866.1	PVF94461.1	unk
CCA77866.1	PVF94463.1	unk
CCA77866.1	PVF94750.1	unk
CCA77866.1	PVF95039.1	PATATIN
CCA77866.1	PVF95076.1	unk
CCA77866.1	PVF95966.1	unk
CCA77866.1	PVF96984.1	PATATIN
CCA77866.1	PVF96985.1	PATATIN
CCA77866.1	KIM25472.1	PATATIN
CCA77866.1	PVF96987.1	PATATIN
CCA77866.1	PVF99685.1	unk
CCA77866.1	PVF94410.1	unk
CCA77866.1	PVF99824.1	PATATIN
CCA77866.1	PVF99825.1	unk
CCA77866.1	PVG01168.1	PATATIN
CCA77866.1	PVG01505.1	unk
CCA77866.1	PVG01559.1	unk
CCA77866.1	PVG01725.1	PATATIN
CCA77866.1	PVG04274.1	unk
CCA77866.1	PVG04275.1	unk
CCA77866.1	PVH67508.1	PATATIN PATATIN
CCA77866.1	PVH67903.1	PATATIN
CCA77866.1	CRL24438.1	PATATIN
CCA77866.1	CEJ57848.1	PATATIN
CCA77866.1	KGO42772.1	PATATIN
CCA77866.1	KGO76027.1	unk
CCA77866.1	KOS45964.1	PATATIN
CCA77866.1	KUM58276.1	PATATIN
CCA77866.1	KXG51962.1	PATATIN
CCA77866.1	KZN84436.1	PATATIN
CCA77866.1	OOQ86975.1	PATATIN
CCA77866.1	OQD60773.1	PATATIN
CCA77866.1	OQD70361.1	PATATIN
CCA77866.1	OQD93316.1	PATATIN
CCA77866.1	OQD99672.1	unk
CCA77866.1	OQE13559.1	PATATIN
CCA77866.1	OQE36867.1	unk
CCA77866.1	OQE91408.1	PATATIN
CCA77866.1	XP_002556954.1	PATATIN
CCA77866.1	XP_016599838.1	PATATIN
CCA77866.1	RAO68141.1	unk
CCA77866.1	RAO73453.1	PATATIN
CCA77866.1	CVK94922.1	PATATIN
CCA77866.1	CVL08443.1	PATATIN
CCA77866.1	CZR44041.1	PATATIN
CCA77866.1	EGU85090.1	PATATIN
CCA77866.1	EMT74141.1	PATATIN
CCA77866.1	EWY84164.1	PATATIN
CCA77866.1	EWZ29774.1	PATATIN
CCA77866.1	EXA34070.1	PATATIN
CCA77866.1	EXK80964.1	PATATIN
CCA77866.1	EXL41845.1	PATATIN
CCA77866.1	EXL71911.1	PATATIN
CCA77866.1	EXL92112.1	PATATIN
CCA77866.1	EXM14370.1	PATATIN
CCA77866.1	KLO90548.1	PATATIN
CCA77866.1	KLP01957.1	PATATIN
CCA77866.1	KLP20662.1	PATATIN
CCA77866.1	PCD26269.1	PATATIN
CCA77866.1	RBR12243.1	PATATIN
CCA77866.1	SCO21748.1	PATATIN
CCA77866.1	SCO58413.1	PATATIN
CCA77866.1	SCO90254.1	PATATIN
CCA77866.1	SCV47035.1	PATATIN
CCA77866.1	SCV60782.1	PATATIN
CCA77866.1	XP_018257097.1	PATATIN
CCA77866.1	XP_023436370.1	PATATIN
CCA77866.1	RBA14915.1	unk
CCA77866.1	PNP82124.1	PATATIN
CCA77866.1	RBA22458.1	PATATIN
CCA77866.1	RBR01917.1	unk
CCA77866.1	RBQ77546.1	unk
CCA77866.1	RDB16830.1	PATATIN
CCA77866.1	RDL36731.1	PATATIN
CCA77866.1	RDL41440.1	PATATIN
CCA77866.1	RDL41527.1	PATATIN
CCA77866.1	CZR69607.1	PATATIN
CCA77866.1	RDW56410.1	PATATIN
CCA77866.1	KFY32345.1	PATATIN
CCA77866.1	PQE30024.1	PATATIN
CCA77866.1	PVH95139.1	PATATIN
CCA77866.1	RDW70998.1	PATATIN
CCA77866.1	RDW71025.1	unk
CCA77866.1	RDW75382.1	PATATIN
CCA77866.1	RDW83469.1	unk
CCA77866.1	XP_016258512.1	PATATIN
CCA77866.1	RFU29627.1	PATATIN
CCA77866.1	RFU32279.1	PATATIN
CCA77866.1	RFU34120.1	PATATIN
CCA77866.1	SLM34571.1	PATATIN
CCA77866.1	SLM39751.1	PATATIN
CCA77866.1	SLM41275.1	PATATIN
CCA77866.1	XP_024729651.1	PATATIN
CCA77866.1	SLM34611.1	PATATIN
CCA77866.1	XP_001208459.1	PATATIN PATATIN
CCA77866.1	XP_001226359.1	PATATIN
CCA77866.1	XP_001908802.1	unk
CCA77866.1	XP_001908803.1	PATATIN
CCA77866.1	XP_002843051.1	PATATIN
CCA77866.1	XP_003173346.1	PATATIN
CCA77866.1	XP_003659276.1	PATATIN
CCA77866.1	XP_001220132.1	PATATIN
CCA77866.1	KIJ49311.1	PATATIN
CCA77866.1	KXX78148.1	PATATIN
CCA77866.1	XP_001220131.1	PATATIN
CCA77866.1	XP_006463713.1	PATATIN
CCA77866.1	XP_006463271.1	PATATIN
CCA77866.1	XP_007332931.1	PATATIN
CCA77866.1	XP_007332667.1	PATATIN
CCA77866.1	XP_007305404.1	PATATIN
CCA77866.1	XP_007326336.1	PATATIN
CCA77866.1	XP_007768868.1	PATATIN
CCA77866.1	XP_007770347.1	PATATIN
CCA77866.1	XP_007770354.1	PATATIN
CCA77866.1	XP_007770357.1	PATATIN
CCA77866.1	XP_007772201.1	PATATIN
CCA77866.1	XP_007805300.1	PATATIN
CCA77866.1	XP_007834575.1	PATATIN
CCA77866.1	XP_009653755.1	unk
CCA77866.1	XP_013258205.1	unk
CCA77866.1	XP_013329841.1	PATATIN
CCA77866.1	XP_016253462.1	PATATIN
CCA77866.1	OAL32049.1	PATATIN
CCA77866.1	XP_016593893.1	PATATIN
CCA77866.1	KGO41438.1	PATATIN
CCA77866.1	XP_016641339.1	PATATIN
CCA77866.1	XP_016644109.1	PATATIN
CCA77866.1	XP_016644811.1	PATATIN
CCA77866.1	KJZ77333.1	PATATIN
CCA77866.1	RDW62196.1	PATATIN
CCA77866.1	XP_018138117.1	PATATIN
CCA77866.1	XP_018689108.1	unk
CCA77866.1	XP_020125897.1	PATATIN
CCA77866.1	XP_022486408.1	unk
CCA77866.1	XP_024730455.1	unk
CCA77866.1	XP_024743973.1	PATATIN
CCA77866.1	CZR60142.1	PATATIN
CCA77866.1	XP_964679.1	PATATIN
